,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.532080e-007,1.449010e+001,2.512633e+001,,,1.528790e-004,2.842830e+000,1.064125e+000,
,,,,,,,3.077730e+000,6.832765e-004,1.344829e-005,4.440133e+000,8.783999e-002,,,1.022250e-006,2.900010e+001,3.106517e+001,,,3.482120e-004,5.732380e+000,2.404531e+000,
,,,,,,,3.157474e+000,5.601748e-003,2.120564e-004,3.548247e+001,1.922063e+000,,,4.646090e-006,4.346590e+001,3.991410e+001,,,5.904780e-004,8.520530e+000,4.027756e+000,
,,,,,,,3.239284e+000,1.740533e-002,1.088201e-003,1.074641e+002,7.388055e+000,,,1.869310e-005,5.796700e+001,5.365104e+001,,,8.913630e-004,1.126510e+001,5.970039e+000,
,,,,,,,3.323213e+000,3.523487e-002,3.335369e-003,2.120530e+002,2.081999e+001,,,8.179520e-005,7.235250e+001,7.092756e+001,,,1.263790e-003,1.399470e+001,8.248061e+000,
,,,,,,,3.409318e+000,5.669928e-002,7.321660e-003,3.326136e+002,4.448162e+001,,,4.648800e-004,8.635490e+001,8.616036e+001,,,1.905080e-003,1.761980e+001,1.181878e+001,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,7.448761e-002,1.314826e-002,4.259291e+002,7.820736e+001,,,2.880910e-003,9.876130e+001,9.782079e+001,,,3.010460e-003,2.222550e+001,1.698711e+001,
,,,,,,,3.588277e+000,8.805235e-002,2.055148e-002,4.907779e+002,1.199483e+002,,,3.906140e-003,1.003210e+002,1.000436e+002,,,3.859480e-003,2.496970e+001,2.028729e+001,
Sample (ID),,002-941-N2_full-NC12-800_3 ,,,,,3.681249e+000,9.705593e-002,2.919668e-002,5.272989e+002,1.675106e+002,,,5.027360e-003,1.016350e+002,1.017286e+002,,,4.954660e-003,2.789260e+001,2.386070e+001,
,,,,,,,3.776630e+000,1.009096e-001,3.870050e-002,5.343899e+002,2.184252e+002,,,5.865050e-003,1.024520e+002,1.026869e+002,,,5.943270e-003,3.013630e+001,2.659214e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.874482e+000,1.008022e-001,4.861175e-002,5.203388e+002,2.702442e+002,,,6.906890e-003,1.033520e+002,1.035286e+002,,,6.748950e-003,3.175710e+001,2.856448e+001,
,,,,,,,3.974870e+000,9.610641e-002,5.852783e-002,4.835701e+002,3.207840e+002,,,7.936080e-003,1.041280e+002,1.042421e+002,,,7.759990e-003,3.358390e+001,3.076134e+001,
Sample(ID2),,002-906-H2_full-NC12-800_3 ,,,,,4.077859e+000,8.794104e-002,6.802951e-002,4.313099e+002,3.679845e+002,,,8.957470e-003,1.047660e+002,1.048557e+002,,,8.848940e-003,3.535030e+001,3.286793e+001,
,,,,,,,4.183516e+000,7.738291e-002,7.677838e-002,3.699420e+002,4.103588e+002,,,9.852890e-003,1.053180e+002,1.053790e+002,,,9.983230e-003,3.700700e+001,3.481184e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.537359e-002,8.452108e-002,3.046363e+002,4.469158e+002,,,1.970030e-002,1.092260e+002,1.088601e+002,,,1.988730e-002,4.714120e+001,4.629083e+001,
,,,,,,,4.403114e+000,5.291033e-002,9.109465e-002,2.403314e+002,4.771850e+002,,,2.906280e-002,1.114560e+002,1.114694e+002,,,2.962610e-002,5.344400e+001,5.314592e+001,
