,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,8.27E-08,14.3459,31.95979233,,,9.74E-05,2.94E+00,0.741064641
,,,,,,,3.077729863,0.000609533,1.20E-05,3.960927699,0.307882367,,,4.38E-07,28.6814,38.54769208,,,2.19E-04,5.82E+00,1.66202271
,,,,,,,3.157473703,0.004753113,0.00019195,30.10706461,2.708735312,,,1.93E-06,43.0228,44.45190983,,,3.68E-04,8.70E+00,2.770755495
,,,,,,,3.239283702,0.015613268,0.000971621,96.39950885,10.59517907,,,7.07E-06,57.3241,52.06747786,,,5.54E-04,1.15E+01,4.138768812
,,,,,,,3.323213395,0.033545065,0.003002008,201.8833014,27.5391825,,,2.94E-05,71.5191,64.14153861,,,7.80E-04,1.44E+01,5.75536837
,,,,,,,3.409317702,0.054254412,0.006782164,318.2713782,54.94371902,,,0.000218217,85.2723,81.43119106,,,1.06E-03,1.72E+01,7.670891976
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.073439615,0.012449968,419.9365451,92.03892536,,,0.00229865,97.0587,95.58160324,,,1.92E-03,2.34E+01,13.08026544
,,,,,,,3.588276996,0.088908826,0.019839212,495.5516308,136.9478105,,,0.00294949,98.0853,97.22186089,,,2.98E-03,2.87E+01,18.65911684
Sample (ID),,003-178-N2_full-SA0-250-800_1 ,,,,,3.681249089,0.100254733,0.028668075,544.6778035,187.5876459,,,0.00401852,99.4216,99.23950464,,,4.19E-03,3.31E+01,23.79006641
,,,,,,,3.776630085,0.107227745,0.038599323,567.8488102,241.7496308,,,0.00503392,100.664,100.5500866,,,4.85E-03,3.51E+01,26.20600283
