,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,2.32E-07,1.45E+01,36.35318866,,,1.53E-04,3.04E+00,1.307736862
,,,,,,,3.077729863,0.000748856,1.47E-05,4.866285427,0.378255699,,,5.64E-07,2.89E+01,44.42723216,,,3.32E-04,6.05E+00,2.824675457
,,,,,,,3.157473703,0.005839543,0.000235824,36.98870085,3.327876744,,,1.09E-06,4.34E+01,52.70273296,,,5.47E-04,9.06E+00,4.615183936
,,,,,,,3.239283702,0.019180017,0.001193696,118.4213444,13.01592685,,,2.14E-06,5.79E+01,62.58187972,,,7.98E-04,1.20E+01,6.642749337
,,,,,,,3.323213395,0.040990167,0.003682227,246.6899491,33.72053846,,,3.74E-06,7.24E+01,73.52138004,,,1.10E-03,1.50E+01,8.958149553
,,,,,,,3.409317702,0.065405071,0.008270759,383.6842259,66.7574029,,,6.22E-06,8.68E+01,85.27056601,,,1.94E-03,2.15E+01,14.88330382
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.08658871,0.015029185,495.1246517,110.4943706,,,9.88E-06,1.01E+02,97.1012576,,,3.00E-03,2.75E+01,21.20647528
,,,,,,,3.588276996,0.101776103,0.023613653,567.2700482,161.9026677,,,1.57E-05,1.16E+02,111.0783898,,,3.82E-03,3.13E+01,25.42816998
Sample (ID),,002-704-N2_full-SA1-250-800_5 ,,,,,3.681249089,0.110795425,0.03354505,601.9447349,217.8667295,,,2.43E-05,1.30E+02,126.7027888,,,4.97E-03,3.58E+01,30.4366134
,,,,,,,3.776630085,0.113695486,0.044298501,602.1001972,275.2956458,,,3.83E-05,1.45E+02,140.8369954,,,5.84E-03,3.88E+01,33.75328747
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.874482398,0.111257654,0.055343183,574.3097664,331.4931848,,,6.33E-05,1.59E+02,155.6621151,,,6.90E-03,4.20E+01,37.31218929
,,,,,,,3.97487006,0.104536673,0.066204929,525.9878785,384.295878,,,1.11E-04,1.74E+02,171.1892785,,,8.00E-03,4.49E+01,40.64407765
Sample(ID2),,002-664-H2_full-SA1-250-800-5 ,,,,,4.077858761,0.09463067,0.076480097,464.1194076,432.0949332,,,2.17E-04,1.88E+02,186.2418185,,,8.64E-03,4.66E+01,42.46836415
,,,,,,,4.183515895,0.082984021,0.08586951,396.7190447,474.0111305,,,5.02E-04,2.02E+02,201.1958524,,,1.00E-02,4.98E+01,46.04238282
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291910601,0.071000403,0.094209455,330.8568574,509.8742622,,,1.36E-03,2.16E+02,215.8405352,,,2.09E-02,6.78E+01,65.6532378
,,,,,,,4.403113809,0.059778175,0.101467694,271.5268233,540.0689158,,,1.37E-03,2.16E+02,215.9635462,,,2.92E-02,7.73E+01,75.76458777
Lambda,,3.5,,,,,4.517198286,0.050025633,0.107711792,221.4896506,565.3374469,,,1.43E-03,2.17E+02,216.5421909,,,3.88E-02,8.60E+01,84.82075137
,,,,,,,4.634238687,0.042338432,0.11309254,182.720116,586.7230826,,,1.47E-03,2.17E+02,216.8890834,,,4.79E-02,9.27E+01,91.77408611
St Dev of Fit,,2.762870971,,,,,4.7543116,0.037034006,0.117832008,155.7912458,605.4293912,,,1.51E-03,2.17E+02,217.2556649,,,5.84E-02,9.94E+01,98.4300014
,,,,,,,4.877495596,0.034213585,0.122193622,140.2916089,622.7110722,,,1.55E-03,2.18E+02,217.5879778,,,6.99E-02,1.06E+02,104.7227571
,,,,,,,5.003871284,0.033913841,0.126472543,135.5504144,639.8413491,,,1.59E-03,2.18E+02,217.9504106,,,7.98E-02,1.11E+02,109.3735936
,,,,,,,5.13352136,0.03588863,0.13097536,139.8207089,657.9691147,,,1.63E-03,2.18E+02,218.3337933,,,8.98E-02,1.15E+02,113.5567894
,,,,,,,5.266530664,0.039796298,0.13599025,151.1290842,678.0706889,,,1.67E-03,2.19E+02,218.7214483,,,9.96E-02,1.19E+02,117.326067
,,,,,,,5.402986233,0.04526362,0.141780395,167.5503802,700.9338714,,,1.72E-03,2.19E+02,219.0701325,,,1.49E-01,1.35E+02,132.4173955
,,,,,,,5.542977359,0.051773555,0.148565393,186.8077433,727.0852977,,,1.77E-03,2.19E+02,219.4268468,,,2.01E-01,1.47E+02,144.3455504
,,,,,,,5.686595649,0.058821721,0.156505712,206.8785067,756.7968351,,,1.82E-03,2.20E+02,219.8096369,,,2.54E-01,1.57E+02,154.2113661
,,,,,,,5.833935082,0.065937352,0.16570091,226.0476035,790.1025609,,,1.87E-03,2.20E+02,220.2039274,,,3.07E-01,1.65E+02,162.369204
,,,,,,,5.985092074,0.072675603,0.176186627,242.8554224,826.8118559,,,1.93E-03,2.20E+02,220.629325,,,3.56E-01,1.71E+02,169.084123
,,,,,,,6.140165536,0.078639199,0.187933289,256.146838,866.5334329,,,1.99E-03,2.21E+02,221.0935835,,,4.00E-01,1.76E+02,174.3440081
,,,,,,,6.299256944,0.083542912,0.200851297,265.2468787,908.7319324,,,2.14E-03,2.22E+02,222.0628274,,,4.50E-01,1.81E+02,179.9080417
,,,,,,,6.462470404,0.087185687,0.214803571,269.821544,952.77044,,,2.24E-03,2.22E+02,222.7073294,,,5.00E-01,1.86E+02,184.8936086
,,,,,,,6.629912717,0.089410297,0.229609477,269.7178716,997.9326242,,,2.47E-03,2.24E+02,224.1608801,,,5.50E-01,1.90E+02,189.3637264
,,,,,,,6.801693452,0.090189569,0.245056212,265.197395,1043.488428,,,2.59E-03,2.24E+02,224.947256,,,6.00E-01,1.93E+02,193.5939991
,,,,,,,6.977925018,0.089544346,0.260914112,256.6503522,1088.718321,,,2.74E-03,2.25E+02,225.7516212,,,6.49E-01,1.96E+02,197.392285
,,,,,,,7.158722737,0.087533738,0.276940509,244.5512729,1132.932633,,,2.87E-03,2.25E+02,226.4069339,,,6.99E-01,1.99E+02,201.0276867
,,,,,,,7.344204916,0.084310846,0.292893766,229.5982942,1175.519025,,,3.01E-03,2.26E+02,227.1078647,,,7.51E-01,2.02E+02,204.5312022
,,,,,,,7.534492929,0.080035305,0.308544018,212.450408,1215.945792,,,3.16E-03,2.27E+02,227.8580185,,,7.99E-01,2.05E+02,207.5838845
,,,,,,,7.729711297,0.074892913,0.323676571,193.7793283,1253.775076,,,3.32E-03,2.27E+02,228.6441001,,,9.93E-01,2.13E+02,218.4936965
