,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
St Dev of Fit,,4.1411491807315,,,,,4.754312e+000,1.740703e-002,1.316870e-001,7.322628e+001,6.808815e+002,,,2.888690e-002,1.541450e+002,1.537556e+002,,,4.870090e-002,8.330360e+001,8.202757e+001,
,,,,,,,4.877496e+000,9.227647e-003,1.332894e-001,3.783764e+001,6.875453e+002,,,3.812820e-002,1.556620e+002,1.553408e+002,,,5.880570e-002,8.782360e+001,8.659660e+001,
,,,,,,,5.003871e+000,4.416988e-003,1.341160e-001,1.765428e+001,6.909051e+002,,,4.917130e-002,1.570850e+002,1.568399e+002,,,7.069710e-002,9.234640e+001,9.114308e+001,
,,,,,,,5.133521e+000,2.699747e-003,1.345447e-001,1.051811e+001,6.925986e+002,,,6.210250e-002,1.583140e+002,1.581757e+002,,,7.983770e-002,9.537430e+001,9.412858e+001,
,,,,,,,5.266531e+000,3.882124e-003,1.349427e-001,1.474262e+001,6.941592e+002,,,7.028790e-002,1.589430e+002,1.587636e+002,,,8.968700e-002,9.831580e+001,9.700517e+001,
,,,,,,,5.402986e+000,7.281871e-003,1.356761e-001,2.695499e+001,6.969054e+002,,,8.001900e-002,1.595990e+002,1.594353e+002,,,9.987330e-002,1.010560e+002,9.969957e+001,
,,,,,,,5.542977e+000,1.283044e-002,1.370653e-001,4.629439e+001,7.019760e+002,,,8.975670e-002,1.601880e+002,1.600860e+002,,,1.495200e-001,1.113700e+002,1.100023e+002,
,,,,,,,5.686596e+000,1.972947e-002,1.393942e-001,6.938939e+001,7.102589e+002,,,9.977220e-002,1.607430e+002,1.607552e+002,,,2.014980e-001,1.191120e+002,1.178850e+002,
,,,,,,,5.833935e+000,2.727064e-002,1.428556e-001,9.348971e+001,7.222696e+002,,,1.497510e-001,1.627580e+002,1.627704e+002,,,2.549070e-001,1.252370e+002,1.243443e+002,
,,,,,,,5.985092e+000,3.476811e-002,1.475567e-001,1.161824e+002,7.381617e+002,,,1.999700e-001,1.643040e+002,1.642368e+002,,,3.072080e-001,1.300440e+002,1.295448e+002,
,,,,,,,6.140166e+000,4.188592e-002,1.535137e-001,1.364325e+002,7.578064e+002,,,2.501500e-001,1.656420e+002,1.655119e+002,,,3.567500e-001,1.339060e+002,1.338323e+002,
,,,,,,,6.299257e+000,4.802246e-002,1.606822e-001,1.524702e+002,7.808518e+002,,,3.000750e-001,1.668210e+002,1.667139e+002,,,4.001750e-001,1.368290e+002,1.371910e+002,
,,,,,,,6.462470e+000,5.293593e-002,1.689424e-001,1.638257e+002,8.067270e+002,,,3.494020e-001,1.678910e+002,1.677922e+002,,,4.500000e-001,1.397860e+002,1.406744e+002,
,,,,,,,6.629913e+000,5.647433e-002,1.781253e-001,1.703622e+002,8.347804e+002,,,3.989670e-001,1.688710e+002,1.687864e+002,,,5.002750e-001,1.424220e+002,1.438394e+002,
,,,,,,,6.801693e+000,5.847505e-002,1.880208e-001,1.719426e+002,8.642492e+002,,,4.491450e-001,1.697950e+002,1.697336e+002,,,5.505010e-001,1.447770e+002,1.466783e+002,
,,,,,,,6.977925e+000,5.897391e-002,1.983920e-001,1.690299e+002,8.943450e+002,,,4.990890e-001,1.706790e+002,1.706407e+002,,,6.006710e-001,1.468930e+002,1.493415e+002,
,,,,,,,7.158723e+000,5.802192e-002,2.089892e-001,1.621013e+002,9.243327e+002,,,5.489420e-001,1.715540e+002,1.714792e+002,,,6.504800e-001,1.487750e+002,1.517585e+002,
,,,,,,,7.344205e+000,5.574789e-002,2.195601e-001,1.518146e+002,9.534841e+002,,,5.987210e-001,1.724650e+002,1.723825e+002,,,7.000170e-001,1.504990e+002,1.539857e+002,
,,,,,,,7.534493e+000,5.240041e-002,2.298653e-001,1.390947e+002,9.811936e+002,,,6.485980e-001,1.734620e+002,1.734172e+002,,,7.501700e-001,1.521000e+002,1.561142e+002,
,,,,,,,7.729711e+000,4.814672e-002,2.396901e-001,1.245757e+002,1.006946e+003,,,6.986130e-001,1.745580e+002,1.745476e+002,,,8.007640e-001,1.535940e+002,1.581057e+002,
,,,,,,,7.929988e+000,4.327718e-002,2.488511e-001,1.091482e+002,1.030351e+003,,,7.483820e-001,1.758550e+002,1.759189e+002,,,9.923290e-001,1.581340e+002,1.647606e+002,
,,,,,,,8.135453e+000,3.805813e-002,2.572085e-001,9.356118e+001,1.051167e+003,,,7.572660e-001,1.762090e+002,1.762097e+002,,,,,,
,,,,,,,8.346243e+000,3.275520e-002,2.646664e-001,7.849090e+001,1.069279e+003,,,7.651910e-001,1.765210e+002,1.764947e+002,,,,,,
,,,,,,,8.562493e+000,2.755420e-002,2.711797e-001,6.436024e+001,1.084693e+003,,,7.727140e-001,1.768200e+002,1.767795e+002,,,,,,
,,,,,,,8.784347e+000,2.270262e-002,2.767448e-001,5.168880e+001,1.097532e+003,,,7.805160e-001,1.771280e+002,1.770753e+002,,,,,,
,,,,,,,9.011949e+000,1.830965e-002,2.813998e-001,4.063415e+001,1.108006e+003,,,7.881140e-001,1.774220e+002,1.773920e+002,,,,,,
,,,,,,,9.245448e+000,1.445841e-002,2.852119e-001,3.127683e+001,1.116362e+003,,,7.959920e-001,1.777620e+002,1.777168e+002,,,,,,
,,,,,,,9.484998e+000,1.121845e-002,2.882708e-001,2.365515e+001,1.122902e+003,,,8.037470e-001,1.780930e+002,1.781148e+002,,,,,,
,,,,,,,9.730753e+000,8.526970e-003,2.906831e-001,1.752582e+001,1.127927e+003,,,8.116250e-001,1.784400e+002,1.784530e+002,,,,,,
,,,,,,,9.982877e+000,6.411721e-003,2.925538e-001,1.284544e+001,1.131725e+003,,,8.189580e-001,1.788070e+002,1.787798e+002,,,,,,
,,,,,,,1.024153e+001,4.798975e-003,2.939926e-001,9.371595e+000,1.134574e+003,,,8.266900e-001,1.791710e+002,1.792075e+002,,,,,,
,,,,,,,1.050689e+001,3.616525e-003,2.950996e-001,6.884102e+000,1.136709e+003,,,8.341530e-001,1.795750e+002,1.795591e+002,,,,,,
,,,,,,,1.077912e+001,2.795610e-003,2.959651e-001,5.187081e+000,1.138336e+003,,,8.420390e-001,1.799970e+002,1.800088e+002,,,,,,
,,,,,,,1.105841e+001,2.270401e-003,2.966664e-001,4.106198e+000,1.139621e+003,,,8.496900e-001,1.804520e+002,1.804626e+002,,,,,,
,,,,,,,1.134493e+001,1.966281e-003,2.972685e-001,3.466359e+000,1.140697e+003,,,8.572390e-001,1.809410e+002,1.809292e+002,,,,,,
,,,,,,,1.163888e+001,1.827274e-003,2.978228e-001,3.139949e+000,1.141661e+003,,,8.645460e-001,1.814320e+002,1.814324e+002,,,,,,
,,,,,,,1.194044e+001,1.807135e-003,2.983686e-001,3.026915e+000,1.142587e+003,,,8.719480e-001,1.820040e+002,1.819733e+002,,,,,,
,,,,,,,1.224982e+001,1.859528e-003,2.989343e-001,3.036009e+000,1.143522e+003,,,8.788190e-001,1.826110e+002,1.825222e+002,,,,,,
,,,,,,,1.256721e+001,1.954285e-003,2.995389e-001,3.110133e+000,1.144496e+003,,,8.858710e-001,1.832680e+002,1.832801e+002,,,,,,
,,,,,,,1.289283e+001,2.064712e-003,3.001932e-001,3.202885e+000,1.145524e+003,,,8.929150e-001,1.840820e+002,1.841176e+002,,,,,,
,,,,,,,1.322688e+001,2.170240e-003,3.009011e-001,3.281560e+000,1.146608e+003,,,8.996960e-001,1.849540e+002,1.850362e+002,,,,,,
,,,,,,,1.356959e+001,2.257614e-003,3.016606e-001,3.327461e+000,1.147742e+003,,,9.060780e-001,1.858810e+002,1.858569e+002,,,,,,
,,,,,,,1.392117e+001,2.313258e-003,3.024653e-001,3.323367e+000,1.148913e+003,,,9.121240e-001,1.869870e+002,1.869612e+002,,,,,,
,,,,,,,1.428187e+001,2.327502e-003,3.033037e-001,3.259380e+000,1.150101e+003,,,9.179460e-001,1.882140e+002,1.881797e+002,,,,,,
,,,,,,,1.465191e+001,2.293270e-003,3.041603e-001,3.130335e+000,1.151285e+003,,,9.228760e-001,1.894830e+002,1.895020e+002,,,,,,
,,,,,,,1.503154e+001,2.205938e-003,3.050163e-001,2.935079e+000,1.152439e+003,,,9.277600e-001,1.909880e+002,1.909602e+002,,,,,,
,,,,,,,1.542101e+001,2.076735e-003,3.058518e-001,2.693384e+000,1.153536e+003,,,9.326600e-001,1.925830e+002,1.925648e+002,,,,,,
,,,,,,,1.582057e+001,1.905321e-003,3.066484e-001,2.408663e+000,1.154556e+003,,,9.368870e-001,1.942770e+002,1.942939e+002,,,,,,
,,,,,,,1.623048e+001,1.704696e-003,3.073889e-001,2.100611e+000,1.155481e+003,,,9.408370e-001,1.962980e+002,1.961840e+002,,,,,,
,,,,,,,1.665101e+001,1.486853e-003,3.080602e-001,1.785901e+000,1.156298e+003,,,9.446690e-001,1.983560e+002,1.982872e+002,,,,,,
,,,,,,,1.708244e+001,1.263394e-003,3.086530e-001,1.479173e+000,1.157001e+003,,,9.481870e-001,2.005260e+002,2.005691e+002,,,,,,
,,,,,,,1.752504e+001,1.042754e-003,3.091628e-001,1.190016e+000,1.157590e+003,,,9.512840e-001,2.026650e+002,2.030362e+002,,,,,,
,,,,,,,1.797912e+001,8.361228e-004,3.095885e-001,9.301045e-001,1.158070e+003,,,9.541270e-001,2.050350e+002,2.050323e+002,,,,,,
,,,,,,,1.844495e+001,6.504659e-004,3.099335e-001,7.053050e-001,1.158450e+003,,,9.567730e-001,2.076200e+002,2.077257e+002,,,,,,
,,,,,,,1.892286e+001,4.899569e-004,3.102046e-001,5.178466e-001,1.158740e+003,,,9.594780e-001,2.101270e+002,2.104389e+002,,,,,,
,,,,,,,1.941315e+001,3.595655e-004,3.104115e-001,3.704349e-001,1.158956e+003,,,9.617780e-001,2.127540e+002,2.124691e+002,,,,,,
,,,,,,,1.991615e+001,2.581184e-004,3.105656e-001,2.592051e-001,1.159113e+003,,,9.644720e-001,2.156190e+002,2.156376e+002,,,,,,
,,,,,,,2.043217e+001,1.842152e-004,3.106785e-001,1.803188e-001,1.159225e+003,,,9.665430e-001,2.183980e+002,2.174982e+002,,,,,,
,,,,,,,2.096157e+001,1.349956e-004,3.107619e-001,1.288030e-001,1.159306e+003,,,9.685380e-001,2.211940e+002,2.200360e+002,,,,,,
,,,,,,,2.150468e+001,1.060573e-004,3.108264e-001,9.863643e-002,1.159367e+003,,,9.704050e-001,2.239620e+002,2.230764e+002,,,,,,
,,,,,,,2.206187e+001,9.383927e-005,3.108814e-001,8.506920e-002,1.159417e+003,,,9.720040e-001,2.269230e+002,2.261082e+002,,,,,,
,,,,,,,2.263349e+001,9.407848e-005,3.109347e-001,8.313211e-002,1.159465e+003,,,9.738440e-001,2.296500e+002,2.312058e+002,,,,,,
,,,,,,,2.321992e+001,1.029609e-004,3.109921e-001,8.868324e-002,1.159515e+003,,,9.754300e-001,2.325840e+002,2.375501e+002,,,,,,
,,,,,,,2.382155e+001,1.171292e-004,3.110582e-001,9.833883e-002,1.159571e+003,,,9.767920e-001,2.356060e+002,2.428031e+002,,,,,,
,,,,,,,2.443876e+001,1.346378e-004,3.111359e-001,1.101838e-001,1.159635e+003,,,9.783950e-001,2.384730e+002,2.505299e+002,,,,,,
,,,,,,,2.507197e+001,1.528402e-004,3.112269e-001,1.219211e-001,1.159709e+003,,,9.796570e-001,2.414810e+002,2.511410e+002,,,,,,
,,,,,,,2.572159e+001,1.705298e-004,3.113320e-001,1.325966e-001,1.159792e+003,,,9.813120e-001,2.444370e+002,2.531058e+002,,,,,,
,,,,,,,2.638803e+001,1.866992e-004,3.114512e-001,1.415030e-001,1.159883e+003,,,9.826620e-001,2.474400e+002,2.531175e+002,,,,,,
,,,,,,,2.707174e+001,2.004189e-004,3.115838e-001,1.480650e-001,1.159982e+003,,,9.839860e-001,2.505080e+002,2.531290e+002,,,,,,
,,,,,,,2.777317e+001,2.116005e-004,3.117285e-001,1.523776e-001,1.160088e+003,,,9.852190e-001,2.536260e+002,2.531397e+002,,,,,,
,,,,,,,2.849277e+001,2.196006e-004,3.118838e-001,1.541448e-001,1.160198e+003,,,9.867000e-001,2.566620e+002,2.531526e+002,,,,,,
,,,,,,,2.923102e+001,2.244556e-004,3.120479e-001,1.535736e-001,1.160312e+003,,,9.880440e-001,2.597540e+002,2.531643e+002,,,,,,
,,,,,,,2.998839e+001,2.262761e-004,3.122188e-001,1.509091e-001,1.160427e+003,,,9.895710e-001,2.627750e+002,2.531776e+002,,,,,,
,,,,,,,3.076539e+001,2.251513e-004,3.123944e-001,1.463666e-001,1.160543e+003,,,9.907710e-001,2.659870e+002,2.531927e+002,,,,,,
,,,,,,,3.156252e+001,2.213735e-004,3.125725e-001,1.402762e-001,1.160657e+003,,,9.920420e-001,2.692450e+002,2.532114e+002,,,,,,
,,,,,,,3.238030e+001,2.152239e-004,3.127512e-001,1.329350e-001,1.160769e+003,,,,,,,,,,,
,,,,,,,3.321928e+001,2.070184e-004,3.129284e-001,1.246375e-001,1.160877e+003,,,,,,,,,,,
,,,,,,,3.407999e+001,1.970871e-004,3.131024e-001,1.156615e-001,1.160981e+003,,,,,,,,,,,
,,,,,,,3.496300e+001,1.857332e-004,3.132715e-001,1.062456e-001,1.161079e+003,,,,,,,,,,,
,,,,,,,3.586889e+001,1.732389e-004,3.134342e-001,9.659566e-002,1.161171e+003,,,,,,,,,,,
,,,,,,,3.679825e+001,1.598691e-004,3.135890e-001,8.688950e-002,1.161256e+003,,,,,,,,,,,
,,,,,,,3.775169e+001,1.458380e-004,3.137348e-001,7.726170e-002,1.161334e+003,,,,,,,,,,,
,,,,,,,3.872983e+001,1.315795e-004,3.138704e-001,6.794737e-002,1.161405e+003,,,,,,,,,,,
,,,,,,,3.973332e+001,1.172320e-004,3.139952e-001,5.900944e-002,1.161469e+003,,,,,,,,,,,
,,,,,,,4.076281e+001,1.033164e-004,3.141087e-001,5.069150e-002,1.161525e+003,,,,,,,,,,,
,,,,,,,4.181897e+001,9.031468e-005,3.142108e-001,4.319316e-002,1.161574e+003,,,,,,,,,,,
,,,,,,,4.290250e+001,7.870707e-005,3.143022e-001,3.669113e-002,1.161618e+003,,,,,,,,,,,
,,,,,,,4.401410e+001,6.888699e-005,3.143840e-001,3.130224e-002,1.161655e+003,,,,,,,,,,,
,,,,,,,4.515451e+001,6.132885e-005,3.144580e-001,2.716400e-002,1.161688e+003,,,,,,,,,,,
,,,,,,,4.632446e+001,5.632456e-005,3.145265e-001,2.431742e-002,1.161718e+003,,,,,,,,,,,
,,,,,,,4.752472e+001,5.404990e-005,3.145925e-001,2.274601e-002,1.161747e+003,,,,,,,,,,,
,,,,,,,4.875608e+001,5.474671e-005,3.146591e-001,2.245739e-002,1.161774e+003,,,,,,,,,,,
,,,,,,,5.001935e+001,5.796483e-005,3.147300e-001,2.317696e-002,1.161803e+003,,,,,,,,,,,
,,,,,,,5.131535e+001,6.383769e-005,3.148086e-001,2.488054e-002,1.161834e+003,,,,,,,,,,,
,,,,,,,5.264493e+001,7.196387e-005,3.148987e-001,2.733934e-002,1.161869e+003,,,,,,,,,,,
,,,,,,,5.400896e+001,8.186668e-005,3.150034e-001,3.031596e-002,1.161908e+003,,,,,,,,,,,
,,,,,,,5.540833e+001,9.318726e-005,3.151258e-001,3.363655e-002,1.161953e+003,,,,,,,,,,,
,,,,,,,5.684395e+001,1.053237e-004,3.152683e-001,3.705714e-002,1.162003e+003,,,,,,,,,,,
,,,,,,,5.831678e+001,1.177212e-004,3.154326e-001,4.037300e-002,1.162061e+003,,,,,,,,,,,
,,,,,,,5.982776e+001,1.298303e-004,3.156197e-001,4.340137e-002,1.162124e+003,,,,,,,,,,,
,,,,,,,6.137790e+001,1.411093e-004,3.158299e-001,4.598049e-002,1.162193e+003,,,,,,,,,,,
,,,,,,,6.296820e+001,1.510760e-004,3.160625e-001,4.798486e-002,1.162268e+003,,,,,,,,,,,
,,,,,,,6.459970e+001,1.592789e-004,3.163159e-001,4.931259e-002,1.162347e+003,,,,,,,,,,,
,,,,,,,6.627348e+001,1.653712e-004,3.165880e-001,4.990569e-002,1.162431e+003,,,,,,,,,,,
,,,,,,,6.799062e+001,1.690926e-004,3.168756e-001,4.973998e-002,1.162516e+003,,,,,,,,,,,
,,,,,,,6.975225e+001,1.709570e-004,3.171755e-001,4.901833e-002,1.162603e+003,,,,,,,,,,,
,,,,,,,7.155953e+001,1.708270e-004,3.174846e-001,4.774401e-002,1.162691e+003,,,,,,,,,,,
,,,,,,,7.341363e+001,1.693846e-004,3.178001e-001,4.614527e-002,1.162778e+003,,,,,,,,,,,
,,,,,,,7.531578e+001,1.672216e-004,3.181203e-001,4.440546e-002,1.162864e+003,,,,,,,,,,,
,,,,,,,7.726721e+001,1.649374e-004,3.184443e-001,4.269273e-002,1.162949e+003,,,,,,,,,,,
,,,,,,,7.926920e+001,1.626462e-004,3.187721e-001,4.103641e-002,1.163033e+003,,,,,,,,,,,
,,,,,,,8.132306e+001,1.608921e-004,3.191042e-001,3.956862e-002,1.163116e+003,,,,,,,,,,,
,,,,,,,8.343013e+001,1.597107e-004,3.194419e-001,3.828610e-002,1.163198e+003,,,,,,,,,,,
,,,,,,,8.559181e+001,1.590972e-004,3.197864e-001,3.717580e-002,1.163279e+003,,,,,,,,,,,
,,,,,,,8.780948e+001,1.590620e-004,3.201390e-001,3.622888e-002,1.163360e+003,,,,,,,,,,,
,,,,,,,9.008462e+001,1.595118e-004,3.205014e-001,3.541377e-002,1.163442e+003,,,,,,,,,,,
,,,,,,,9.241871e+001,1.603615e-004,3.208746e-001,3.470326e-002,1.163524e+003,,,,,,,,,,,
,,,,,,,9.481328e+001,1.615227e-004,3.212600e-001,3.407175e-002,1.163606e+003,,,,,,,,,,,
,,,,,,,9.726989e+001,1.629811e-004,3.216585e-001,3.351110e-002,1.163689e+003,,,,,,,,,,,
,,,,,,,9.979014e+001,1.646593e-004,3.220713e-001,3.300111e-002,1.163773e+003,,,,,,,,,,,
,,,,,,,1.023757e+002,1.666238e-004,3.224996e-001,3.255144e-002,1.163858e+003,,,,,,,,,,,
,,,,,,,1.050283e+002,1.689498e-004,3.229446e-001,3.217225e-002,1.163943e+003,,,,,,,,,,,
,,,,,,,1.077495e+002,1.717803e-004,3.234080e-001,3.188512e-002,1.164030e+003,,,,,,,,,,,
,,,,,,,1.105413e+002,1.753022e-004,3.238924e-001,3.171705e-002,1.164119e+003,,,,,,,,,,,
,,,,,,,1.134054e+002,1.797163e-004,3.244006e-001,3.169448e-002,1.164210e+003,,,,,,,,,,,
,,,,,,,1.163438e+002,1.851619e-004,3.249364e-001,3.183014e-002,1.164303e+003,,,,,,,,,,,
,,,,,,,1.193582e+002,1.917066e-004,3.255041e-001,3.212290e-002,1.164400e+003,,,,,,,,,,,
,,,,,,,1.224508e+002,1.993740e-004,3.261086e-001,3.256393e-002,1.164500e+003,,,,,,,,,,,
,,,,,,,1.256235e+002,2.077796e-004,3.267543e-001,3.307974e-002,1.164604e+003,,,,,,,,,,,
,,,,,,,1.288784e+002,2.168048e-004,3.274452e-001,3.364487e-002,1.164712e+003,,,,,,,,,,,
,,,,,,,1.322176e+002,2.260647e-004,3.281847e-001,3.419584e-002,1.164826e+003,,,,,,,,,,,
,,,,,,,1.356434e+002,2.352592e-004,3.289751e-001,3.468790e-002,1.164944e+003,,,,,,,,,,,
,,,,,,,1.391579e+002,2.441106e-004,3.298176e-001,3.508397e-002,1.165066e+003,,,,,,,,,,,
,,,,,,,1.427635e+002,2.525253e-004,3.307132e-001,3.537674e-002,1.165193e+003,,,,,,,,,,,
,,,,,,,1.464625e+002,2.604326e-004,3.316621e-001,3.556305e-002,1.165325e+003,,,,,,,,,,,
,,,,,,,1.502573e+002,2.678636e-004,3.326647e-001,3.565399e-002,1.165460e+003,,,,,,,,,,,
,,,,,,,1.541504e+002,2.749091e-004,3.337214e-001,3.566764e-002,1.165599e+003,,,,,,,,,,,
,,,,,,,1.581445e+002,2.816477e-004,3.348330e-001,3.561903e-002,1.165741e+003,,,,,,,,,,,
,,,,,,,1.622420e+002,2.881634e-004,3.360005e-001,3.552266e-002,1.165887e+003,,,,,,,,,,,
,,,,,,,1.664457e+002,2.945353e-004,3.372254e-001,3.539116e-002,1.166036e+003,,,,,,,,,,,
,,,,,,,1.707583e+002,3.008573e-004,3.385093e-001,3.523781e-002,1.166188e+003,,,,,,,,,,,
,,,,,,,1.751826e+002,3.072051e-004,3.398544e-001,3.507256e-002,1.166344e+003,,,,,,,,,,,
,,,,,,,1.797216e+002,3.136753e-004,3.412635e-001,3.490680e-002,1.166502e+003,,,,,,,,,,,
,,,,,,,1.843782e+002,3.203064e-004,3.427396e-001,3.474450e-002,1.166665e+003,,,,,,,,,,,
,,,,,,,1.891554e+002,3.271276e-004,3.442860e-001,3.458824e-002,1.166830e+003,,,,,,,,,,,
,,,,,,,1.940564e+002,3.342002e-004,3.459064e-001,3.444362e-002,1.166999e+003,,,,,,,,,,,
,,,,,,,1.990844e+002,3.413762e-004,3.476048e-001,3.429462e-002,1.167172e+003,,,,,,,,,,,
,,,,,,,2.042427e+002,3.487616e-004,3.493848e-001,3.415169e-002,1.167349e+003,,,,,,,,,,,
,,,,,,,2.095346e+002,3.561811e-004,3.512501e-001,3.399736e-002,1.167529e+003,,,,,,,,,,,
,,,,,,,2.149636e+002,3.633622e-004,3.532034e-001,3.380685e-002,1.167713e+003,,,,,,,,,,,
,,,,,,,2.205333e+002,3.700704e-004,3.552462e-001,3.356140e-002,1.167901e+003,,,,,,,,,,,
,,,,,,,2.262473e+002,3.754845e-004,3.573770e-001,3.319239e-002,1.168092e+003,,,,,,,,,,,
,,,,,,,2.321094e+002,3.791496e-004,3.595899e-001,3.266991e-002,1.168285e+003,,,,,,,,,,,
,,,,,,,2.381233e+002,3.803230e-004,3.618752e-001,3.194337e-002,1.168479e+003,,,,,,,,,,,
,,,,,,,2.442931e+002,3.785480e-004,3.642180e-001,3.099130e-002,1.168673e+003,,,,,,,,,,,
,,,,,,,2.506227e+002,3.732947e-004,3.665992e-001,2.978938e-002,1.168866e+003,,,,,,,,,,,
,,,,,,,2.571163e+002,3.646481e-004,3.689969e-001,2.836444e-002,1.169055e+003,,,,,,,,,,,
,,,,,,,2.637782e+002,3.527643e-004,3.713881e-001,2.674704e-002,1.169238e+003,,,,,,,,,,,
,,,,,,,2.706127e+002,3.380809e-004,3.737507e-001,2.498633e-002,1.169415e+003,,,,,,,,,,,
,,,,,,,2.776242e+002,3.219976e-004,3.760656e-001,2.319665e-002,1.169584e+003,,,,,,,,,,,
,,,,,,,2.848175e+002,3.050967e-004,3.783207e-001,2.142401e-002,1.169744e+003,,,,,,,,,,,
,,,,,,,2.921971e+002,2.892620e-004,3.805124e-001,1.979910e-002,1.169896e+003,,,,,,,,,,,
,,,,,,,2.997679e+002,2.762812e-004,3.826507e-001,1.843301e-002,1.170041e+003,,,,,,,,,,,
,,,,,,,3.075349e+002,2.682495e-004,3.847604e-001,1.744514e-002,1.170180e+003,,,,,,,,,,,
,,,,,,,3.155031e+002,2.668767e-004,3.868868e-001,1.691753e-002,1.170316e+003,,,,,,,,,,,
,,,,,,,3.236778e+002,2.744972e-004,3.890932e-001,1.696114e-002,1.170454e+003,,,,,,,,,,,
,,,,,,,3.320642e+002,2.921924e-004,3.914619e-001,1.759855e-002,1.170599e+003,,,,,,,,,,,
,,,,,,,3.406680e+002,3.203646e-004,3.940893e-001,1.880802e-002,1.170755e+003,,,,,,,,,,,
,,,,,,,3.494947e+002,3.606252e-004,3.970759e-001,2.063695e-002,1.170929e+003,,,,,,,,,,,
