,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.549040e-007,1.308240e+001,2.992735e+001,,,1.062880e-004,3.097180e+000,9.769805e-001,
,,,,,,,3.077730e+000,9.292852e-004,1.829025e-005,6.038770e+000,1.194661e-001,,,6.031610e-007,2.619150e+001,3.554801e+001,,,2.392620e-004,6.169260e+000,2.188254e+000,
,,,,,,,3.157474e+000,7.621238e-003,2.883759e-004,4.827427e+001,2.619309e+000,,,1.550200e-006,3.932210e+001,4.205727e+001,,,4.040690e-004,9.236810e+000,3.668552e+000,
,,,,,,,3.239284e+000,2.367082e-002,1.479989e-003,1.461485e+002,1.005342e+001,,,3.402400e-006,5.243190e+001,5.014949e+001,,,6.064820e-004,1.230360e+001,5.447737e+000,
,,,,,,,3.323213e+000,4.787282e-002,4.535160e-003,2.881116e+002,2.831315e+001,,,6.898960e-006,6.553400e+001,5.981873e+001,,,8.463590e-004,1.530680e+001,7.491419e+000,
,,,,,,,3.409318e+000,7.691799e-002,9.947391e-003,4.512222e+002,6.043892e+001,,,1.378290e-005,7.861480e+001,7.094736e+001,,,1.137990e-003,1.830620e+001,9.870129e+000,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.007748e-001,1.784117e-002,5.762423e+002,1.061302e+002,,,2.827400e-005,9.170010e+001,8.593967e+001,,,2.003670e-003,2.489180e+001,1.621368e+001,
,,,,,,,3.588277e+000,1.186597e-001,2.783808e-002,6.613745e+002,1.624913e+002,,,6.760120e-005,1.047560e+002,1.013771e+002,,,2.884890e-003,2.975550e+001,2.165497e+001,
Sample (ID),,002-926-N2_full-NC09-800_1 ,,,,,3.681249e+000,1.300939e-001,3.945842e-002,7.067922e+002,2.264223e+002,,,2.145700e-004,1.177100e+002,1.177119e+002,,,3.891910e-003,3.411850e+001,2.680337e+001,
,,,,,,,3.776630e+000,1.342267e-001,5.215373e-002,7.108277e+002,2.944280e+002,,,8.475090e-004,1.302820e+002,1.305716e+002,,,4.890710e-003,3.765730e+001,3.107529e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.874482e+000,1.328129e-001,6.527853e-002,6.855776e+002,3.630498e+002,,,3.840360e-003,1.415450e+002,1.415884e+002,,,5.744100e-003,4.025790e+001,3.424290e+001,
,,,,,,,3.974870e+000,1.249374e-001,7.826116e-002,6.286365e+002,4.292210e+002,,,5.206580e-003,1.434450e+002,1.435662e+002,,,6.806930e-003,4.310550e+001,3.766081e+001,
Sample(ID2),,002-628-H2_full-NC09-800_1 ,,,,,4.077859e+000,1.122389e-001,9.050819e-002,5.504797e+002,4.900541e+002,,,5.873650e-003,1.442220e+002,1.443451e+002,,,7.915140e-003,4.571770e+001,4.076902e+001,
,,,,,,,4.183516e+000,9.633332e-002,1.015465e-001,4.605376e+002,5.435200e+002,,,6.833380e-003,1.451580e+002,1.451934e+002,,,8.562530e-003,4.712570e+001,4.241796e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,7.860414e-002,1.110327e-001,3.662897e+002,5.883122e+002,,,7.868190e-003,1.460640e+002,1.460011e+002,,,1.005230e-002,5.001590e+001,4.585078e+001,
,,,,,,,4.403114e+000,6.061728e-002,1.187648e-001,2.753383e+002,6.239258e+002,,,8.971440e-003,1.468820e+002,1.467163e+002,,,1.925500e-002,6.270970e+001,6.016294e+001,
Lambda,,3.5,,,,,4.517198e+000,4.375877e-002,1.246977e-001,1.937430e+002,6.505498e+002,,,9.837460e-003,1.475180e+002,1.472490e+002,,,3.008580e-002,7.224200e+001,7.051544e+001,
,,,,,,,4.634239e+000,2.923081e-002,1.289280e-001,1.261515e+002,6.691131e+002,,,1.920400e-002,1.517370e+002,1.508658e+002,,,4.192900e-002,7.975930e+001,7.842436e+001,
