,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,3.11E-07,1.45E+01,3.72E+01,,,6.71E-05,1.64E+00,6.90E-01
,,,,,,,3.08E+00,1.11E-03,2.19E-05,7.23E+00,1.43E-01,,,6.70E-07,2.89E+01,4.37E+01,,,1.41E-04,3.29E+00,1.45E+00
,,,,,,,3.16E+00,9.15E-03,3.45E-04,5.79E+01,3.18E+00,,,1.45E-06,4.34E+01,5.24E+01,,,2.22E-04,4.94E+00,2.27E+00
,,,,,,,3.24E+00,2.83E-02,1.77E-03,1.75E+02,1.21E+01,,,2.86E-06,5.79E+01,6.25E+01,,,3.11E-04,6.61E+00,3.17E+00
,,,,,,,3.32E+00,5.68E-02,5.43E-03,3.42E+02,3.39E+01,,,5.08E-06,7.23E+01,7.32E+01,,,4.08E-04,8.26E+00,4.14E+00
,,,,,,,3.41E+00,9.06E-02,1.18E-02,5.31E+02,7.19E+01,,,8.66E-06,8.67E+01,8.51E+01,,,5.15E-04,9.90E+00,5.19E+00
Two isotherms - Two corresponding kernels,,,,,,,3.50E+00,1.17E-01,2.10E-02,6.67E+02,1.25E+02,,,1.40E-05,1.01E+02,9.66E+01,,,6.32E-04,1.15E+01,6.33E+00
,,,,,,,3.59E+00,1.34E-01,3.25E-02,7.49E+02,1.90E+02,,,2.28E-05,1.16E+02,1.11E+02,,,7.60E-04,1.32E+01,7.55E+00
Sample (ID),,002-703-N2_full-SA05-250-800_5 ,,,,,3.68E+00,1.44E-01,4.55E-02,7.80E+02,2.61E+02,,,3.85E-05,1.30E+02,1.26E+02,,,8.99E-04,1.48E+01,8.85E+00
,,,,,,,3.78E+00,1.44E-01,5.93E-02,7.63E+02,3.35E+02,,,7.15E-05,1.45E+02,1.41E+02,,,1.05E-03,1.64E+01,1.02E+01
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.87E+00,1.38E-01,7.32E-02,7.13E+02,4.08E+02,,,1.55E-04,1.59E+02,1.57E+02,,,1.92E-03,2.38E+01,1.75E+01
,,,,,,,3.97E+00,1.26E-01,8.65E-02,6.34E+02,4.76E+02,,,4.42E-04,1.73E+02,1.73E+02,,,2.94E-03,3.00E+01,2.45E+01
Sample(ID2),,002-663-H2_full-SA05-250-800-5 ,,,,,4.08E+00,1.10E-01,9.86E-02,5.39E+02,5.36E+02,,,1.64E-03,1.87E+02,1.88E+02,,,4.28E-03,3.63E+01,3.20E+01
,,,,,,,4.18E+00,9.19E-02,1.09E-01,4.40E+02,5.88E+02,,,1.66E-03,1.87E+02,1.88E+02,,,4.83E-03,3.85E+01,3.45E+01
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.29E+00,7.42E-02,1.18E-01,3.46E+02,6.30E+02,,,1.73E-03,1.87E+02,1.88E+02,,,5.81E-03,4.20E+01,3.87E+01
,,,,,,,4.40E+00,5.77E-02,1.26E-01,2.62E+02,6.64E+02,,,1.78E-03,1.88E+02,1.88E+02,,,6.87E-03,4.53E+01,4.26E+01
Lambda,,4,,,,,4.52E+00,4.36E-02,1.31E-01,1.93E+02,6.90E+02,,,1.84E-03,1.88E+02,1.89E+02,,,7.69E-03,4.77E+01,4.53E+01
,,,,,,,4.63E+00,3.24E-02,1.36E-01,1.40E+02,7.09E+02,,,1.89E-03,1.88E+02,1.89E+02,,,8.67E-03,5.02E+01,4.82E+01
St Dev of Fit,,3.335276081,,,,,4.75E+00,2.44E-02,1.39E-01,1.03E+02,7.23E+02,,,1.95E-03,1.89E+02,1.89E+02,,,9.71E-03,5.27E+01,5.11E+01
,,,,,,,4.88E+00,2.00E-02,1.42E-01,8.20E+01,7.35E+02,,,2.00E-03,1.89E+02,1.90E+02,,,2.02E-02,7.07E+01,7.07E+01
,,,,,,,5.00E+00,1.88E-02,1.44E-01,7.53E+01,7.44E+02,,,2.14E-03,1.90E+02,1.90E+02,,,2.94E-02,8.12E+01,8.17E+01
,,,,,,,5.13E+00,2.07E-02,1.47E-01,8.05E+01,7.54E+02,,,2.24E-03,1.90E+02,1.91E+02,,,4.26E-02,9.25E+01,9.31E+01
,,,,,,,5.27E+00,2.51E-02,1.50E-01,9.52E+01,7.66E+02,,,2.46E-03,1.91E+02,1.92E+02,,,4.98E-02,9.74E+01,9.80E+01
,,,,,,,5.40E+00,3.13E-02,1.54E-01,1.16E+02,7.80E+02,,,2.59E-03,1.91E+02,1.92E+02,,,6.06E-02,1.04E+02,1.04E+02
,,,,,,,5.54E+00,3.90E-02,1.59E-01,1.41E+02,7.98E+02,,,2.73E-03,1.92E+02,1.93E+02,,,6.84E-02,1.08E+02,1.08E+02
,,,,,,,5.69E+00,4.74E-02,1.65E-01,1.67E+02,8.20E+02,,,2.86E-03,1.92E+02,1.93E+02,,,7.96E-02,1.13E+02,1.13E+02
,,,,,,,5.83E+00,5.59E-02,1.72E-01,1.92E+02,8.47E+02,,,3.00E-03,1.93E+02,1.94E+02,,,8.96E-02,1.17E+02,1.17E+02
,,,,,,,5.99E+00,6.38E-02,1.81E-01,2.13E+02,8.77E+02,,,3.15E-03,1.93E+02,1.94E+02,,,9.96E-02,1.21E+02,1.21E+02
,,,,,,,6.14E+00,7.09E-02,1.92E-01,2.31E+02,9.12E+02,,,3.31E-03,1.94E+02,1.95E+02,,,1.45E-01,1.35E+02,1.33E+02
,,,,,,,6.30E+00,7.66E-02,2.04E-01,2.43E+02,9.50E+02,,,3.48E-03,1.94E+02,1.95E+02,,,2.01E-01,1.48E+02,1.45E+02
,,,,,,,6.46E+00,8.08E-02,2.17E-01,2.50E+02,9.90E+02,,,3.66E-03,1.95E+02,1.96E+02,,,2.57E-01,1.58E+02,1.55E+02
,,,,,,,6.63E+00,8.33E-02,2.30E-01,2.51E+02,1.03E+03,,,3.86E-03,1.95E+02,1.96E+02,,,3.13E-01,1.65E+02,1.62E+02
,,,,,,,6.80E+00,8.40E-02,2.45E-01,2.47E+02,1.07E+03,,,2.31E-02,2.12E+02,2.11E+02,,,3.63E-01,1.71E+02,1.68E+02
,,,,,,,6.98E+00,8.31E-02,2.59E-01,2.38E+02,1.12E+03,,,4.50E-02,2.18E+02,2.17E+02,,,3.99E-01,1.75E+02,1.72E+02
,,,,,,,7.16E+00,8.06E-02,2.74E-01,2.25E+02,1.16E+03,,,6.69E-02,2.21E+02,2.20E+02,,,4.50E-01,1.79E+02,1.77E+02
,,,,,,,7.34E+00,7.68E-02,2.89E-01,2.09E+02,1.20E+03,,,8.67E-02,2.22E+02,2.22E+02,,,5.00E-01,1.83E+02,1.81E+02
,,,,,,,7.53E+00,7.19E-02,3.03E-01,1.91E+02,1.24E+03,,,1.14E-01,2.24E+02,2.24E+02,,,5.50E-01,1.87E+02,1.85E+02
,,,,,,,7.73E+00,6.60E-02,3.16E-01,1.71E+02,1.27E+03,,,1.36E-01,2.25E+02,2.25E+02,,,6.00E-01,1.90E+02,1.89E+02
,,,,,,,7.93E+00,5.96E-02,3.29E-01,1.50E+02,1.31E+03,,,1.59E-01,2.26E+02,2.26E+02,,,6.50E-01,1.93E+02,1.92E+02
,,,,,,,8.14E+00,5.28E-02,3.41E-01,1.30E+02,1.33E+03,,,1.79E-01,2.27E+02,2.27E+02,,,7.00E-01,1.96E+02,1.96E+02
,,,,,,,8.35E+00,4.59E-02,3.51E-01,1.10E+02,1.36E+03,,,2.01E-01,2.27E+02,2.27E+02,,,7.49E-01,1.98E+02,1.98E+02
,,,,,,,8.56E+00,3.92E-02,3.60E-01,9.15E+01,1.38E+03,,,2.22E-01,2.28E+02,2.28E+02,,,7.99E-01,2.00E+02,2.01E+02
,,,,,,,8.78E+00,3.28E-02,3.68E-01,7.46E+01,1.40E+03,,,2.44E-01,2.28E+02,2.28E+02,,,9.93E-01,2.08E+02,2.11E+02
