,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,7.534492929,0.006987914,0.143891974,18.54912894,723.9230223,,,7.79E-01,1.03E+02,102.7927543,,,7.51E-01,1.22E+02,114.4326592
,,,,,,,7.729711297,0.008252801,0.145379292,21.35345202,728.0916084,,,7.89E-01,1.03E+02,103.2544681,,,8.01E-01,1.24E+02,115.3318675
,,,,,,,7.929987763,0.009540092,0.147161695,24.06079889,732.9104202,,,7.99E-01,1.04E+02,103.5895269,,,9.86E-01,1.30E+02,118.2884249
,,,,,,,8.135453383,0.010793044,0.149252236,26.53335655,738.3621127,,,8.10E-01,1.04E+02,104.0437592,,,9.95E-01,1.30E+02,118.4258135
,,,,,,,8.346242609,0.011941437,0.151651371,28.61511957,744.3938716,,,8.20E-01,1.04E+02,104.4793662,,,,,
,,,,,,,8.562493373,0.012909462,0.15434272,30.15351175,750.9145916,,,8.30E-01,1.05E+02,104.9041426,,,,,
,,,,,,,8.784347185,0.01363384,0.157292316,31.0412138,757.8012032,,,8.39E-01,1.05E+02,105.3035697,,,,,
,,,,,,,9.011949219,0.014083251,0.160452176,31.25461665,764.9148175,,,8.50E-01,1.06E+02,105.7762558,,,,,
,,,,,,,9.245448412,0.014238529,0.163764698,30.80116416,772.1068645,,,8.60E-01,1.06E+02,106.2162121,,,,,
,,,,,,,9.484997557,0.014095056,0.167164022,29.72073808,779.2264419,,,8.70E-01,1.07E+02,106.6423214,,,,,
,,,,,,,9.730753411,0.01367769,0.17058178,28.11229494,786.1352029,,,8.80E-01,1.07E+02,107.04071,,,,,
,,,,,,,9.982876787,0.013014423,0.173951134,26.07349256,792.7089399,,,8.89E-01,1.07E+02,107.4976263,,,,,
,,,,,,,10.24153267,0.01214452,0.177208297,23.71621547,798.8432785,,,8.99E-01,1.08E+02,107.9350795,,,,,
,,,,,,,10.50689031,0.011119728,0.180297263,21.16654526,804.4599831,,,9.09E-01,1.08E+02,108.4283542,,,,,
,,,,,,,10.77912336,0.009988525,0.183171672,18.53309273,809.5053034,,,9.20E-01,1.09E+02,108.8980302,,,,,
,,,,,,,11.05840995,0.008797396,0.185795159,15.91078002,813.9489709,,,9.30E-01,1.09E+02,109.4676839,,,,,
