,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,4.62E-07,1.44E+01,35.68049445,,,9.70E-05,2.90E+00,0.77509419
,,,,,,,3.077729863,0.000885886,1.74E-05,5.756752504,0.447471583,,,2.90E-06,2.88E+01,41.96901815,,,2.22E-04,5.79E+00,1.763501202
,,,,,,,3.157473703,0.006908103,0.000278977,43.75715306,3.936834998,,,8.39E-06,4.32E+01,47.76771691,,,3.79E-04,8.69E+00,2.990972669
,,,,,,,3.239283702,0.022687415,0.001412114,140.0767414,15.39651312,,,2.07E-05,5.76E+01,56.36169374,,,5.75E-04,1.16E+01,4.490696044
,,,,,,,3.323213395,0.048236827,0.004349224,290.3023166,39.76149733,,,4.53E-05,7.20E+01,71.87570735,,,8.18E-04,1.44E+01,6.289303583
,,,,,,,3.409317702,0.075945025,0.009713813,445.5145072,78.1222153,,,1.02E-04,8.63E+01,88.36006967,,,1.12E-03,1.72E+01,8.409181821
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.098288688,0.017475026,562.026532,127.7689784,,,3.98E-04,1.01E+02,101.9927823,,,2.06E-03,2.33E+01,14.27399173
,,,,,,,3.588276996,0.112129774,0.027074777,624.9783612,184.4070352,,,2.95E-03,1.14E+02,115.0513885,,,3.27E-03,2.86E+01,20.36942134
Sample (ID),,002-820-O2_full-SA0-300-800_1 ,,,,,3.681249089,0.118024378,0.037833855,641.2191926,244.0225256,,,4.18E-03,1.16E+02,116.5778217,,,4.06E-03,3.12E+01,23.55993145
,,,,,,,3.776630085,0.116733332,0.049081762,618.1877984,302.9858933,,,4.95E-03,1.16E+02,117.3149844,,,4.90E-03,3.36E+01,26.54463967
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482398,0.109743174,0.060200158,566.4920491,358.4184506,,,5.73E-03,1.17E+02,117.9366297,,,6.00E-03,3.62E+01,29.85337189
,,,,,,,3.97487006,0.098773671,0.070690561,496.9906931,408.3101842,,,6.67E-03,1.18E+02,118.5946305,,,6.66E-03,3.76E+01,31.64193891
Sample(ID2),,002-822-H2_full-SA0-300-800_1 ,,,,,4.077858761,0.085387803,0.0801854,418.7874488,451.4405598,,,7.82E-03,1.19E+02,119.2984324,,,8.06E-03,4.02E+01,34.86014966
