,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,1.08E+01,2.17E-03,2.69E-01,4.02E+00,1.16E+03,,,7.88E-01,2.30E+02,2.30E+02,,,,,
,,,,,,,1.11E+01,8.72E-04,2.69E-01,1.58E+00,1.16E+03,,,8.32E-01,2.33E+02,2.33E+02,,,,,
,,,,,,,1.13E+01,2.39E-04,2.70E-01,4.21E-01,1.16E+03,,,8.68E-01,2.39E+02,2.39E+02,,,,,
,,,,,,,1.16E+01,1.16E-04,2.70E-01,1.99E-01,1.16E+03,,,9.22E-01,2.65E+02,2.65E+02,,,,,
,,,,,,,1.19E+01,3.53E-04,2.70E-01,5.92E-01,1.16E+03,,,9.86E-01,3.07E+02,3.07E+02,,,,,
,,,,,,,1.22E+01,8.24E-04,2.70E-01,1.34E+00,1.16E+03,,,,,,,,,,
,,,,,,,1.26E+01,1.39E-03,2.70E-01,2.21E+00,1.16E+03,,,,,,,,,,
,,,,,,,1.29E+01,1.92E-03,2.71E-01,2.98E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.32E+01,2.35E-03,2.71E-01,3.55E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.36E+01,2.65E-03,2.72E-01,3.90E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.39E+01,2.77E-03,2.73E-01,3.98E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.43E+01,2.75E-03,2.74E-01,3.85E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.47E+01,2.60E-03,2.75E-01,3.55E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.50E+01,2.36E-03,2.76E-01,3.14E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.54E+01,2.06E-03,2.77E-01,2.67E+00,1.17E+03,,,,,,,,,,
,,,,,,,1.58E+01,1.74E-03,2.78E-01,2.20E+00,1.18E+03,,,,,,,,,,
,,,,,,,1.62E+01,1.44E-03,2.78E-01,1.77E+00,1.18E+03,,,,,,,,,,
,,,,,,,1.67E+01,1.15E-03,2.79E-01,1.39E+00,1.18E+03,,,,,,,,,,
,,,,,,,1.71E+01,9.15E-04,2.79E-01,1.07E+00,1.18E+03,,,,,,,,,,
,,,,,,,1.75E+01,7.16E-04,2.80E-01,8.17E-01,1.18E+03,,,,,,,,,,
,,,,,,,1.80E+01,5.62E-04,2.80E-01,6.25E-01,1.18E+03,,,,,,,,,,
,,,,,,,1.84E+01,4.48E-04,2.80E-01,4.85E-01,1.18E+03,,,,,,,,,,
,,,,,,,1.89E+01,3.69E-04,2.80E-01,3.90E-01,1.18E+03,,,,,,,,,,
,,,,,,,1.94E+01,3.22E-04,2.81E-01,3.31E-01,1.18E+03,,,,,,,,,,
,,,,,,,1.99E+01,2.99E-04,2.81E-01,3.01E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.04E+01,2.98E-04,2.81E-01,2.92E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.10E+01,3.12E-04,2.81E-01,2.98E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.15E+01,3.37E-04,2.81E-01,3.13E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.21E+01,3.67E-04,2.81E-01,3.33E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.26E+01,4.00E-04,2.82E-01,3.54E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.32E+01,4.32E-04,2.82E-01,3.72E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.38E+01,4.61E-04,2.82E-01,3.87E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.44E+01,4.86E-04,2.83E-01,3.97E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.51E+01,5.03E-04,2.83E-01,4.02E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.57E+01,5.14E-04,2.83E-01,4.00E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.64E+01,5.18E-04,2.84E-01,3.93E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.71E+01,5.15E-04,2.84E-01,3.81E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.78E+01,5.06E-04,2.84E-01,3.64E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.85E+01,4.91E-04,2.85E-01,3.44E-01,1.18E+03,,,,,,,,,,
,,,,,,,2.92E+01,4.70E-04,2.85E-01,3.21E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.00E+01,4.45E-04,2.85E-01,2.97E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.08E+01,4.17E-04,2.86E-01,2.71E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.16E+01,3.87E-04,2.86E-01,2.45E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.24E+01,3.57E-04,2.86E-01,2.21E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.32E+01,3.28E-04,2.87E-01,1.98E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.41E+01,3.02E-04,2.87E-01,1.77E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.50E+01,2.79E-04,2.87E-01,1.59E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.59E+01,2.59E-04,2.87E-01,1.45E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.68E+01,2.44E-04,2.88E-01,1.33E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.78E+01,2.33E-04,2.88E-01,1.23E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.87E+01,2.26E-04,2.88E-01,1.16E-01,1.18E+03,,,,,,,,,,
,,,,,,,3.97E+01,2.21E-04,2.88E-01,1.11E-01,1.18E+03,,,,,,,,,,
,,,,,,,4.08E+01,2.20E-04,2.88E-01,1.08E-01,1.18E+03,,,,,,,,,,
,,,,,,,4.18E+01,2.19E-04,2.89E-01,1.05E-01,1.18E+03,,,,,,,,,,
,,,,,,,4.29E+01,2.20E-04,2.89E-01,1.03E-01,1.18E+03,,,,,,,,,,
,,,,,,,4.40E+01,2.22E-04,2.89E-01,1.01E-01,1.18E+03,,,,,,,,,,
,,,,,,,4.52E+01,2.23E-04,2.89E-01,9.89E-02,1.18E+03,,,,,,,,,,
,,,,,,,4.63E+01,2.25E-04,2.90E-01,9.71E-02,1.18E+03,,,,,,,,,,
,,,,,,,4.75E+01,2.26E-04,2.90E-01,9.53E-02,1.18E+03,,,,,,,,,,
,,,,,,,4.88E+01,2.27E-04,2.90E-01,9.32E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.00E+01,2.27E-04,2.91E-01,9.10E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.13E+01,2.27E-04,2.91E-01,8.85E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.26E+01,2.26E-04,2.91E-01,8.58E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.40E+01,2.24E-04,2.91E-01,8.30E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.54E+01,2.21E-04,2.92E-01,7.99E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.68E+01,2.18E-04,2.92E-01,7.67E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.83E+01,2.14E-04,2.92E-01,7.34E-02,1.19E+03,,,,,,,,,,
,,,,,,,5.98E+01,2.09E-04,2.93E-01,7.00E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.14E+01,2.04E-04,2.93E-01,6.65E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.30E+01,1.99E-04,2.93E-01,6.31E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.46E+01,1.93E-04,2.94E-01,5.97E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.63E+01,1.87E-04,2.94E-01,5.64E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.80E+01,1.81E-04,2.94E-01,5.33E-02,1.19E+03,,,,,,,,,,
,,,,,,,6.98E+01,1.76E-04,2.95E-01,5.03E-02,1.19E+03,,,,,,,,,,
,,,,,,,7.16E+01,1.71E-04,2.95E-01,4.77E-02,1.19E+03,,,,,,,,,,
,,,,,,,7.34E+01,1.67E-04,2.95E-01,4.54E-02,1.19E+03,,,,,,,,,,
,,,,,,,7.53E+01,1.63E-04,2.96E-01,4.34E-02,1.19E+03,,,,,,,,,,
,,,,,,,7.73E+01,1.61E-04,2.96E-01,4.17E-02,1.19E+03,,,,,,,,,,
,,,,,,,7.93E+01,1.60E-04,2.96E-01,4.03E-02,1.19E+03,,,,,,,,,,
,,,,,,,8.13E+01,1.59E-04,2.96E-01,3.91E-02,1.19E+03,,,,,,,,,,
,,,,,,,8.34E+01,1.59E-04,2.97E-01,3.81E-02,1.19E+03,,,,,,,,,,
,,,,,,,8.56E+01,1.59E-04,2.97E-01,3.72E-02,1.19E+03,,,,,,,,,,
,,,,,,,8.78E+01,1.60E-04,2.98E-01,3.64E-02,1.19E+03,,,,,,,,,,
,,,,,,,9.01E+01,1.61E-04,2.98E-01,3.58E-02,1.19E+03,,,,,,,,,,
,,,,,,,9.24E+01,1.63E-04,2.98E-01,3.52E-02,1.19E+03,,,,,,,,,,
,,,,,,,9.48E+01,1.65E-04,2.99E-01,3.47E-02,1.19E+03,,,,,,,,,,
,,,,,,,9.73E+01,1.67E-04,2.99E-01,3.43E-02,1.19E+03,,,,,,,,,,
,,,,,,,9.98E+01,1.69E-04,2.99E-01,3.40E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.02E+02,1.73E-04,3.00E-01,3.37E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.05E+02,1.76E-04,3.00E-01,3.36E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.08E+02,1.81E-04,3.01E-01,3.35E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.11E+02,1.85E-04,3.01E-01,3.35E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.13E+02,1.90E-04,3.02E-01,3.35E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.16E+02,1.95E-04,3.02E-01,3.35E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.19E+02,1.99E-04,3.03E-01,3.34E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.22E+02,2.04E-04,3.04E-01,3.33E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.26E+02,2.08E-04,3.04E-01,3.32E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.29E+02,2.12E-04,3.05E-01,3.29E-02,1.19E+03,,,,,,,,,,
,,,,,,,1.32E+02,2.16E-04,3.06E-01,3.27E-02,1.19E+03,,,,,,,,,,
