,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,6.370000e-007,1.444480e+001,4.532850e+001,,,8.572210e-005,2.897140e+000,8.728942e-001,
,,,,,,,3.077730e+000,1.151674e-003,2.266732e-005,7.483916e+000,1.480557e-001,,,2.010000e-006,2.888450e+001,5.112116e+001,,,1.876650e-004,5.801860e+000,1.903600e+000,
,,,,,,,3.157474e+000,9.471772e-003,3.570836e-004,5.999589e+001,3.299305e+000,,,4.190000e-006,4.331740e+001,5.695671e+001,,,3.041790e-004,8.680290e+000,3.070119e+000,
,,,,,,,3.239284e+000,2.932351e-002,1.834058e-003,1.810493e+002,1.251373e+001,,,7.480000e-006,5.777100e+001,6.370169e+001,,,4.396080e-004,1.154950e+001,4.407313e+000,
,,,,,,,3.323213e+000,5.859158e-002,5.615375e-003,3.526200e+002,3.503304e+001,,,1.190000e-005,7.220080e+001,7.198772e+001,,,5.978090e-004,1.442650e+001,5.941221e+000,
,,,,,,,3.409318e+000,9.333482e-002,1.222223e-002,5.475278e+002,7.425058e+001,,,1.810000e-005,8.664550e+001,8.161573e+001,,,7.804020e-004,1.728670e+001,7.668158e+000,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.195877e-001,2.169513e-002,6.838166e+002,1.290849e+002,,,2.540000e-005,1.010820e+002,9.400119e+001,,,9.899780e-004,2.011960e+001,9.588389e+000,
,,,,,,,3.588277e+000,1.369584e-001,3.339629e-002,7.633657e+002,1.950216e+002,,,3.410000e-005,1.154930e+002,1.112743e+002,,,2.000350e-003,3.015590e+001,1.785297e+001,
Sample (ID),,002-854_002-858-O2_full-ACDS2700(PO) ,,,,,3.681249e+000,1.455053e-001,4.660186e-002,7.905213e+002,2.676790e+002,,,4.560000e-005,1.299000e+002,1.242971e+002,,,2.904530e-003,3.640900e+001,2.396629e+001,
,,,,,,,3.776630e+000,1.449898e-001,6.054698e-002,7.678266e+002,3.424121e+002,,,6.110000e-005,1.443520e+002,1.422098e+002,,,3.813210e-003,4.137450e+001,2.911404e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482e+000,1.379158e-001,7.444750e-002,7.119188e+002,4.150957e+002,,,8.510000e-005,1.587900e+002,1.564341e+002,,,4.964980e-003,4.650360e+001,3.454091e+001,
,,,,,,,3.974870e+000,1.246069e-001,8.766414e-002,6.269733e+002,4.824655e+002,,,1.308880e-004,1.732270e+002,1.704834e+002,,,5.823320e-003,4.973830e+001,3.801804e+001,
Sample(ID2),,002-861-H2_full-ACDS2700(PO) ,,,,,4.077859e+000,1.073184e-001,9.962722e-002,5.263469e+002,5.419213e+002,,,2.478450e-004,1.876680e+002,1.837967e+002,,,6.881180e-003,5.326100e+001,4.174338e+001,
,,,,,,,4.183516e+000,8.803785e-002,1.099516e-001,4.208797e+002,5.919336e+002,,,6.407410e-004,2.020560e+002,1.994557e+002,,,7.993410e-003,5.651830e+001,4.520001e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.861593e-002,1.184315e-001,3.197454e+002,6.319783e+002,,,2.316010e-003,2.162380e+002,2.158855e+002,,,8.656830e-003,5.829240e+001,4.709577e+001,
,,,,,,,4.403114e+000,5.056420e-002,1.250343e-001,2.296748e+002,6.624103e+002,,,2.946920e-003,2.185230e+002,2.185557e+002,,,9.550210e-003,6.050670e+001,4.941994e+001,
Lambda,,4,,,,,4.517198e+000,3.519504e-002,1.298912e-001,1.558269e+002,6.842077e+002,,,4.028070e-003,2.212660e+002,2.212365e+002,,,1.936280e-002,7.769730e+001,6.734780e+001,
,,,,,,,4.634239e+000,2.352114e-002,1.332752e-001,1.015103e+002,6.990676e+002,,,4.762930e-003,2.227070e+002,2.226664e+002,,,3.007990e-002,8.918570e+001,7.946510e+001,
St Dev of Fit,,7.16867006796338,,,,,4.754312e+000,1.564665e-002,1.355772e-001,6.582089e+001,7.088845e+002,,,5.820590e-003,2.243260e+002,2.241999e+002,,,4.163830e-002,9.800740e+001,8.881336e+001,
,,,,,,,4.877496e+000,1.225505e-002,1.372515e-001,5.025142e+001,7.158415e+002,,,6.881670e-003,2.256660e+002,2.254462e+002,,,4.914730e-002,1.026030e+002,9.365297e+001,
,,,,,,,5.003871e+000,1.286334e-002,1.387982e-001,5.141356e+001,7.221407e+002,,,7.751100e-003,2.265890e+002,2.263688e+002,,,5.948740e-002,1.079510e+002,9.933677e+001,
,,,,,,,5.133521e+000,1.695341e-002,1.406964e-001,6.604981e+001,7.296267e+002,,,8.816830e-003,2.275690e+002,2.273094e+002,,,7.092020e-002,1.129260e+002,1.046880e+002,
