,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291910601,0.063784926,0.084696064,297.2332464,458.506554,,,7.82E-03,1.35E+02,134.7491359,,,1.00E-02,4.56E+01,36.72703194
,,,,,,,4.403113809,0.053422476,0.091203361,242.6577108,485.4908697,,,8.69E-03,1.35E+02,135.3220948,,,2.00E-02,5.66E+01,49.4314262
Lambda,,4,,,,,4.517198286,0.044153466,0.096753699,195.4904917,507.7933003,,,9.62E-03,1.36E+02,135.8765055,,,2.96E-02,6.31E+01,56.99225171
,,,,,,,4.634238687,0.036561171,0.101456658,157.7871739,526.2607745,,,1.98E-02,1.40E+02,139.3079689,,,3.84E-02,6.76E+01,62.11789029
St Dev of Fit,,5.114714481,,,,,4.7543116,0.030909338,0.105486343,130.0265549,541.8734416,,,3.22E-02,1.42E+02,141.8337354,,,5.11E-02,7.25E+01,67.78945624
,,,,,,,4.877495596,0.027215913,0.109045293,111.597899,555.6205168,,,4.02E-02,1.43E+02,142.839006,,,5.74E-02,7.47E+01,70.12425603
,,,,,,,5.003871284,0.0254417,0.112353047,101.6880687,568.4714164,,,4.93E-02,1.44E+02,143.7780537,,,7.00E-02,7.81E+01,74.08184493
,,,,,,,5.13352136,0.025263927,0.115625045,98.42727742,581.2325205,,,6.11E-02,1.45E+02,144.9188902,,,8.00E-02,8.05E+01,76.76839449
,,,,,,,5.266530664,0.026270133,0.119041625,99.76257431,594.501871,,,7.11E-02,1.46E+02,145.9424475,,,8.97E-02,8.25E+01,79.04411319
,,,,,,,5.402986233,0.028063662,0.122742677,103.8820403,608.6771539,,,8.09E-02,1.47E+02,146.5955067,,,9.96E-02,8.44E+01,81.16156998
,,,,,,,5.542977359,0.030223988,0.126821295,109.0532624,623.9436429,,,9.06E-02,1.47E+02,147.043319,,,1.49E-01,9.15E+01,89.35285318
,,,,,,,5.686595649,0.032359751,0.131318479,113.8106259,640.2889304,,,1.01E-01,1.48E+02,147.5036133,,,2.01E-01,9.66E+01,95.39106162
,,,,,,,5.833935082,0.034176319,0.136225848,117.1638662,657.5517881,,,1.43E-01,1.50E+02,149.6017835,,,2.52E-01,1.01E+02,100.1876486
,,,,,,,5.985092074,0.035495365,0.141499222,118.6125957,675.4809112,,,1.99E-01,1.51E+02,151.3317731,,,3.03E-01,1.04E+02,103.9844719
,,,,,,,6.140165536,0.036171073,0.147065189,117.8179077,693.751342,,,2.51E-01,1.53E+02,152.6667885,,,3.53E-01,1.06E+02,107.1758556
,,,,,,,6.299256944,0.036166541,0.152828108,114.82796,712.0194839,,,3.03E-01,1.54E+02,153.8829714,,,4.01E-01,1.08E+02,109.8524896
,,,,,,,6.462470404,0.035519803,0.158686441,109.9263937,729.9609509,,,3.51E-01,1.55E+02,154.8860648,,,4.51E-01,1.10E+02,112.357839
,,,,,,,6.629912717,0.034277008,0.164537263,103.4010849,747.2746677,,,3.99E-01,1.56E+02,155.8440274,,,5.01E-01,1.12E+02,114.5941106
,,,,,,,6.801693452,0.032527658,0.170281018,95.64576296,763.7047672,,,4.49E-01,1.57E+02,156.7819018,,,5.51E-01,1.14E+02,116.580067
,,,,,,,6.977925018,0.030371179,0.175827873,87.04931433,779.0456042,,,4.98E-01,1.58E+02,157.6252289,,,6.01E-01,1.15E+02,118.4529075
,,,,,,,7.158722737,0.02790966,0.181099127,77.97385299,793.1430989,,,5.49E-01,1.59E+02,158.5404374,,,6.49E-01,1.16E+02,120.0973102
,,,,,,,7.344204916,0.02526541,0.18603149,68.80366386,805.9049524,,,5.98E-01,1.59E+02,159.3534517,,,7.00E-01,1.17E+02,121.6702564
,,,,,,,7.534492929,0.022554369,0.190580359,59.86964074,817.2974274,,,6.49E-01,1.60E+02,160.2634136,,,7.49E-01,1.19E+02,123.1233373
,,,,,,,7.729711297,0.019875056,0.194719546,51.42509206,827.33655,,,6.98E-01,1.61E+02,161.0216411,,,8.01E-01,1.20E+02,124.5400515
,,,,,,,7.929987763,0.017307788,0.198439382,43.65148608,836.0789153,,,7.27E-01,1.61E+02,161.4614157,,,9.85E-01,1.23E+02,128.9393738
,,,,,,,8.135453383,0.014922597,0.20174585,36.68534901,843.6164933,,,7.57E-01,1.62E+02,161.9500199,,,9.95E-01,1.23E+02,129.1694998
,,,,,,,8.346242609,0.01276231,0.204658539,30.5821676,850.0628847,,,7.87E-01,1.63E+02,162.4679292,,,,,
,,,,,,,8.562493373,0.010851605,0.207206222,25.34683421,855.544157,,,8.16E-01,1.63E+02,163.0792474,,,,,
,,,,,,,8.784347185,0.009206788,0.209425573,20.96180447,860.1946132,,,8.42E-01,1.64E+02,163.7305131,,,,,
,,,,,,,9.011949219,0.007816099,0.211357492,17.34607875,864.1426161,,,8.71E-01,1.65E+02,164.5407769,,,,,
,,,,,,,9.245448412,0.006659754,0.213042593,14.40655656,867.5065354,,,8.95E-01,1.65E+02,165.4313068,,,,,
,,,,,,,9.484997557,0.005714073,0.214520307,12.04865497,870.3927804,,,9.18E-01,1.66E+02,166.3446914,,,,,
,,,,,,,9.730753411,0.00494489,0.215826392,10.16342608,872.8905018,,,9.38E-01,1.68E+02,168.1842695,,,,,
,,,,,,,9.982876787,0.00431902,0.216991196,8.652856485,875.0720892,,,9.53E-01,1.70E+02,173.2123014,,,,,
,,,,,,,10.24153267,0.003807656,0.218039725,7.435715169,876.9953807,,,9.64E-01,1.73E+02,174.2490458,,,,,
,,,,,,,10.50689031,0.003386345,0.218992242,6.445950679,878.705863,,,9.72E-01,1.76E+02,174.2761528,,,,,
,,,,,,,10.77912336,0.003033497,0.219864524,5.628466236,880.2381175,,,9.72E-01,1.76E+02,174.2761528,,,,,
,,,,,,,11.05840995,0.00273658,0.220668885,4.94931936,881.620396,,,,,,,,,,
,,,,,,,11.34493285,0.0024884,0.221416189,4.386804685,882.877316,,,,,,,,,,
,,,,,,,11.63887954,0.002282549,0.222116292,3.92228294,884.0302581,,,,,,,,,,
,,,,,,,11.94044238,0.002113979,0.222778219,3.540872785,885.0980537,,,,,,,,,,
,,,,,,,12.24981869,0.001978254,0.223410358,3.229850336,886.0972929,,,,,,,,,,
,,,,,,,12.56721094,0.001869966,0.224020357,2.975944033,887.0418345,,,,,,,,,,
,,,,,,,12.8928268,0.001781381,0.224614334,2.763366846,887.9416306,,,,,,,,,,
,,,,,,,13.22687935,0.001705111,0.225196367,2.578251111,888.8029019,,,,,,,,,,
,,,,,,,13.56958719,0.001634976,0.225768553,2.409765737,889.6287475,,,,,,,,,,
,,,,,,,13.92117457,0.001565943,0.226331239,2.249728868,890.4197238,,,,,,,,,,
,,,,,,,14.28187157,0.001493755,0.226883132,2.091819214,891.1742367,,,,,,,,,,
,,,,,,,14.65191421,0.001416964,0.227421759,1.934169254,891.8899618,,,,,,,,,,
,,,,,,,15.03154464,0.001335564,0.22794431,1.777015029,892.5645708,,,,,,,,,,
,,,,,,,15.42101127,0.001249812,0.228447823,1.620921001,893.1958655,,,,,,,,,,
,,,,,,,15.82056897,0.001160896,0.228929438,1.467577927,893.7822475,,,,,,,,,,
,,,,,,,16.23047919,0.001070142,0.229386663,1.318681993,894.3227887,,,,,,,,,,
,,,,,,,16.65101016,0.000978784,0.2298174,1.175644718,894.8171838,,,,,,,,,,
,,,,,,,17.08243707,0.000887986,0.230219964,1.039648449,895.2657161,,,,,,,,,,
,,,,,,,17.52504224,0.000798862,0.230593097,0.911681046,895.6692308,,,,,,,,,,
,,,,,,,17.97911528,0.000713522,0.23093618,0.793722754,896.0296389,,,,,,,,,,
,,,,,,,18.44495334,0.00063492,0.231249864,0.688448716,896.3503445,,,,,,,,,,
,,,,,,,18.92286123,0.00056565,0.231536263,0.597847769,896.6360607,,,,,,,,,,
,,,,,,,19.4131517,0.000507212,0.231798747,0.522544994,896.8922595,,,,,,,,,,
,,,,,,,19.91614558,0.000460542,0.232041573,0.462481505,897.1248849,,,,,,,,,,
,,,,,,,20.432172,0.000426023,0.232269777,0.417012056,897.3400741,,,,,,,,,,
,,,,,,,20.96156864,0.00040246,0.232488598,0.383998202,897.5433615,,,,,,,,,,
,,,,,,,21.50468193,0.000388397,0.232702946,0.361220837,897.7395453,,,,,,,,,,
,,,,,,,22.06186725,0.000382162,0.232917296,0.346445717,897.9325798,,,,,,,,,,
,,,,,,,22.63348922,0.000381668,0.233135381,0.337259725,898.1253649,,,,,,,,,,
,,,,,,,23.2199219,0.000384956,0.233360033,0.331574223,898.3198108,,,,,,,,,,
,,,,,,,23.82154901,0.000390248,0.233593173,0.327642974,898.5169297,,,,,,,,,,
,,,,,,,24.43876426,0.000395934,0.233835821,0.324021667,898.7169208,,,,,,,,,,
,,,,,,,25.07197152,0.000400611,0.234088099,0.319568978,898.9192742,,,,,,,,,,
,,,,,,,25.72158516,0.000403368,0.234349363,0.313641425,899.12302,,,,,,,,,,
,,,,,,,26.38803025,0.00040354,0.234618404,0.305850496,899.3268525,,,,,,,,,,
,,,,,,,27.07174291,0.000400679,0.234893501,0.296012858,899.5292403,,,,,,,,,,
,,,,,,,27.77317053,0.000394845,0.235172663,0.284335776,899.7286812,,,,,,,,,,
,,,,,,,28.49277211,0.000386194,0.235453832,0.271081993,899.9237523,,,,,,,,,,
,,,,,,,29.23101853,0.000375004,0.235734932,0.256579585,900.1131712,,,,,,,,,,
,,,,,,,29.98839289,0.000361733,0.236014021,0.241248834,900.2958869,,,,,,,,,,
,,,,,,,30.76539078,0.000346827,0.236289362,0.225465454,900.4710731,,,,,,,,,,
,,,,,,,31.56252065,0.000330811,0.236559471,0.20962251,900.6381695,,,,,,,,,,
,,,,,,,32.38030411,0.000314256,0.236823223,0.194103447,900.7969041,,,,,,,,,,
,,,,,,,33.21927631,0.000297685,0.237079879,0.179224258,900.9472682,,,,,,,,,,
,,,,,,,34.07998624,0.000281572,0.237329086,0.165241663,901.0894934,,,,,,,,,,
,,,,,,,34.96299713,0.000266346,0.237570886,0.152358787,901.2240278,,,,,,,,,,
,,,,,,,35.86888679,0.000252351,0.237805699,0.140707361,901.3514932,,,,,,,,,,
,,,,,,,36.798248,0.000239772,0.238034239,0.130317266,901.472605,,,,,,,,,,
,,,,,,,37.75168893,0.000228751,0.238257443,0.121187212,901.5881498,,,,,,,,,,
,,,,,,,38.72983346,0.000219313,0.238476434,0.113252615,901.6989273,,,,,,,,,,
,,,,,,,39.73332168,0.000211344,0.238692378,0.10638102,901.8056794,,,,,,,,,,
,,,,,,,40.76281023,0.000204721,0.238906421,0.10044484,901.9090862,,,,,,,,,,
,,,,,,,41.81897278,0.000199257,0.23911965,0.095294986,902.0097332,,,,,,,,,,
,,,,,,,42.90250045,0.00019473,0.239333012,0.090777708,902.1080933,,,,,,,,,,
,,,,,,,44.01410227,0.000190926,0.239547295,0.086756897,902.2045325,,,,,,,,,,
,,,,,,,45.15450565,0.000187616,0.239763096,0.083099645,902.2992996,,,,,,,,,,
,,,,,,,46.32445683,0.000184576,0.239980796,0.079688369,902.3925311,,,,,,,,,,
,,,,,,,47.52472139,0.000181585,0.240200541,0.076417073,902.4842518,,,,,,,,,,
,,,,,,,48.75608475,0.000178397,0.240422199,0.073179316,902.5743621,,,,,,,,,,
,,,,,,,50.01935267,0.000174784,0.240645326,0.06988642,902.6626474,,,,,,,,,,
,,,,,,,51.31535182,0.00017057,0.240869175,0.066479132,902.7488043,,,,,,,,,,
,,,,,,,52.64493024,0.000165635,0.241092752,0.062925296,902.8324684,,,,,,,,,,
,,,,,,,54.00895797,0.00015988,0.241314838,0.059205141,902.9132258,,,,,,,,,,
,,,,,,,55.4083276,0.00015329,0.241534035,0.055330968,902.9906543,,,,,,,,,,
,,,,,,,56.84395484,0.000145894,0.241748865,0.051331402,903.0643471,,,,,,,,,,
,,,,,,,58.31677911,0.000137741,0.241957798,0.047238938,903.1339217,,,,,,,,,,
,,,,,,,59.82776419,0.000128956,0.242159328,0.043109144,903.199059,,,,,,,,,,
,,,,,,,61.37789883,0.000119678,0.242352061,0.038997201,903.2595099,,,,,,,,,,
,,,,,,,62.96819738,0.000110075,0.242534744,0.034962252,903.3151103,,,,,,,,,,
,,,,,,,64.5997005,0.00010039,0.242706393,0.031080677,903.3658186,,,,,,,,,,
,,,,,,,66.27347578,9.09E-05,0.242866374,0.027418883,903.4117116,,,,,,,,,,
,,,,,,,67.99061851,8.18E-05,0.243014471,0.02405727,903.4530214,,,,,,,,,,
,,,,,,,69.75225233,7.35E-05,0.24315111,0.021088534,903.4901716,,,,,,,,,,
,,,,,,,71.55953,6.65E-05,0.243277428,0.018582219,903.5237549,,,,,,,,,,
,,,,,,,73.41363415,6.08E-05,0.243395171,0.016558272,903.5544556,,,,,,,,,,
,,,,,,,75.31577806,5.65E-05,0.243506483,0.015010082,903.583007,,,,,,,,,,
,,,,,,,77.26720642,5.37E-05,0.243613836,0.013911578,903.6101544,,,,,,,,,,
,,,,,,,79.26919621,5.22E-05,0.243719716,0.013175829,903.6365323,,,,,,,,,,
,,,,,,,81.32305746,5.17E-05,0.243826274,0.012711737,903.6626404,,,,,,,,,,
,,,,,,,83.43013416,5.19E-05,0.243935287,0.012437456,903.6888471,,,,,,,,,,
,,,,,,,85.59180513,5.25E-05,0.244048091,0.012276024,903.7153838,,,,,,,,,,
,,,,,,,87.80948488,5.34E-05,0.244165543,0.012162494,903.7423564,,,,,,,,,,
,,,,,,,90.08462462,5.43E-05,0.244288041,0.012048419,903.7697682,,,,,,,,,,
,,,,,,,92.41871313,5.50E-05,0.244415594,0.011899308,903.7975422,,,,,,,,,,
,,,,,,,94.81327776,5.54E-05,0.244547844,0.011689339,903.8255331,,,,,,,,,,
,,,,,,,97.26988546,5.55E-05,0.244684154,0.011411316,903.8535662,,,,,,,,,,
,,,,,,,99.79014374,5.52E-05,0.244823747,0.011066671,903.8814571,,,,,,,,,,
,,,,,,,102.3757018,5.46E-05,0.244965745,0.010659844,903.9090187,,,,,,,,,,
,,,,,,,105.0282516,5.36E-05,0.245109242,0.010203469,903.936084,,,,,,,,,,
,,,,,,,107.7495288,5.23E-05,0.245253382,0.009710548,903.962509,,,,,,,,,,
,,,,,,,110.5413141,5.08E-05,0.245397387,0.009195403,903.9881806,,,,,,,,,,
,,,,,,,113.4054345,4.92E-05,0.245540629,0.008675459,904.0130282,,,,,,,,,,
,,,,,,,116.3437641,4.75E-05,0.245682682,0.008165624,904.0370215,,,,,,,,,,
,,,,,,,119.3582258,4.58E-05,0.24582331,0.007676582,904.0601623,,,,,,,,,,
,,,,,,,122.4507919,4.42E-05,0.245962432,0.007215611,904.082477,,,,,,,,,,
,,,,,,,125.6234864,4.26E-05,0.246100111,0.006788256,904.1040141,,,,,,,,,,
,,,,,,,128.8783851,4.12E-05,0.246236549,0.006397813,904.1248383,,,,,,,,,,
,,,,,,,132.2176182,4.00E-05,0.246372063,0.006046206,904.145028,,,,,,,,,,
,,,,,,,135.6433707,3.89E-05,0.246507077,0.005733339,904.164669,,,,,,,,,,
,,,,,,,139.1578842,3.80E-05,0.246642051,0.005454664,904.1838395,,,,,,,,,,
,,,,,,,142.7634586,3.72E-05,0.246777413,0.005205272,904.2026075,,,,,,,,,,
,,,,,,,146.4624533,3.65E-05,0.246913547,0.004979787,904.2210277,,,,,,,,,,
,,,,,,,150.2572888,3.59E-05,0.247050743,0.004771948,904.2391364,,,,,,,,,,
,,,,,,,154.1504482,3.53E-05,0.247189178,0.004576291,904.2569527,,,,,,,,,,
,,,,,,,158.1444793,3.47E-05,0.247328902,0.004387601,904.2744769,,,,,,,,,,
,,,,,,,162.2419955,3.41E-05,0.247469814,0.004201076,904.2916909,,,,,,,,,,
,,,,,,,166.4456782,3.34E-05,0.247611661,0.004012839,904.3085596,,,,,,,,,,
,,,,,,,170.7582781,3.26E-05,0.247754031,0.003819902,904.3250333,,,,,,,,,,
,,,,,,,175.1826173,3.17E-05,0.247896364,0.003620003,904.3410494,,,,,,,,,,
,,,,,,,179.7215909,3.07E-05,0.24803795,0.00341173,904.3565352,,,,,,,,,,
,,,,,,,184.3781691,2.95E-05,0.248177956,0.003194889,904.3714124,,,,,,,,,,
,,,,,,,189.1553991,2.81E-05,0.248315449,0.002969696,904.3855993,,,,,,,,,,
,,,,,,,194.0564068,2.66E-05,0.248449424,0.002738393,904.3990202,,,,,,,,,,
,,,,,,,199.0843995,2.49E-05,0.248578944,0.002505565,904.4116182,,,,,,,,,,
,,,,,,,204.2426671,2.32E-05,0.248703206,0.002275476,904.4233557,,,,,,,,,,
,,,,,,,209.5345853,2.15E-05,0.248821611,0.002054544,904.4342282,,,,,,,,,,
,,,,,,,214.9636168,1.99E-05,0.248933948,0.001849991,904.4442718,,,,,,,,,,
,,,,,,,220.5333143,1.84E-05,0.249040439,0.001668349,904.453564,,,,,,,,,,
,,,,,,,226.2473224,1.72E-05,0.24914191,0.001518814,904.4622426,,,,,,,,,,
,,,,,,,232.1093802,1.64E-05,0.249239996,0.001409905,904.4705075,,,,,,,,,,
,,,,,,,238.1233236,1.60E-05,0.249337175,0.001347959,904.478614,,,,,,,,,,
,,,,,,,244.2930881,1.63E-05,0.249436749,0.001337304,904.4868649,,,,,,,,,,
,,,,,,,250.6227108,1.73E-05,0.249542835,0.001380627,904.4956037,,,,,,,,,,
,,,,,,,257.1163338,1.90E-05,0.249660266,0.001476049,904.5051886,,,,,,,,,,
,,,,,,,263.7782063,2.13E-05,0.249794184,0.00161717,904.515962,,,,,,,,,,
,,,,,,,270.6126875,2.43E-05,0.249949877,0.001797514,904.5282471,,,,,,,,,,
,,,,,,,277.6242499,2.79E-05,0.250132615,0.002007904,904.5423256,,,,,,,,,,
,,,,,,,284.8174815,3.19E-05,0.250347324,0.002238291,904.5584262,,,,,,,,,,
,,,,,,,292.1970894,3.62E-05,0.250598493,0.00247938,904.576723,,,,,,,,,,
,,,,,,,299.7679027,4.08E-05,0.25088994,0.002720082,904.5973163,,,,,,,,,,
,,,,,,,307.5348753,4.54E-05,0.251224533,0.002950246,904.6202308,,,,,,,,,,
,,,,,,,315.5030899,4.99E-05,0.251604116,0.003160551,904.6454147,,,,,,,,,,
,,,,,,,323.6777605,5.41E-05,0.252029237,0.003341141,904.6727274,,,,,,,,,,
,,,,,,,332.0642365,5.78E-05,0.252498964,0.003483939,904.7019454,,,,,,,,,,
,,,,,,,340.6680057,6.10E-05,0.253010835,0.003582149,904.7327654,,,,,,,,,,
,,,,,,,349.4946981,6.34E-05,0.25356073,0.003630058,904.7648068,,,,,,,,,,
,,,,,,,358.5500898,6.50E-05,0.254142815,0.003623428,904.7976183,,,,,,,,,,
,,,,,,,367.8401062,6.54E-05,0.254749368,0.003557591,904.8306684,,,,,,,,,,
,,,,,,,377.3708266,6.47E-05,0.255370451,0.003428473,904.8633442,,,,,,,,,,
,,,,,,,387.1484874,6.26E-05,0.25599387,0.003234304,904.8949682,,,,,,,,,,
,,,,,,,397.1794871,5.91E-05,0.256605541,0.002977362,904.9248341,,,,,,,,,,
,,,,,,,407.4703894,5.42E-05,0.257189884,0.00266119,904.9522201,,,,,,,,,,
,,,,,,,418.0279286,4.77E-05,0.257729497,0.002284288,904.9763366,,,,,,,,,,
,,,,,,,428.8590131,3.94E-05,0.25820292,0.001835709,904.9962193,,,,,,,,,,
,,,,,,,439.9707305,2.88E-05,0.258583338,0.001309241,905.0107672,,,,,,,,,,
,,,,,,,451.370352,1.74E-05,0.258845646,0.000768782,905.019531,,,,,,,,,,
,,,,,,,463.0653372,7.75E-06,0.258989081,0.000334648,905.0234447,,,,,,,,,,
,,,,,,,475.063339,2.24E-06,0.259044402,9.44E-05,905.024577,,,,,,,,,,
,,,,,,,487.3722084,2.73E-07,0.25905717,1.12E-05,905.0247149,,,,,,,,,,
