,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,4.70E-07,1.43E+01,38.62192952,,,9.74E-05,2.94E+00,0.704317478
,,,,,,,3.077729863,0.000682698,1.34E-05,4.4363759,0.34483889,,,1.91E-06,2.86E+01,45.65918313,,,2.19E-04,5.82E+00,1.579100777
,,,,,,,3.157473703,0.005323651,0.000214991,33.72095277,3.033877155,,,4.46E-06,4.28E+01,50.86067658,,,3.68E-04,8.70E+00,2.631359899
,,,,,,,3.239283702,0.01748525,0.001088237,107.9575099,11.86588096,,,8.91E-06,5.71E+01,56.59453042,,,5.54E-04,1.15E+01,3.928141814
,,,,,,,3.323213395,0.037333769,0.003355982,224.6847535,30.72360327,,,1.66E-05,7.14E+01,63.39944852,,,7.80E-04,1.44E+01,5.457987129
,,,,,,,3.409317702,0.059429282,0.007530345,348.6285963,60.74202701,,,3.42E-05,8.57E+01,77.69224907,,,1.06E-03,1.72E+01,7.266797487
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.078367741,0.013659363,448.1161608,100.3264872,,,8.73E-05,1.00E+02,97.12506871,,,1.92E-03,2.34E+01,12.35038521
,,,,,,,3.588276996,0.091691167,0.021410318,511.0595788,146.640765,,,3.54E-04,1.14E+02,112.2581401,,,2.98E-03,2.87E+01,17.56009493
Sample (ID),,002-764_002-758T-O2_full-SA0-250-800_1 ,,,,,3.681249089,0.099427071,0.030338977,540.1811653,196.8625386,,,2.31E-03,1.28E+02,126.7376805,,,4.19E-03,3.31E+01,22.33410269
,,,,,,,3.776630085,0.101777771,0.039975765,538.987241,248.2716782,,,3.06E-03,1.30E+02,129.0663188,,,4.85E-03,3.51E+01,24.58054332
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482398,0.099496196,0.04985663,513.5973577,298.5283676,,,3.92E-03,1.31E+02,130.6546232,,,6.02E-03,3.81E+01,28.03404317
,,,,,,,3.97487006,0.093533049,0.059571254,470.6219178,345.7730015,,,4.94E-03,1.32E+02,132.1074352,,,6.80E-03,3.99E+01,30.05531823
Sample(ID2),,002-755-H2_full-SA0-250-800_1 ,,,,,4.077858761,0.084840574,0.0687732,416.103542,388.626965,,,5.81E-03,1.33E+02,133.0588141,,,7.81E-03,4.19E+01,32.39415707
,,,,,,,4.183515895,0.074559907,0.077200769,356.4461502,426.2880437,,,6.93E-03,1.34E+02,134.0473621,,,8.89E-03,4.38E+01,34.63754213
