,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,3.974870e+000,1.294113e-001,1.021084e-001,6.511474e+002,5.637911e+002,,,8.350000e-005,1.728970e+002,1.834391e+002,,,6.906430e-003,5.096420e+001,4.738270e+001,
Sample(ID2),,002-862-H2_full-ACDS2800(PO) ,,,,,4.077859e+000,1.066027e-001,1.142683e-001,5.228366e+002,6.242629e+002,,,1.012620e-004,1.872730e+002,1.966088e+002,,,7.961670e-003,5.445420e+001,5.112234e+001,
,,,,,,,4.183516e+000,8.287591e-002,1.242675e-001,3.962022e+002,6.727060e+002,,,1.234510e-004,2.016910e+002,2.088710e+002,,,8.632190e-003,5.650000e+001,5.331090e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.041992e-002,1.320112e-001,2.815525e+002,7.092790e+002,,,1.494040e-004,2.160600e+002,2.182197e+002,,,1.004380e-002,6.044580e+001,5.749986e+001,
,,,,,,,4.403114e+000,4.050088e-002,1.375885e-001,1.839647e+002,7.350025e+002,,,1.890290e-004,2.304130e+002,2.305802e+002,,,1.900930e-002,7.915190e+001,7.646884e+001,
Lambda,,4,,,,,4.517198e+000,2.419570e-002,1.412360e-001,1.071270e+002,7.513772e+002,,,2.409180e-004,2.448180e+002,2.400859e+002,,,3.068730e-002,9.515530e+001,9.249609e+001,
,,,,,,,4.634239e+000,1.221119e-002,1.433120e-001,5.269990e+001,7.605085e+002,,,3.124800e-004,2.591840e+002,2.525244e+002,,,4.208070e-002,1.066660e+002,1.037556e+002,
St Dev of Fit,,5.54060557931017,,,,,4.754312e+000,4.431442e-003,1.442606e-001,1.864178e+001,7.645587e+002,,,4.283130e-004,2.735570e+002,2.647678e+002,,,4.865900e-002,1.122290e+002,1.091150e+002,
,,,,,,,4.877496e+000,1.212988e-003,1.445635e-001,4.973813e+000,7.658203e+002,,,6.282470e-004,2.880050e+002,2.784458e+002,,,5.862960e-002,1.195880e+002,1.161242e+002,
,,,,,,,5.003871e+000,2.002263e-003,1.447269e-001,8.002855e+000,7.665034e+002,,,9.906290e-004,3.025230e+002,2.940090e+002,,,7.013810e-002,1.268860e+002,1.230712e+002,
,,,,,,,5.133521e+000,6.245438e-003,1.452278e-001,2.433198e+001,7.684753e+002,,,1.904300e-003,3.201840e+002,3.160029e+002,,,7.966980e-002,1.322410e+002,1.280683e+002,
,,,,,,,5.266531e+000,1.335185e-002,1.465022e-001,5.070455e+001,7.733807e+002,,,3.018790e-003,3.312470e+002,3.347793e+002,,,8.974700e-002,1.373280e+002,1.328098e+002,
,,,,,,,5.402986e+000,2.242392e-002,1.489254e-001,8.300565e+001,7.824558e+002,,,3.903290e-003,3.370780e+002,3.407742e+002,,,9.948670e-002,1.418010e+002,1.369982e+002,
,,,,,,,5.542977e+000,3.284807e-002,1.527865e-001,1.185214e+002,7.965549e+002,,,5.217810e-003,3.434760e+002,3.468825e+002,,,1.487010e-001,1.598440e+002,1.540027e+002,
,,,,,,,5.686596e+000,4.377961e-002,1.582925e-001,1.539748e+002,8.161329e+002,,,5.779250e-003,3.456280e+002,3.488733e+002,,,2.003450e-001,1.736780e+002,1.674652e+002,
,,,,,,,5.833935e+000,5.452955e-002,1.655461e-001,1.869392e+002,8.413074e+002,,,6.799780e-003,3.489950e+002,3.517271e+002,,,2.530240e-001,1.846890e+002,1.787150e+002,
,,,,,,,5.985092e+000,6.443740e-002,1.745624e-001,2.153263e+002,8.717953e+002,,,7.706770e-003,3.514960e+002,3.539073e+002,,,3.060910e-001,1.936990e+002,1.882033e+002,
,,,,,,,6.140166e+000,7.354534e-002,1.852809e-001,2.395549e+002,9.071466e+002,,,8.738530e-003,3.539220e+002,3.559417e+002,,,3.554880e-001,2.007830e+002,1.960049e+002,
,,,,,,,6.299257e+000,8.141413e-002,1.976256e-001,2.584880e+002,9.468356e+002,,,9.778540e-003,3.561150e+002,3.577269e+002,,,3.989010e-001,2.062080e+002,2.022084e+002,
,,,,,,,6.462470e+000,8.815689e-002,2.114804e-001,2.728272e+002,9.902586e+002,,,2.069590e-002,3.691240e+002,3.679802e+002,,,4.492530e-001,2.117850e+002,2.087689e+002,
,,,,,,,6.629913e+000,9.386971e-002,2.267355e-001,2.831703e+002,1.036862e+003,,,3.314070e-002,3.759160e+002,3.746780e+002,,,4.993190e-001,2.166990e+002,2.146903e+002,
,,,,,,,6.801693e+000,9.864749e-002,2.432855e-001,2.900674e+002,1.086147e+003,,,4.009860e-002,3.783740e+002,3.771254e+002,,,5.492880e-001,2.210900e+002,2.200584e+002,
,,,,,,,6.977925e+000,1.025528e-001,2.610281e-001,2.939348e+002,1.137666e+003,,,4.841200e-002,3.806770e+002,3.795194e+002,,,5.990830e-001,2.250550e+002,2.251131e+002,
,,,,,,,7.158723e+000,1.056252e-001,2.798609e-001,2.950952e+002,1.190953e+003,,,5.770910e-002,3.827860e+002,3.819014e+002,,,6.492660e-001,2.286950e+002,2.297866e+002,
,,,,,,,7.344205e+000,1.077784e-001,2.996672e-001,2.935060e+002,1.245587e+003,,,7.026700e-002,3.849690e+002,3.850284e+002,,,6.991220e-001,2.319860e+002,2.341230e+002,
,,,,,,,7.534493e+000,1.087856e-001,3.202907e-001,2.887669e+002,1.301034e+003,,,8.228750e-002,3.866800e+002,3.870010e+002,,,7.492550e-001,2.350410e+002,2.382453e+002,
,,,,,,,7.729711e+000,1.084993e-001,3.415228e-001,2.807331e+002,1.356676e+003,,,9.432120e-002,3.881090e+002,3.884000e+002,,,7.994890e-001,2.378750e+002,2.421053e+002,
,,,,,,,7.929988e+000,1.066679e-001,3.630967e-001,2.690240e+002,1.411766e+003,,,1.037660e-001,3.891340e+002,3.894416e+002,,,9.929120e-001,2.470110e+002,2.552978e+002,
,,,,,,,8.135453e+000,1.031018e-001,3.846769e-001,2.534630e+002,1.465504e+003,,,1.515850e-001,3.930610e+002,3.935943e+002,,,,,,
,,,,,,,8.346243e+000,9.770588e-002,4.058791e-001,2.341314e+002,1.516947e+003,,,2.039460e-001,3.961920e+002,3.963839e+002,,,,,,
,,,,,,,8.562493e+000,9.083876e-002,4.262936e-001,2.121783e+002,1.565250e+003,,,2.582450e-001,3.987350e+002,3.987949e+002,,,,,,
,,,,,,,8.784347e+000,8.249719e-002,4.455399e-001,1.878277e+002,1.609642e+003,,,3.075900e-001,4.006440e+002,4.006243e+002,,,,,,
,,,,,,,9.011949e+000,7.316808e-002,4.632649e-001,1.623801e+002,1.649490e+003,,,3.549370e-001,4.022610e+002,4.022806e+002,,,,,,
,,,,,,,9.245448e+000,6.330498e-002,4.791997e-001,1.369430e+002,1.684414e+003,,,3.999750e-001,4.036370e+002,4.036938e+002,,,,,,
,,,,,,,9.484998e+000,5.336404e-002,4.931605e-001,1.125230e+002,1.714247e+003,,,4.502830e-001,4.050490e+002,4.051679e+002,,,,,,
,,,,,,,9.730753e+000,4.368175e-002,5.050680e-001,8.978083e+001,1.739046e+003,,,5.003210e-001,4.063330e+002,4.064306e+002,,,,,,
,,,,,,,9.982877e+000,3.472260e-002,5.149292e-001,6.956431e+001,1.759066e+003,,,5.505100e-001,4.075770e+002,4.076869e+002,,,,,,
,,,,,,,1.024153e+001,2.673553e-002,5.228475e-001,5.221001e+001,1.774749e+003,,,6.002450e-001,4.087460e+002,4.088045e+002,,,,,,
,,,,,,,1.050689e+001,1.988581e-002,5.290003e-001,3.785288e+001,1.786619e+003,,,6.496270e-001,4.099210e+002,4.097214e+002,,,,,,
,,,,,,,1.077912e+001,1.439021e-002,5.336195e-001,2.670014e+001,1.795316e+003,,,7.000730e-001,4.111440e+002,4.103627e+002,,,,,,
,,,,,,,1.105841e+001,1.001042e-002,5.369925e-001,1.810462e+001,1.801500e+003,,,7.388510e-001,4.100870e+002,4.107690e+002,,,,,,
,,,,,,,1.134493e+001,6.878678e-003,5.393831e-001,1.212643e+001,1.805772e+003,,,7.649270e-001,4.107520e+002,4.111829e+002,,,,,,
,,,,,,,1.163888e+001,4.779441e-003,5.410718e-001,8.212889e+000,1.808715e+003,,,7.911690e-001,4.114680e+002,4.114960e+002,,,,,,
,,,,,,,1.194044e+001,3.500981e-003,5.423008e-001,5.864073e+000,1.810802e+003,,,8.170220e-001,4.122320e+002,4.121763e+002,,,,,,
,,,,,,,1.224982e+001,2.860622e-003,5.432707e-001,4.670472e+000,1.812406e+003,,,8.411320e-001,4.130260e+002,4.130225e+002,,,,,,
,,,,,,,1.256721e+001,2.657330e-003,5.441373e-001,4.228989e+000,1.813800e+003,,,8.653380e-001,4.139160e+002,4.139218e+002,,,,,,
,,,,,,,1.289283e+001,2.712630e-003,5.450069e-001,4.207968e+000,1.815166e+003,,,8.886300e-001,4.149210e+002,4.149650e+002,,,,,,
,,,,,,,1.322688e+001,2.880732e-003,5.459416e-001,4.355875e+000,1.816594e+003,,,9.103850e-001,4.161040e+002,4.161716e+002,,,,,,
,,,,,,,1.356959e+001,3.092956e-003,5.469669e-001,4.558659e+000,1.818124e+003,,,9.303900e-001,4.175430e+002,4.172888e+002,,,,,,
,,,,,,,1.392117e+001,3.242562e-003,5.480829e-001,4.658461e+000,1.819748e+003,,,9.480720e-001,4.194080e+002,4.205232e+002,,,,,,
,,,,,,,1.428187e+001,3.307098e-003,5.492672e-001,4.631183e+000,1.821425e+003,,,9.617920e-001,4.217860e+002,4.234262e+002,,,,,,
,,,,,,,1.465191e+001,3.271489e-003,5.504879e-001,4.465613e+000,1.823113e+003,,,9.726480e-001,4.247600e+002,4.235029e+002,,,,,,
,,,,,,,1.503154e+001,3.132584e-003,5.517067e-001,4.168013e+000,1.824755e+003,,,9.726480e-001,4.247600e+002,4.235029e+002,,,,,,
,,,,,,,1.542101e+001,2.918024e-003,5.528872e-001,3.784478e+000,1.826306e+003,,,,,,,,,,,
,,,,,,,1.582057e+001,2.644129e-003,5.539997e-001,3.342647e+000,1.827731e+003,,,,,,,,,,,
,,,,,,,1.623048e+001,2.337357e-003,5.550210e-001,2.880207e+000,1.829006e+003,,,,,,,,,,,
,,,,,,,1.665101e+001,2.019981e-003,5.559368e-001,2.426257e+000,1.830121e+003,,,,,,,,,,,
,,,,,,,1.708244e+001,1.714273e-003,5.567405e-001,2.007060e+000,1.831075e+003,,,,,,,,,,,
,,,,,,,1.752504e+001,1.423403e-003,5.574335e-001,1.624422e+000,1.831876e+003,,,,,,,,,,,
,,,,,,,1.797912e+001,1.165039e-003,5.580196e-001,1.295991e+000,1.832536e+003,,,,,,,,,,,
,,,,,,,1.844495e+001,9.401897e-004,5.585084e-001,1.019455e+000,1.833074e+003,,,,,,,,,,,
,,,,,,,1.892286e+001,7.488683e-004,5.589104e-001,7.914958e-001,1.833504e+003,,,,,,,,,,,
,,,,,,,1.941315e+001,5.914681e-004,5.592375e-001,6.093479e-001,1.833846e+003,,,,,,,,,,,
,,,,,,,1.991615e+001,4.660919e-004,5.595020e-001,4.680544e-001,1.834115e+003,,,,,,,,,,,
,,,,,,,2.043217e+001,3.708275e-004,5.597166e-001,3.629839e-001,1.834328e+003,,,,,,,,,,,
,,,,,,,2.096157e+001,3.035926e-004,5.598937e-001,2.896659e-001,1.834499e+003,,,,,,,,,,,
,,,,,,,2.150468e+001,2.605885e-004,5.600458e-001,2.423551e-001,1.834642e+003,,,,,,,,,,,
,,,,,,,2.206187e+001,2.397482e-004,5.601842e-001,2.173418e-001,1.834770e+003,,,,,,,,,,,
,,,,,,,2.263349e+001,2.362403e-004,5.603196e-001,2.087528e-001,1.834891e+003,,,,,,,,,,,
,,,,,,,2.321992e+001,2.455957e-004,5.604603e-001,2.115388e-001,1.835014e+003,,,,,,,,,,,
,,,,,,,2.382155e+001,2.633458e-004,5.606132e-001,2.210988e-001,1.835143e+003,,,,,,,,,,,
,,,,,,,2.443876e+001,2.860892e-004,5.607827e-001,2.341274e-001,1.835284e+003,,,,,,,,,,,
,,,,,,,2.507197e+001,3.095916e-004,5.609714e-001,2.469623e-001,1.835436e+003,,,,,,,,,,,
,,,,,,,2.572159e+001,3.315493e-004,5.611798e-001,2.577985e-001,1.835600e+003,,,,,,,,,,,
,,,,,,,2.638803e+001,3.500934e-004,5.614072e-001,2.653426e-001,1.835775e+003,,,,,,,,,,,
,,,,,,,2.707174e+001,3.634610e-004,5.616516e-001,2.685169e-001,1.835958e+003,,,,,,,,,,,
,,,,,,,2.777317e+001,3.720674e-004,5.619100e-001,2.679330e-001,1.836146e+003,,,,,,,,,,,
,,,,,,,2.849277e+001,3.747149e-004,5.621790e-001,2.630246e-001,1.836337e+003,,,,,,,,,,,
,,,,,,,2.923102e+001,3.720295e-004,5.624550e-001,2.545443e-001,1.836529e+003,,,,,,,,,,,
,,,,,,,2.998839e+001,3.647734e-004,5.627343e-001,2.432764e-001,1.836717e+003,,,,,,,,,,,
,,,,,,,3.076539e+001,3.535945e-004,5.630135e-001,2.298651e-001,1.836901e+003,,,,,,,,,,,
,,,,,,,3.156252e+001,3.396307e-004,5.632900e-001,2.152114e-001,1.837079e+003,,,,,,,,,,,
,,,,,,,3.238030e+001,3.239222e-004,5.635613e-001,2.000736e-001,1.837248e+003,,,,,,,,,,,
,,,,,,,3.321928e+001,3.074623e-004,5.638262e-001,1.851107e-001,1.837410e+003,,,,,,,,,,,
,,,,,,,3.407999e+001,2.910289e-004,5.640837e-001,1.707917e-001,1.837563e+003,,,,,,,,,,,
,,,,,,,3.496300e+001,2.754483e-004,5.643337e-001,1.575656e-001,1.837708e+003,,,,,,,,,,,
,,,,,,,3.586889e+001,2.611605e-004,5.645766e-001,1.456195e-001,1.837845e+003,,,,,,,,,,,
,,,,,,,3.679825e+001,2.485271e-004,5.648132e-001,1.350755e-001,1.837975e+003,,,,,,,,,,,
,,,,,,,3.775169e+001,2.377852e-004,5.650449e-001,1.259733e-001,1.838100e+003,,,,,,,,,,,
,,,,,,,3.872983e+001,2.286798e-004,5.652728e-001,1.180897e-001,1.838219e+003,,,,,,,,,,,
,,,,,,,3.973332e+001,2.213261e-004,5.654985e-001,1.114058e-001,1.838334e+003,,,,,,,,,,,
,,,,,,,4.076281e+001,2.152797e-004,5.657231e-001,1.056255e-001,1.838446e+003,,,,,,,,,,,
,,,,,,,4.181897e+001,2.101140e-004,5.659477e-001,1.004874e-001,1.838554e+003,,,,,,,,,,,
,,,,,,,4.290250e+001,2.053958e-004,5.661727e-001,9.575002e-002,1.838661e+003,,,,,,,,,,,
,,,,,,,4.401410e+001,2.006608e-004,5.663984e-001,9.118025e-002,1.838765e+003,,,,,,,,,,,
,,,,,,,4.515451e+001,1.954593e-004,5.666244e-001,8.657357e-002,1.838866e+003,,,,,,,,,,,
,,,,,,,4.632446e+001,1.894181e-004,5.668496e-001,8.177889e-002,1.838964e+003,,,,,,,,,,,
,,,,,,,4.752472e+001,1.822277e-004,5.670727e-001,7.668755e-002,1.839060e+003,,,,,,,,,,,
,,,,,,,4.875608e+001,1.734990e-004,5.672920e-001,7.117018e-002,1.839151e+003,,,,,,,,,,,
,,,,,,,5.001935e+001,1.634215e-004,5.675050e-001,6.534332e-002,1.839237e+003,,,,,,,,,,,
,,,,,,,5.131535e+001,1.515342e-004,5.677092e-001,5.905999e-002,1.839318e+003,,,,,,,,,,,
,,,,,,,5.264493e+001,1.380203e-004,5.679019e-001,5.243441e-002,1.839392e+003,,,,,,,,,,,
,,,,,,,5.400896e+001,1.231822e-004,5.680801e-001,4.561548e-002,1.839459e+003,,,,,,,,,,,
,,,,,,,5.540833e+001,1.072016e-004,5.682414e-001,3.869512e-002,1.839518e+003,,,,,,,,,,,
,,,,,,,5.684395e+001,9.058049e-005,5.683834e-001,3.186988e-002,1.839568e+003,,,,,,,,,,,
,,,,,,,5.831678e+001,7.380748e-005,5.685044e-001,2.531261e-002,1.839610e+003,,,,,,,,,,,
,,,,,,,5.982776e+001,5.754933e-005,5.686034e-001,1.923834e-002,1.839644e+003,,,,,,,,,,,
,,,,,,,6.137790e+001,4.248620e-005,5.686807e-001,1.384414e-002,1.839669e+003,,,,,,,,,,,
,,,,,,,6.296820e+001,2.933738e-005,5.687375e-001,9.318158e-003,1.839688e+003,,,,,,,,,,,
,,,,,,,6.459970e+001,1.856784e-005,5.687761e-001,5.748584e-003,1.839700e+003,,,,,,,,,,,
,,,,,,,6.627348e+001,1.049472e-005,5.688000e-001,3.167095e-003,1.839707e+003,,,,,,,,,,,
,,,,,,,6.799062e+001,5.180902e-006,5.688130e-001,1.524005e-003,1.839711e+003,,,,,,,,,,,
,,,,,,,6.975225e+001,1.927271e-006,5.688189e-001,5.526046e-004,1.839713e+003,,,,,,,,,,,
,,,,,,,7.155953e+001,4.506732e-007,5.688209e-001,1.259576e-004,1.839713e+003,,,,,,,,,,,
,,,,,,,7.341363e+001,0.000000e+000,5.688212e-001,0.000000e+000,1.839713e+003,,,,,,,,,,,
,,,,,,,7.531578e+001,1.279093e-009,5.688212e-001,3.396614e-007,1.839713e+003,,,,,,,,,,,
,,,,,,,7.726721e+001,0.000000e+000,5.688214e-001,0.000000e+000,1.839713e+003,,,,,,,,,,,
,,,,,,,7.926920e+001,3.437731e-007,5.688216e-001,8.673561e-005,1.839713e+003,,,,,,,,,,,
,,,,,,,8.132306e+001,1.033076e-006,5.688229e-001,2.540672e-004,1.839714e+003,,,,,,,,,,,
,,,,,,,8.343013e+001,2.894925e-006,5.688266e-001,6.939758e-004,1.839715e+003,,,,,,,,,,,
,,,,,,,8.559181e+001,6.325088e-006,5.688361e-001,1.477966e-003,1.839717e+003,,,,,,,,,,,
,,,,,,,8.780948e+001,1.191464e-005,5.688561e-001,2.713747e-003,1.839721e+003,,,,,,,,,,,
,,,,,,,9.008462e+001,1.877344e-005,5.688909e-001,4.167956e-003,1.839729e+003,,,,,,,,,,,
,,,,,,,9.241871e+001,2.611352e-005,5.689433e-001,5.651132e-003,1.839741e+003,,,,,,,,,,,
,,,,,,,9.481328e+001,3.334629e-005,5.690146e-001,7.034096e-003,1.839756e+003,,,,,,,,,,,
,,,,,,,9.726989e+001,4.012932e-005,5.691050e-001,8.251128e-003,1.839775e+003,,,,,,,,,,,
,,,,,,,9.979014e+001,4.606981e-005,5.692139e-001,9.233339e-003,1.839797e+003,,,,,,,,,,,
,,,,,,,1.023757e+002,5.100049e-005,5.693396e-001,9.963398e-003,1.839822e+003,,,,,,,,,,,
,,,,,,,1.050283e+002,5.479438e-005,5.694802e-001,1.043422e-002,1.839849e+003,,,,,,,,,,,
,,,,,,,1.077495e+002,5.741304e-005,5.696332e-001,1.065676e-002,1.839878e+003,,,,,,,,,,,
,,,,,,,1.105413e+002,5.900166e-005,5.697960e-001,1.067504e-002,1.839907e+003,,,,,,,,,,,
,,,,,,,1.134054e+002,5.961429e-005,5.699660e-001,1.051348e-002,1.839938e+003,,,,,,,,,,,
,,,,,,,1.163438e+002,5.942083e-005,5.701411e-001,1.021470e-002,1.839968e+003,,,,,,,,,,,
,,,,,,,1.193582e+002,5.857893e-005,5.703191e-001,9.815650e-003,1.839998e+003,,,,,,,,,,,
,,,,,,,1.224508e+002,5.723647e-005,5.704983e-001,9.348485e-003,1.840028e+003,,,,,,,,,,,
,,,,,,,1.256235e+002,5.552904e-005,5.706772e-001,8.840550e-003,1.840057e+003,,,,,,,,,,,
,,,,,,,1.288784e+002,5.358766e-005,5.708548e-001,8.316005e-003,1.840085e+003,,,,,,,,,,,
,,,,,,,1.322176e+002,5.152509e-005,5.710303e-001,7.793983e-003,1.840112e+003,,,,,,,,,,,
,,,,,,,1.356434e+002,4.943712e-005,5.712033e-001,7.289279e-003,1.840138e+003,,,,,,,,,,,
,,,,,,,1.391579e+002,4.741129e-005,5.713734e-001,6.814028e-003,1.840162e+003,,,,,,,,,,,
,,,,,,,1.427635e+002,4.550567e-005,5.715409e-001,6.374974e-003,1.840186e+003,,,,,,,,,,,
,,,,,,,1.464625e+002,4.376995e-005,5.717059e-001,5.976951e-003,1.840209e+003,,,,,,,,,,,
,,,,,,,1.502573e+002,4.223418e-005,5.718690e-001,5.621581e-003,1.840231e+003,,,,,,,,,,,
,,,,,,,1.541504e+002,4.090106e-005,5.720307e-001,5.306642e-003,1.840252e+003,,,,,,,,,,,
,,,,,,,1.581445e+002,3.978364e-005,5.721918e-001,5.031302e-003,1.840273e+003,,,,,,,,,,,
,,,,,,,1.622420e+002,3.886074e-005,5.723528e-001,4.790466e-003,1.840293e+003,,,,,,,,,,,
,,,,,,,1.664457e+002,3.810881e-005,5.725146e-001,4.579128e-003,1.840313e+003,,,,,,,,,,,
,,,,,,,1.707583e+002,3.748552e-005,5.726775e-001,4.390478e-003,1.840332e+003,,,,,,,,,,,
,,,,,,,1.751826e+002,3.692763e-005,5.728421e-001,4.215902e-003,1.840351e+003,,,,,,,,,,,
,,,,,,,1.797216e+002,3.638208e-005,5.730085e-001,4.048715e-003,1.840370e+003,,,,,,,,,,,
,,,,,,,1.843782e+002,3.579325e-005,5.731766e-001,3.882591e-003,1.840388e+003,,,,,,,,,,,
,,,,,,,1.891554e+002,3.511363e-005,5.733460e-001,3.712675e-003,1.840406e+003,,,,,,,,,,,
,,,,,,,1.940564e+002,3.430669e-005,5.735161e-001,3.535744e-003,1.840424e+003,,,,,,,,,,,
,,,,,,,1.990844e+002,3.335207e-005,5.736863e-001,3.350546e-003,1.840441e+003,,,,,,,,,,,
,,,,,,,2.042427e+002,3.223178e-005,5.738555e-001,3.156224e-003,1.840458e+003,,,,,,,,,,,
,,,,,,,2.095346e+002,3.092854e-005,5.740227e-001,2.952118e-003,1.840474e+003,,,,,,,,,,,
,,,,,,,2.149636e+002,2.943539e-005,5.741866e-001,2.738640e-003,1.840490e+003,,,,,,,,,,,
,,,,,,,2.205333e+002,2.772012e-005,5.743460e-001,2.513917e-003,1.840504e+003,,,,,,,,,,,
,,,,,,,2.262473e+002,2.589763e-005,5.744993e-001,2.289320e-003,1.840518e+003,,,,,,,,,,,
,,,,,,,2.321094e+002,2.391166e-005,5.746453e-001,2.060379e-003,1.840531e+003,,,,,,,,,,,
,,,,,,,2.381233e+002,2.186885e-005,5.747829e-001,1.836767e-003,1.840543e+003,,,,,,,,,,,
,,,,,,,2.442931e+002,1.988879e-005,5.749117e-001,1.628273e-003,1.840553e+003,,,,,,,,,,,
,,,,,,,2.506227e+002,1.806491e-005,5.750317e-001,1.441602e-003,1.840563e+003,,,,,,,,,,,
,,,,,,,2.571163e+002,1.654307e-005,5.751438e-001,1.286816e-003,1.840572e+003,,,,,,,,,,,
,,,,,,,2.637782e+002,1.546030e-005,5.752501e-001,1.172219e-003,1.840580e+003,,,,,,,,,,,
,,,,,,,2.706127e+002,1.499616e-005,5.753537e-001,1.108312e-003,1.840588e+003,,,,,,,,,,,
,,,,,,,2.776242e+002,1.528862e-005,5.754593e-001,1.101389e-003,1.840596e+003,,,,,,,,,,,
,,,,,,,2.848175e+002,1.651957e-005,5.755732e-001,1.160011e-003,1.840604e+003,,,,,,,,,,,
,,,,,,,2.921971e+002,1.873383e-005,5.757027e-001,1.282273e-003,1.840613e+003,,,,,,,,,,,
,,,,,,,2.997679e+002,2.194620e-005,5.758561e-001,1.464213e-003,1.840623e+003,,,,,,,,,,,
,,,,,,,3.075349e+002,2.612596e-005,5.760421e-001,1.699056e-003,1.840635e+003,,,,,,,,,,,
,,,,,,,3.155031e+002,3.097394e-005,5.762691e-001,1.963464e-003,1.840650e+003,,,,,,,,,,,
,,,,,,,3.236778e+002,3.641389e-005,5.765444e-001,2.250009e-003,1.840667e+003,,,,,,,,,,,
,,,,,,,3.320642e+002,4.211089e-005,5.768736e-001,2.536310e-003,1.840687e+003,,,,,,,,,,,
,,,,,,,3.406680e+002,4.773284e-005,5.772604e-001,2.802308e-003,1.840710e+003,,,,,,,,,,,
,,,,,,,3.494947e+002,5.301531e-005,5.777051e-001,3.033826e-003,1.840736e+003,,,,,,,,,,,
,,,,,,,3.585501e+002,5.735448e-005,5.782055e-001,3.199245e-003,1.840764e+003,,,,,,,,,,,
,,,,,,,3.678401e+002,6.055392e-005,5.787544e-001,3.292404e-003,1.840794e+003,,,,,,,,,,,
,,,,,,,3.773708e+002,6.201991e-005,5.793404e-001,3.286948e-003,1.840826e+003,,,,,,,,,,,
,,,,,,,3.871485e+002,6.139719e-005,5.799458e-001,3.171765e-003,1.840857e+003,,,,,,,,,,,
,,,,,,,3.971795e+002,5.831641e-005,5.805481e-001,2.936527e-003,1.840888e+003,,,,,,,,,,,
,,,,,,,4.074704e+002,5.298022e-005,5.811226e-001,2.600445e-003,1.840917e+003,,,,,,,,,,,
,,,,,,,4.180279e+002,4.560711e-005,5.816445e-001,2.182013e-003,1.840942e+003,,,,,,,,,,,
,,,,,,,4.288590e+002,3.638727e-005,5.820912e-001,1.696934e-003,1.840963e+003,,,,,,,,,,,
,,,,,,,4.399707e+002,2.644764e-005,5.824416e-001,1.202245e-003,1.840979e+003,,,,,,,,,,,
,,,,,,,4.513704e+002,1.604051e-005,5.826829e-001,7.107470e-004,1.840990e+003,,,,,,,,,,,
