,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.610000e-006,1.440890e+001,4.578900e+001,,,1.186260e-004,2.876680e+000,1.378843e+000,
,,,,,,,3.077730e+000,1.464931e-003,2.883287e-005,9.519557e+000,1.883272e-001,,,2.960000e-006,2.879950e+001,4.905958e+001,,,2.532120e-004,5.746760e+000,2.926468e+000,
,,,,,,,3.157474e+000,1.207661e-002,4.538864e-004,7.649543e+001,4.253504e+000,,,5.390000e-006,4.318420e+001,5.418743e+001,,,4.065520e-004,8.605260e+000,4.663663e+000,
,,,,,,,3.239284e+000,3.728675e-002,2.332810e-003,2.302160e+002,1.597560e+001,,,8.420000e-006,5.758970e+001,6.026309e+001,,,5.834190e-004,1.146160e+001,6.624669e+000,
,,,,,,,3.323213e+000,7.370303e-002,7.138226e-003,4.435648e+002,4.449860e+001,,,1.320000e-005,7.200440e+001,6.902907e+001,,,7.843130e-004,1.429570e+001,8.791308e+000,
,,,,,,,3.409318e+000,1.165962e-001,1.543382e-002,6.839853e+002,9.374116e+001,,,1.880000e-005,8.645150e+001,7.816447e+001,,,1.010850e-003,1.709350e+001,1.114730e+001,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.464679e-001,2.715267e-002,8.375212e+002,1.615791e+002,,,2.590000e-005,1.008410e+002,9.259350e+001,,,1.964840e-003,2.621190e+001,2.001048e+001,
,,,,,,,3.588277e+000,1.635984e-001,4.130797e-002,9.118492e+002,2.413212e+002,,,3.430000e-005,1.152550e+002,1.139232e+002,,,2.977450e-003,3.325050e+001,2.769720e+001,
Sample (ID),,002-856-002-859-ACDS2800(PO) ,,,,,3.681249e+000,1.688521e-001,5.685980e-002,9.173630e+002,3.268930e+002,,,4.400000e-005,1.296980e+002,1.283709e+002,,,4.250870e-003,4.016880e+001,3.545810e+001,
,,,,,,,3.776630e+000,1.629817e-001,7.276974e-002,8.631067e+002,4.122137e+002,,,5.540000e-005,1.441320e+002,1.488670e+002,,,4.843730e-003,4.291190e+001,3.852288e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482e+000,1.491105e-001,8.809529e-002,7.697056e+002,4.923552e+002,,,6.830000e-005,1.585270e+002,1.687970e+002,,,5.828440e-003,4.700730e+001,4.308693e+001,
