,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,6.299257e+000,7.846796e-002,2.032656e-001,2.491340e+002,9.666226e+002,,,8.702980e-003,3.639030e+002,3.659867e+002,,,3.532470e-001,2.043290e+002,1.993418e+002,
,,,,,,,6.462470e+000,8.511870e-002,2.166238e-001,2.634247e+002,1.008496e+003,,,9.789820e-003,3.662810e+002,3.679031e+002,,,4.004230e-001,2.103800e+002,2.062407e+002,
,,,,,,,6.629913e+000,9.123185e-002,2.313964e-001,2.752128e+002,1.053625e+003,,,2.016090e-002,3.794300e+002,3.781288e+002,,,4.502280e-001,2.160090e+002,2.128698e+002,
,,,,,,,6.801693e+000,9.685924e-002,2.475612e-001,2.848092e+002,1.101761e+003,,,3.069950e-002,3.859300e+002,3.843533e+002,,,5.004960e-001,2.210540e+002,2.189576e+002,
,,,,,,,6.977925e+000,1.019182e-001,2.650873e-001,2.921159e+002,1.152653e+003,,,3.841510e-002,3.890820e+002,3.874860e+002,,,5.504210e-001,2.256460e+002,2.244340e+002,
,,,,,,,7.158723e+000,1.063126e-001,2.839238e-001,2.970157e+002,1.205950e+003,,,4.906630e-002,3.923030e+002,3.908164e+002,,,6.007090e-001,2.297320e+002,2.296431e+002,
,,,,,,,7.344205e+000,1.098002e-001,3.039839e-001,2.990119e+002,1.261279e+003,,,6.003080e-002,3.949490e+002,3.937511e+002,,,6.504070e-001,2.334500e+002,2.343827e+002,
,,,,,,,7.534493e+000,1.120289e-001,3.251125e-001,2.973760e+002,1.318082e+003,,,6.792640e-002,3.950810e+002,3.958009e+002,,,7.006760e-001,2.368870e+002,2.388455e+002,
,,,,,,,7.729711e+000,1.127049e-001,3.470767e-001,2.916147e+002,1.375641e+003,,,1.223940e-001,4.020070e+002,4.028805e+002,,,7.506290e-001,2.399850e+002,2.430519e+002,
,,,,,,,7.929988e+000,1.115174e-001,3.695637e-001,2.812549e+002,1.433056e+003,,,1.679130e-001,4.056630e+002,4.059724e+002,,,8.005040e-001,2.429020e+002,2.469644e+002,
,,,,,,,8.135453e+000,1.082350e-001,3.921762e-001,2.660823e+002,1.489364e+003,,,2.133740e-001,4.084700e+002,4.085028e+002,,,9.843050e-001,2.518270e+002,2.598300e+002,
,,,,,,,8.346243e+000,1.027632e-001,4.144591e-001,2.462501e+002,1.543427e+003,,,2.528540e-001,4.104840e+002,4.103987e+002,,,9.942100e-001,2.523490e+002,2.604861e+002,
,,,,,,,8.562493e+000,9.554744e-002,4.359344e-001,2.231767e+002,1.594241e+003,,,3.018860e-001,4.126030e+002,4.126012e+002,,,,,,
,,,,,,,8.784347e+000,8.662809e-002,4.561643e-001,1.972329e+002,1.640901e+003,,,3.513700e-001,4.144740e+002,4.144431e+002,,,,,,
,,,,,,,9.011949e+000,7.658533e-002,4.747496e-001,1.699640e+002,1.682685e+003,,,3.997500e-001,4.160860e+002,4.161757e+002,,,,,,
,,,,,,,9.245448e+000,6.595407e-002,4.913925e-001,1.426736e+002,1.719162e+003,,,4.498770e-001,4.175960e+002,4.176847e+002,,,,,,
,,,,,,,9.484998e+000,5.526697e-002,5.058959e-001,1.165355e+002,1.750156e+003,,,5.008450e-001,4.189970e+002,4.190734e+002,,,,,,
,,,,,,,9.730753e+000,4.488556e-002,5.181827e-001,9.225506e+001,1.775745e+003,,,5.498080e-001,4.202750e+002,4.203344e+002,,,,,,
,,,,,,,9.982877e+000,3.533709e-002,5.282704e-001,7.079540e+001,1.796225e+003,,,6.004920e-001,4.215340e+002,4.215419e+002,,,,,,
,,,,,,,1.024153e+001,2.688276e-002,5.362840e-001,5.249753e+001,1.812099e+003,,,6.499570e-001,4.227320e+002,4.227787e+002,,,,,,
,,,,,,,1.050689e+001,1.969211e-002,5.424273e-001,3.748419e+001,1.823951e+003,,,6.978540e-001,4.239220e+002,4.239084e+002,,,,,,
,,,,,,,1.077912e+001,1.399126e-002,5.469618e-001,2.595992e+001,1.832490e+003,,,7.474540e-001,4.251580e+002,4.251788e+002,,,,,,
,,,,,,,1.105841e+001,9.509602e-003,5.502064e-001,1.719886e+001,1.838439e+003,,,7.610250e-001,4.255510e+002,4.256481e+002,,,,,,
,,,,,,,1.134493e+001,6.377854e-003,5.524514e-001,1.124353e+001,1.842451e+003,,,7.750830e-001,4.259160e+002,4.259292e+002,,,,,,
,,,,,,,1.163888e+001,4.351854e-003,5.540023e-001,7.478131e+000,1.845154e+003,,,7.885430e-001,4.263220e+002,4.262738e+002,,,,,,
,,,,,,,1.194044e+001,3.194728e-003,5.551198e-001,5.351106e+000,1.847051e+003,,,8.023270e-001,4.267300e+002,4.267207e+002,,,,,,
,,,,,,,1.224982e+001,2.700109e-003,5.560172e-001,4.408406e+000,1.848536e+003,,,8.161420e-001,4.271570e+002,4.271678e+002,,,,,,
,,,,,,,1.256721e+001,2.647711e-003,5.568570e-001,4.213680e+000,1.849885e+003,,,8.302160e-001,4.275990e+002,4.276050e+002,,,,,,
,,,,,,,1.289283e+001,2.842319e-003,5.577468e-001,4.409147e+000,1.851283e+003,,,8.436970e-001,4.280630e+002,4.280887e+002,,,,,,
,,,,,,,1.322688e+001,3.125440e-003,5.587453e-001,4.725892e+000,1.852808e+003,,,8.573270e-001,4.285720e+002,4.285691e+002,,,,,,
,,,,,,,1.356959e+001,3.426112e-003,5.598706e-001,5.049692e+000,1.854488e+003,,,8.705720e-001,4.291140e+002,4.291091e+002,,,,,,
,,,,,,,1.392117e+001,3.629261e-003,5.611142e-001,5.214015e+000,1.856297e+003,,,8.863270e-001,4.298480e+002,4.298818e+002,,,,,,
,,,,,,,1.428187e+001,3.715630e-003,5.624429e-001,5.203281e+000,1.858179e+003,,,8.991960e-001,4.305250e+002,4.305348e+002,,,,,,
,,,,,,,1.465191e+001,3.673525e-003,5.638144e-001,5.014396e+000,1.860075e+003,,,9.114790e-001,4.312780e+002,4.313186e+002,,,,,,
,,,,,,,1.503154e+001,3.503800e-003,5.651806e-001,4.661930e+000,1.861916e+003,,,9.239130e-001,4.321590e+002,4.320683e+002,,,,,,
,,,,,,,1.542101e+001,3.239892e-003,5.664965e-001,4.201919e+000,1.863645e+003,,,9.356600e-001,4.331360e+002,4.330477e+002,,,,,,
,,,,,,,1.582057e+001,2.903060e-003,5.677254e-001,3.669982e+000,1.865219e+003,,,9.462960e-001,4.341610e+002,4.346900e+002,,,,,,
,,,,,,,1.623048e+001,2.524692e-003,5.688383e-001,3.111051e+000,1.866608e+003,,,9.568810e-001,4.353400e+002,4.368902e+002,,,,,,
,,,,,,,1.665101e+001,2.131692e-003,5.698170e-001,2.560436e+000,1.867800e+003,,,9.664930e-001,4.366350e+002,4.369846e+002,,,,,,
,,,,,,,1.708244e+001,1.750312e-003,5.706526e-001,2.049253e+000,1.868791e+003,,,9.752350e-001,4.381750e+002,4.370484e+002,,,,,,
,,,,,,,1.752504e+001,1.388888e-003,5.713456e-001,1.585033e+000,1.869593e+003,,,9.752350e-001,4.381750e+002,4.370484e+002,,,,,,
,,,,,,,1.797912e+001,1.068268e-003,5.719015e-001,1.188343e+000,1.870219e+003,,,,,,,,,,,
,,,,,,,1.844495e+001,7.941422e-004,5.723329e-001,8.610942e-001,1.870694e+003,,,,,,,,,,,
,,,,,,,1.892286e+001,5.693378e-004,5.726563e-001,6.017460e-001,1.871040e+003,,,,,,,,,,,
,,,,,,,1.941315e+001,3.975900e-004,5.728911e-001,4.096089e-001,1.871285e+003,,,,,,,,,,,
,,,,,,,1.991615e+001,2.762715e-004,5.730584e-001,2.774347e-001,1.871456e+003,,,,,,,,,,,
,,,,,,,2.043217e+001,2.023116e-004,5.731798e-001,1.980323e-001,1.871577e+003,,,,,,,,,,,
,,,,,,,2.096157e+001,1.693412e-004,5.732765e-001,1.615730e-001,1.871670e+003,,,,,,,,,,,
,,,,,,,2.150468e+001,1.684307e-004,5.733669e-001,1.566456e-001,1.871755e+003,,,,,,,,,,,
,,,,,,,2.206187e+001,1.916832e-004,5.734664e-001,1.737688e-001,1.871847e+003,,,,,,,,,,,
,,,,,,,2.263349e+001,2.312951e-004,5.735867e-001,2.043831e-001,1.871954e+003,,,,,,,,,,,
,,,,,,,2.321992e+001,2.802519e-004,5.737365e-001,2.413892e-001,1.872085e+003,,,,,,,,,,,
,,,,,,,2.382155e+001,3.320808e-004,5.739209e-001,2.788071e-001,1.872241e+003,,,,,,,,,,,
,,,,,,,2.443876e+001,3.831324e-004,5.741420e-001,3.135448e-001,1.872425e+003,,,,,,,,,,,
,,,,,,,2.507197e+001,4.279042e-004,5.743992e-001,3.413407e-001,1.872632e+003,,,,,,,,,,,
,,,,,,,2.572159e+001,4.644030e-004,5.746896e-001,3.610998e-001,1.872861e+003,,,,,,,,,,,
,,,,,,,2.638803e+001,4.911992e-004,5.750087e-001,3.722894e-001,1.873106e+003,,,,,,,,,,,
