,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,2.75E-07,1.49E+01,37.06230907,,,1.53E-04,3.04E+00,1.480502105
,,,,,,,3.077729863,0.001070734,2.11E-05,6.957948697,0.540840398,,,2.89E-06,3.00E+01,44.8753368,,,3.32E-04,6.05E+00,3.194698027
,,,,,,,3.157473703,0.008349538,0.000337188,52.88746144,4.758289665,,,7.33E-06,4.50E+01,50.49339038,,,5.47E-04,9.06E+00,5.212497395
,,,,,,,3.239283702,0.027420736,0.001706761,169.3012312,18.60882328,,,1.49E-05,6.00E+01,59.64724459,,,7.98E-04,1.20E+01,7.488291368
,,,,,,,3.323213395,0.05823494,0.005254935,350.4736742,48.02397104,,,2.49E-05,7.51E+01,71.88782636,,,1.10E-03,1.50E+01,10.07315577
,,,,,,,3.409317702,0.091415321,0.011722141,536.2675408,94.19891609,,,3.62E-05,9.01E+01,92.53007946,,,1.94E-03,2.15E+01,16.60654771
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.117704978,0.021041166,673.0512093,153.6530736,,,4.97E-05,1.05E+02,108.4437284,,,3.00E-03,2.75E+01,23.43235507
,,,,,,,3.588276996,0.133333347,0.032497125,743.1608357,221.0013024,,,6.56E-05,1.20E+02,131.2489754,,,3.82E-03,3.13E+01,27.9034098
Sample (ID),,002-659-O2_full-SA1-250-800_5 ,,,,,3.681249089,0.139149868,0.045237135,755.9926803,291.2875241,,,8.40E-05,1.35E+02,146.5213607,,,4.97E-03,3.58E+01,33.11132419
,,,,,,,3.776630085,0.136243691,0.058433223,721.5093237,360.1058018,,,1.08E-04,1.50E+02,161.5265687,,,5.84E-03,3.88E+01,36.5072662
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482398,0.126585285,0.071336022,653.4306871,424.0455058,,,1.36E-04,1.65E+02,173.4600316,,,6.90E-03,4.20E+01,40.1033161
,,,,,,,3.97487006,0.112419114,0.083358382,565.6492514,480.8297116,,,1.72E-04,1.80E+02,183.4454634,,,8.00E-03,4.49E+01,43.43227428
Sample(ID2),,002-664-H2_full-SA1-250-800-5 ,,,,,4.077858761,0.095736633,0.094087772,469.5436446,529.1874019,,,2.19E-04,1.95E+02,193.2677005,,,8.64E-03,4.66E+01,45.24160301
,,,,,,,4.183515895,0.078157043,0.103271752,373.642864,568.6654361,,,2.84E-04,2.10E+02,204.6769877,,,1.00E-02,4.98E+01,48.75802094
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291910601,0.061102818,0.110804655,284.7348103,599.529182,,,3.85E-04,2.25E+02,216.5753773,,,2.09E-02,6.78E+01,67.61630433
,,,,,,,4.403113809,0.045636815,0.11671814,207.29337,622.5808696,,,5.50E-04,2.40E+02,229.3475777,,,2.92E-02,7.73E+01,77.20582259
Lambda,,3.5,,,,,4.517198286,0.032350827,0.121140325,143.2340365,638.9216499,,,8.46E-04,2.55E+02,244.4108278,,,3.88E-02,8.60E+01,85.77202954
,,,,,,,4.634238687,0.021722011,0.124274395,93.7457573,649.8936909,,,1.41E-03,2.70E+02,260.0353547,,,4.79E-02,9.27E+01,92.33929867
St Dev of Fit,,3.579083633,,,,,4.7543116,0.013903329,0.126383531,58.48724366,656.9164246,,,2.20E-03,2.81E+02,278.7940576,,,5.84E-02,9.94E+01,98.61619713
,,,,,,,4.877495596,0.008800061,0.127753189,36.08434034,661.3614378,,,2.98E-03,2.89E+02,292.0294299,,,6.99E-02,1.06E+02,104.5432438
,,,,,,,5.003871284,0.006285013,0.128679651,25.12060108,664.5360711,,,4.26E-03,2.97E+02,301.1385624,,,7.98E-02,1.11E+02,108.9198817
,,,,,,,5.13352136,0.006065854,0.129457328,23.63233212,667.6000047,,,4.77E-03,3.00E+02,303.9268522,,,8.98E-02,1.15E+02,112.8552663
,,,,,,,5.266530664,0.007801157,0.130360181,29.6254116,671.5404601,,,5.75E-03,3.04E+02,307.8016822,,,9.96E-02,1.19E+02,116.4016814
,,,,,,,5.402986233,0.011161065,0.131638421,41.31443138,677.1780443,,,6.74E-03,3.07E+02,310.8961943,,,1.49E-01,1.35E+02,130.6385736
,,,,,,,5.542977359,0.01579868,0.133513929,57.00430892,685.1581417,,,7.77E-03,3.10E+02,313.6071888,,,2.01E-01,1.47E+02,141.9963128
,,,,,,,5.686595649,0.021388066,0.136176425,75.22274165,695.9615033,,,8.60E-03,3.12E+02,315.4279488,,,2.54E-01,1.57E+02,151.4995793
,,,,,,,5.833935082,0.02765375,0.139784388,94.80307916,709.9297352,,,9.62E-03,3.15E+02,317.3530691,,,3.07E-01,1.65E+02,159.4609122
,,,,,,,5.985092074,0.034377533,0.144470296,114.8772069,727.2942282,,,2.03E-02,3.29E+02,328.5429666,,,3.56E-01,1.71E+02,166.080333
,,,,,,,6.140165536,0.041365794,0.150343159,134.7383682,748.1885734,,,3.01E-02,3.36E+02,334.8133081,,,4.00E-01,1.76E+02,171.3087229
,,,,,,,6.299256944,0.048482497,0.157491565,153.9308452,772.6776484,,,4.21E-02,3.41E+02,339.9423543,,,4.50E-01,1.81E+02,176.8810868
,,,,,,,6.462470404,0.05563383,0.165990771,172.1751179,800.778945,,,5.05E-02,3.44E+02,342.4150255,,,5.00E-01,1.86E+02,181.9113272
,,,,,,,6.629912717,0.062727163,0.175904256,189.2247026,832.4631669,,,6.01E-02,3.46E+02,345.2228184,,,5.50E-01,1.90E+02,186.4537132
,,,,,,,6.801693452,0.069630902,0.187278793,204.7457801,867.6345476,,,7.13E-02,3.48E+02,348.5923633,,,6.00E-01,1.93E+02,190.7688266
,,,,,,,6.977925018,0.076208988,0.200137781,218.4287973,906.1285967,,,8.27E-02,3.50E+02,350.5729671,,,6.49E-01,1.96E+02,194.665166
,,,,,,,7.158722737,0.082287545,0.214477685,229.8944875,947.6929955,,,9.38E-02,3.52E+02,351.9591437,,,6.99E-01,1.99E+02,198.4093966
