,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,7.30E-07,1.44E+01,46.15764819,,,1.16E-04,2.93E+00,1.287064425
,,,,,,,3.077729863,0.00121469,2.39E-05,7.89341679,0.613554205,,,1.64E-06,2.88E+01,51.48005387,,,2.46E-04,5.86E+00,2.722553693
,,,,,,,3.157473703,0.0094721,0.000382522,59.99796698,5.398022488,,,3.12E-06,4.33E+01,57.29991397,,,3.92E-04,8.75E+00,4.317444098
,,,,,,,3.239283702,0.031106944,0.001936225,192.0606347,21.11050288,,,5.65E-06,5.78E+01,65.00706205,,,5.63E-04,1.16E+01,6.138874874
,,,,,,,3.323213395,0.066020245,0.005960257,397.3277524,54.45809902,,,8.83E-06,7.22E+01,72.95354992,,,7.56E-04,1.45E+01,8.150299063
,,,,,,,3.409317702,0.103457494,0.013285901,606.9102567,106.7156862,,,1.29E-05,8.66E+01,82.02599913,,,9.75E-04,1.73E+01,10.35998087
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.132807653,0.023817154,759.4101199,173.798381,,,1.82E-05,1.01E+02,91.95331745,,,2.03E-03,2.76E+01,19.82737841
,,,,,,,3.588276996,0.149775144,0.036715146,834.8025754,249.4515534,,,2.48E-05,1.15E+02,106.0500422,,,2.93E-03,3.40E+01,26.52766094
Sample (ID),,002-793-O2_full-SA1-300-800_2 ,,,,,3.681249089,0.155382153,0.05098526,844.1816833,327.9368913,,,3.32E-05,1.30E+02,128.2729073,,,3.81E-03,3.91E+01,32.10556674
,,,,,,,3.776630085,0.150932034,0.065664964,799.294771,404.1744224,,,4.20E-05,1.44E+02,143.0437584,,,4.95E-03,4.47E+01,38.24350534
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482398,0.138807759,0.079889407,716.5228501,474.2878405,,,5.29E-05,1.59E+02,161.9103197,,,5.80E-03,4.83E+01,42.2192963
,,,,,,,3.97487006,0.121728414,0.092993778,612.4900302,535.7742826,,,6.53E-05,1.73E+02,182.9701677,,,6.86E-03,5.23E+01,46.54203224
Sample(ID2),,002-796-H2_full-SA1-300-800_2 ,,,,,4.077858761,0.102126127,0.104529091,500.8811388,587.3593807,,,8.09E-05,1.88E+02,198.5722047,,,7.96E-03,5.60E+01,50.58455361
,,,,,,,4.183515895,0.082051904,0.114250261,392.2628995,628.8047545,,,9.89E-05,2.02E+02,212.4353169,,,8.60E-03,5.81E+01,52.78566937
