,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291910601,0.063323131,0.122105156,295.0813158,660.7900068,,,1.21E-04,2.17E+02,225.2680395,,,1.00E-02,6.23E+01,57.29127925
,,,,,,,4.403113809,0.047299664,0.128223193,214.8464316,684.6816191,,,1.49E-04,2.31E+02,236.1308976,,,2.10E-02,8.48E+01,81.03401149
Lambda,,4,,,,,4.517198286,0.03474417,0.132863982,153.830619,702.2313049,,,1.85E-04,2.45E+02,247.5315085,,,2.92E-02,9.64E+01,93.17128654
,,,,,,,4.634238687,0.026264971,0.136390343,113.3518252,715.498048,,,2.33E-04,2.60E+02,257.163596,,,3.86E-02,1.07E+02,103.9791696
St Dev of Fit,,4.811246176,,,,,4.7543116,0.021965559,0.139244374,92.40268937,726.5931081,,,3.01E-04,2.74E+02,269.801283,,,4.76E-02,1.15E+02,112.5127044
,,,,,,,4.877495596,0.021566428,0.141886907,88.43238316,737.4865624,,,3.97E-04,2.89E+02,281.6809338,,,5.81E-02,1.24E+02,120.76405
,,,,,,,5.003871284,0.02472429,0.14477847,98.82064748,749.9750897,,,5.43E-04,3.03E+02,294.4760732,,,6.97E-02,1.32E+02,128.6194062
,,,,,,,5.13352136,0.030676383,0.148346189,119.5139972,765.4700886,,,7.71E-04,3.18E+02,308.7418254,,,7.97E-02,1.38E+02,134.4253261
,,,,,,,5.266530664,0.038542886,0.152935209,146.3691684,784.9385498,,,1.13E-03,3.32E+02,322.6414475,,,8.96E-02,1.43E+02,139.6191304
,,,,,,,5.402986233,0.04750801,0.158800947,175.8583408,808.9353997,,,1.97E-03,3.51E+02,345.2911974,,,9.97E-02,1.48E+02,144.4271435
,,,,,,,5.542977359,0.056789987,0.166104749,204.9078796,837.6206845,,,2.88E-03,3.62E+02,365.4383486,,,1.49E-01,1.68E+02,163.1570276
,,,,,,,5.686595649,0.065676397,0.174910286,230.9866953,870.7945987,,,3.93E-03,3.71E+02,375.2010468,,,2.01E-01,1.84E+02,178.1942998
,,,,,,,5.833935082,0.0736803,0.185191458,252.5921155,908.0113779,,,5.12E-03,3.79E+02,383.1091491,,,2.54E-01,1.96E+02,190.6428331
,,,,,,,5.985092074,0.080593859,0.19686832,269.3153521,948.7202762,,,5.72E-03,3.82E+02,386.1717337,,,3.08E-01,2.06E+02,201.2126125
,,,,,,,6.140165536,0.086264705,0.209824365,280.9849486,992.293585,,,6.70E-03,3.87E+02,390.3042756,,,3.57E-01,2.14E+02,209.778988
,,,,,,,6.299256944,0.090748769,0.223920969,288.1253117,1038.131847,,,7.68E-03,3.91E+02,393.7481898,,,4.00E-01,2.20E+02,216.4387878
,,,,,,,6.462470404,0.094241615,0.239030839,291.6581727,1085.734386,,,8.56E-03,3.94E+02,396.4341445,,,4.50E-01,2.27E+02,223.6299833
,,,,,,,6.629912717,0.096927762,0.255046726,292.3952889,1134.693729,,,9.54E-03,3.97E+02,398.9850475,,,5.01E-01,2.32E+02,230.1207494
,,,,,,,6.801693452,0.098982965,0.271882147,291.0538849,1184.69118,,,1.92E-02,4.15E+02,413.3056295,,,5.51E-01,2.37E+02,235.9864577
,,,,,,,6.977925018,0.100570303,0.289472282,288.2527475,1235.490413,,,2.86E-02,4.24E+02,422.4285043,,,6.00E-01,2.42E+02,241.4967445
,,,,,,,7.158722737,0.101773135,0.307770707,284.3332219,1286.897211,,,3.82E-02,4.31E+02,428.8116943,,,6.51E-01,2.46E+02,246.6049446
,,,,,,,7.344204916,0.102490881,0.326723115,279.106813,1338.666551,,,5.28E-02,4.37E+02,435.348212,,,7.00E-01,2.50E+02,251.328513
,,,,,,,7.534492929,0.102602888,0.346247194,272.3551257,1390.492466,,,5.99E-02,4.40E+02,438.2728732,,,7.49E-01,2.54E+02,255.6990391
,,,,,,,7.729711297,0.101925442,0.366225784,263.7238017,1441.976196,,,7.06E-02,4.42E+02,442.6956279,,,8.00E-01,2.57E+02,259.9632996
,,,,,,,7.929987763,0.100193821,0.386484616,252.6960295,1492.585264,,,8.15E-02,4.45E+02,445.4802161,,,9.92E-01,2.68E+02,274.2929084
,,,,,,,8.135453383,0.097177738,0.406783119,238.8993786,1541.670873,,,9.31E-02,4.47E+02,447.3645387,,,,,
,,,,,,,8.346242609,0.092819547,0.426829002,222.4223556,1588.555109,,,1.03E-01,4.48E+02,448.993902,,,,,
,,,,,,,8.562493373,0.087169541,0.446310594,203.6078444,1632.585461,,,1.50E-01,4.54E+02,454.8813678,,,,,
,,,,,,,8.784347185,0.080323548,0.464906642,182.8788099,1673.157823,,,2.03E-01,4.59E+02,458.8474617,,,,,
,,,,,,,9.011949219,0.072599269,0.482318753,161.1177944,1709.82856,,,2.58E-01,4.62E+02,462.4249514,,,,,
,,,,,,,9.245448412,0.06436064,0.498311333,139.2266497,1742.337871,,,3.07E-01,4.65E+02,465.218497,,,,,
,,,,,,,9.484997557,0.055957836,0.512717722,117.9923049,1770.602826,,,3.55E-01,4.68E+02,467.7454593,,,,,
,,,,,,,9.730753411,0.047754238,0.525449708,98.15116215,1794.724049,,,3.87E-01,4.69E+02,469.4156976,,,,,
,,,,,,,9.982876787,0.040082921,0.536504136,80.30334645,1814.9704,,,4.46E-01,4.72E+02,472.2214873,,,,,
,,,,,,,10.24153267,0.033192353,0.545958187,64.81911262,1831.736244,,,4.97E-01,4.74E+02,474.4875605,,,,,
,,,,,,,10.50689031,0.027244184,0.553951019,51.85965281,1845.4976,,,5.47E-01,4.76E+02,476.5640137,,,,,
,,,,,,,10.77912336,0.022365909,0.560676001,41.49856812,1856.794881,,,5.97E-01,4.79E+02,478.767017,,,,,
,,,,,,,11.05840995,0.01854415,0.566363017,33.53854672,1866.161748,,,6.46E-01,4.81E+02,480.9451363,,,,,
,,,,,,,11.34493285,0.01568841,0.571243467,27.6571225,1874.086147,,,6.95E-01,4.83E+02,483.435043,,,,,
,,,,,,,11.63887954,0.01369369,0.57554152,23.53094288,1881.002989,,,7.44E-01,4.86E+02,486.1709127,,,,,
,,,,,,,11.94044238,0.012375516,0.579456942,20.72874037,1887.254007,,,7.65E-01,4.88E+02,487.7140573,,,,,
,,,,,,,12.24981869,0.011540088,0.583145762,18.84123915,1893.08304,,,7.86E-01,4.89E+02,489.0890843,,,,,
,,,,,,,12.56721094,0.011015691,0.586718708,17.53084515,1898.647195,,,8.05E-01,4.91E+02,490.4091341,,,,,
,,,,,,,12.8928268,0.010656852,0.590244266,16.53144408,1904.030095,,,8.24E-01,4.92E+02,492.1763861,,,,,
,,,,,,,13.22687935,0.010334315,0.593750678,15.62623301,1909.250078,,,8.42E-01,4.94E+02,493.959978,,,,,
,,,,,,,13.56958719,0.009965233,0.597230743,14.687599,1914.283633,,,8.59E-01,4.96E+02,495.7642699,,,,,
,,,,,,,13.92117457,0.009511201,0.600657223,13.664365,1919.087852,,,8.74E-01,4.98E+02,497.8530221,,,,,
,,,,,,,14.28187157,0.008943152,0.603988588,12.52378192,1923.605142,,,8.88E-01,5.00E+02,500.0655005,,,,,
,,,,,,,14.65191421,0.008267245,0.607175307,11.28486649,1927.781024,,,9.01E-01,5.02E+02,502.4396842,,,,,
,,,,,,,15.03154464,0.007506592,0.610171137,9.987785028,1931.572691,,,9.12E-01,5.05E+02,505.2147217,,,,,
,,,,,,,15.42101127,0.006685921,0.61293561,8.671183987,1934.949828,,,9.22E-01,5.08E+02,507.6293964,,,,,
,,,,,,,15.82056897,0.005841359,0.615437747,7.384512461,1937.900367,,,9.31E-01,5.11E+02,510.2577149,,,,,
,,,,,,,16.23047919,0.005009068,0.617659875,6.172420992,1940.430505,,,9.38E-01,5.14E+02,513.2410621,,,,,
,,,,,,,16.65101016,0.004218448,0.619597552,5.066897168,1942.561292,,,9.44E-01,5.17E+02,517.5912197,,,,,
,,,,,,,17.08243707,0.003489732,0.621257088,4.08575375,1944.323997,,,9.50E-01,5.20E+02,523.6420801,,,,,
,,,,,,,17.52504224,0.002839935,0.622654085,3.241002622,1945.758481,,,9.55E-01,5.24E+02,529.1327742,,,,,
,,,,,,,17.97911528,0.002276358,0.623811877,2.532225254,1946.908296,,,9.59E-01,5.27E+02,530.4567366,,,,,
,,,,,,,18.44495334,0.001797828,0.624757087,1.949397839,1947.8164,,,9.62E-01,5.31E+02,530.4925961,,,,,
,,,,,,,18.92286123,0.001402266,0.625518135,1.482086564,1948.524701,,,9.65E-01,5.35E+02,530.5259507,,,,,
,,,,,,,19.4131517,0.001084103,0.626124307,1.116874925,1949.072294,,,9.68E-01,5.38E+02,530.5554154,,,,,
,,,,,,,19.91614558,0.00083641,0.62660423,0.83993162,1949.494774,,,,,,,,,,
,,,,,,,20.432172,0.000652334,0.62698557,0.638536456,1949.824276,,,,,,,,,,
,,,,,,,20.96156864,0.000524243,0.627294561,0.500194285,1950.089077,,,,,,,,,,
,,,,,,,21.50468193,0.000444758,0.627555569,0.413637874,1950.31373,,,,,,,,,,
,,,,,,,22.06186725,0.000405927,0.627790846,0.367989556,1950.518768,,,,,,,,,,
,,,,,,,22.63348922,0.000398518,0.628019472,0.352148598,1950.720064,,,,,,,,,,
,,,,,,,23.2199219,0.000413907,0.62825679,0.356510559,1950.929133,,,,,,,,,,
,,,,,,,23.82154901,0.000444527,0.628514467,0.373214094,1951.153669,,,,,,,,,,
,,,,,,,24.43876426,0.000483743,0.628800708,0.395881339,1951.398013,,,,,,,,,,
,,,,,,,25.07197152,0.000525695,0.62912034,0.419348676,1951.663548,,,,,,,,,,
,,,,,,,25.72158516,0.000566168,0.629475215,0.440228144,1951.949526,,,,,,,,,,
,,,,,,,26.38803025,0.000601824,0.629864821,0.456133894,1952.253514,,,,,,,,,,
,,,,,,,27.07174291,0.000630057,0.630286451,0.465471815,1952.571763,,,,,,,,,,
,,,,,,,27.77317053,0.000649788,0.630735858,0.467924861,1952.899978,,,,,,,,,,
,,,,,,,28.49277211,0.000660329,0.631207823,0.463506661,1953.233518,,,,,,,,,,
,,,,,,,29.23101853,0.000661652,0.631696341,0.452705226,1953.567727,,,,,,,,,,
,,,,,,,29.98839289,0.000654615,0.632195282,0.436578842,1953.89838,,,,,,,,,,
,,,,,,,30.76539078,0.000640133,0.632698714,0.416138484,1954.221719,,,,,,,,,,
,,,,,,,31.56252065,0.000619575,0.633201102,0.392601446,1954.534673,,,,,,,,,,
,,,,,,,32.38030411,0.000594595,0.63369777,0.367257201,1954.83501,,,,,,,,,,
,,,,,,,33.21927631,0.000566738,0.634185031,0.341210334,1955.121276,,,,,,,,,,
,,,,,,,34.07998624,0.000537535,0.63466025,0.31545504,1955.392791,,,,,,,,,,
,,,,,,,34.96299713,0.000508423,0.635121935,0.290835134,1955.649602,,,,,,,,,,
,,,,,,,35.86888679,0.000480625,0.63556973,0.26799019,1955.892371,,,,,,,,,,
,,,,,,,36.798248,0.000455029,0.636004259,0.247309878,1956.122212,,,,,,,,,,
,,,,,,,37.75168893,0.000432383,0.636426999,0.229067027,1956.340614,,,,,,,,,,
,,,,,,,38.72983346,0.000413093,0.636840184,0.213320051,1956.549271,,,,,,,,,,
,,,,,,,39.73332168,0.000397144,0.637246403,0.199904553,1956.749873,,,,,,,,,,
,,,,,,,40.76281023,0.00038447,0.637648433,0.18863772,1956.944074,,,,,,,,,,
,,,,,,,41.81897278,0.000374779,0.638049113,0.179238572,1957.133379,,,,,,,,,,
,,,,,,,42.90250045,0.000367639,0.6384511,0.17138369,1957.319078,,,,,,,,,,
,,,,,,,44.01410227,0.000362621,0.638856795,0.164774778,1957.502242,,,,,,,,,,
,,,,,,,45.15450565,0.000359153,0.639268224,0.159077182,1957.683654,,,,,,,,,,
,,,,,,,46.32445683,0.000356657,0.639686881,0.153982125,1957.863805,,,,,,,,,,
,,,,,,,47.52472139,0.000354626,0.640113715,0.149238708,1958.042931,,,,,,,,,,
,,,,,,,48.75608475,0.000352647,0.640549179,0.144657622,1958.221057,,,,,,,,,,
,,,,,,,50.01935267,0.000350353,0.640993262,0.140087004,1958.398025,,,,,,,,,,
,,,,,,,51.31535182,0.000347466,0.641445516,0.135423886,1958.573534,,,,,,,,,,
,,,,,,,52.64493024,0.000343799,0.641905147,0.130610568,1958.747191,,,,,,,,,,
,,,,,,,54.00895797,0.000339196,0.642371059,0.125607464,1958.918523,,,,,,,,,,
,,,,,,,55.4083276,0.000333594,0.6428419,0.120412863,1959.087025,,,,,,,,,,
,,,,,,,56.84395484,0.000326983,0.643316172,0.115045699,1959.252188,,,,,,,,,,
,,,,,,,58.31677911,0.000319391,0.643792257,0.109536549,1959.413516,,,,,,,,,,
,,,,,,,59.82776419,0.000310997,0.644268571,0.103963984,1959.570604,,,,,,,,,,
,,,,,,,61.37789883,0.000302008,0.644743725,0.098409465,1959.723152,,,,,,,,,,
,,,,,,,62.96819738,0.000292645,0.645216564,0.092950144,1959.87097,,,,,,,,,,
,,,,,,,64.5997005,0.00028317,0.645686251,0.087669058,1960.014003,,,,,,,,,,
,,,,,,,66.27347578,0.000273828,0.646152328,0.082635912,1960.152317,,,,,,,,,,
,,,,,,,67.99061851,0.000264841,0.646614716,0.077905238,1960.286091,,,,,,,,,,
,,,,,,,69.75225233,0.000256403,0.647073711,0.073518268,1960.415603,,,,,,,,,,
,,,,,,,71.55953,0.000248685,0.64752998,0.069504485,1960.541217,,,,,,,,,,
,,,,,,,73.41363415,0.000241808,0.647984529,0.065875486,1960.663357,,,,,,,,,,
,,,,,,,75.31577806,0.000235859,0.648438647,0.062631955,1960.782492,,,,,,,,,,
,,,,,,,77.26720642,0.0002309,0.648893887,0.059766647,1960.899123,,,,,,,,,,
,,,,,,,79.26919621,0.000226927,0.64935199,0.05725479,1961.013746,,,,,,,,,,
,,,,,,,81.32305746,0.000223916,0.649814799,0.055068249,1961.126849,,,,,,,,,,
,,,,,,,83.43013416,0.000221782,0.650284212,0.053166035,1961.238874,,,,,,,,,,
,,,,,,,85.59180513,0.00022033,0.650761952,0.051483852,1961.350165,,,,,,,,,,
,,,,,,,87.80948488,0.00021936,0.651249423,0.049962786,1961.460966,,,,,,,,,,
,,,,,,,90.08462462,0.000218618,0.651747637,0.04853605,1961.571392,,,,,,,,,,
,,,,,,,92.41871313,0.000217793,0.652256988,0.047131889,1961.681402,,,,,,,,,,
,,,,,,,94.81327776,0.000216617,0.652777185,0.045693375,1961.790818,,,,,,,,,,
,,,,,,,97.26988546,0.000214932,0.653307363,0.044192846,1961.899383,,,,,,,,,,
,,,,,,,99.79014374,0.000212641,0.653846284,0.042617717,1962.00679,,,,,,,,,,
,,,,,,,102.3757018,0.000209704,0.654392398,0.040967515,1962.112714,,,,,,,,,,
,,,,,,,105.0282516,0.00020624,0.654944134,0.039273293,1962.216889,,,,,,,,,,
,,,,,,,107.7495288,0.000202399,0.655500191,0.03756834,1962.319122,,,,,,,,,,
,,,,,,,110.5413141,0.000198311,0.656059558,0.03588005,1962.419292,,,,,,,,,,
,,,,,,,113.4054345,0.000194095,0.6566215,0.034230291,1962.517332,,,,,,,,,,
,,,,,,,116.3437641,0.000189853,0.657185552,0.032636642,1962.613229,,,,,,,,,,
,,,,,,,119.3582258,0.000185658,0.65775149,0.031109452,1962.707007,,,,,,,,,,
,,,,,,,122.4507919,0.000181555,0.65831925,0.029653501,1962.798712,,,,,,,,,,
,,,,,,,125.6234864,0.00017758,0.658888898,0.028271849,1962.88841,,,,,,,,,,
,,,,,,,128.8783851,0.000173759,0.659460614,0.026964723,1962.976178,,,,,,,,,,
,,,,,,,132.2176182,0.000170104,0.660034659,0.025730984,1963.0621,,,,,,,,,,
,,,,,,,135.6433707,0.000166641,0.660611376,0.024570518,1963.146272,,,,,,,,,,
,,,,,,,139.1578842,0.000163421,0.661191278,0.023487164,1963.228818,,,,,,,,,,
,,,,,,,142.7634586,0.000160496,0.661775114,0.022484233,1963.309887,,,,,,,,,,
,,,,,,,146.4624533,0.000157897,0.662363861,0.02156148,1963.389642,,,,,,,,,,
,,,,,,,150.2572888,0.000155626,0.662958623,0.020714552,1963.468251,,,,,,,,,,
,,,,,,,154.1504482,0.000153677,0.663560587,0.019938559,1963.545875,,,,,,,,,,
,,,,,,,158.1444793,0.000152013,0.664170956,0.01922455,1963.622658,,,,,,,,,,
,,,,,,,162.2419955,0.000150571,0.664790798,0.018561288,1963.698713,,,,,,,,,,
,,,,,,,166.4456782,0.00014929,0.665421003,0.017938531,1963.774121,,,,,,,,,,
,,,,,,,170.7582781,0.000148086,0.66606221,0.017344486,1963.848921,,,,,,,,,,
,,,,,,,175.1826173,0.000146874,0.666714718,0.016768139,1963.923109,,,,,,,,,,
,,,,,,,179.7215909,0.000145575,0.667378465,0.016200108,1963.996641,,,,,,,,,,
,,,,,,,184.3781691,0.000144109,0.668052999,0.01563186,1964.069432,,,,,,,,,,
,,,,,,,189.1553991,0.000142401,0.668737451,0.015056462,1964.14136,,,,,,,,,,
,,,,,,,194.0564068,0.000140391,0.669430545,0.014469048,1964.212273,,,,,,,,,,
,,,,,,,199.0843995,0.000138032,0.670130628,0.013866705,1964.281995,,,,,,,,,,
,,,,,,,204.2426671,0.000135287,0.670835697,0.013247645,1964.35033,,,,,,,,,,
,,,,,,,209.5345853,0.000132138,0.671543433,0.01261248,1964.417074,,,,,,,,,,
,,,,,,,214.9636168,0.000128584,0.672251307,0.011963298,1964.482023,,,,,,,,,,
,,,,,,,220.5333143,0.000124635,0.672956609,0.011303072,1964.544978,,,,,,,,,,
,,,,,,,226.2473224,0.000120354,0.673656631,0.010639119,1964.60577,,,,,,,,,,
,,,,,,,232.1093802,0.000115814,0.674348897,0.009979254,1964.664269,,,,,,,,,,
,,,,,,,238.1233236,0.000111146,0.675031297,0.009335121,1964.720409,,,,,,,,,,
,,,,,,,244.2930881,0.000106623,0.675702881,0.008729123,1964.774266,,,,,,,,,,
,,,,,,,250.6227108,0.000102521,0.676364437,0.00818132,1964.826051,,,,,,,,,,
,,,,,,,257.1163338,9.91E-05,0.677018633,0.007710622,1964.876121,,,,,,,,,,
,,,,,,,263.7782063,9.67E-05,0.677670396,0.007335466,1964.924989,,,,,,,,,,
,,,,,,,270.6126875,9.57E-05,0.678327073,0.007069981,1964.973308,,,,,,,,,,
,,,,,,,277.6242499,9.61E-05,0.678998464,0.006924773,1965.021862,,,,,,,,,,
,,,,,,,284.8174815,9.84E-05,0.67969687,0.006907175,1965.071547,,,,,,,,,,
,,,,,,,292.1970894,0.00010255,0.68043706,0.007019231,1965.123346,,,,,,,,,,
,,,,,,,299.7679027,0.000108671,0.681235516,0.007250361,1965.178237,,,,,,,,,,
,,,,,,,307.5348753,0.000116663,0.682109542,0.007586963,1965.237165,,,,,,,,,,
,,,,,,,315.5030899,0.000126343,0.683076883,0.008008986,1965.300982,,,,,,,,,,
,,,,,,,323.6777605,0.000137275,0.684153871,0.008482225,1965.370321,,,,,,,,,,
,,,,,,,332.0642365,0.000149013,0.685354163,0.008974966,1965.44559,,,,,,,,,,
,,,,,,,340.6680057,0.000160857,0.686687683,0.009443606,1965.52684,,,,,,,,,,
,,,,,,,349.4946981,0.000171837,0.688157159,0.009833471,1965.613637,,,,,,,,,,
,,,,,,,358.5500898,0.000181035,0.689756758,0.010098164,1965.70508,,,,,,,,,,
,,,,,,,367.8401062,0.000187326,0.691470646,0.010185174,1965.799701,,,,,,,,,,
,,,,,,,377.3708266,0.000189533,0.693270238,0.010044933,1965.895436,,,,,,,,,,
,,,,,,,387.1484874,0.000186689,0.695113837,0.009644309,1965.989735,,,,,,,,,,
,,,,,,,397.1794871,0.000178297,0.696949027,0.008978136,1966.079794,,,,,,,,,,
,,,,,,,407.4703894,0.000164028,0.698715292,0.008051045,1966.162647,,,,,,,,,,
,,,,,,,418.0279286,0.000143686,0.700344543,0.006874481,1966.235225,,,,,,,,,,
,,,,,,,428.8590131,0.000117273,0.701762632,0.005469075,1966.294461,,,,,,,,,,
,,,,,,,439.9707305,8.50E-05,0.702890507,0.003863457,1966.33739,,,,,,,,,,
,,,,,,,451.370352,5.09E-05,0.703662301,0.002255727,1966.363105,,,,,,,,,,
,,,,,,,463.0653372,2.27E-05,0.704082636,0.000979766,1966.374563,,,,,,,,,,
,,,,,,,475.063339,6.56E-06,0.704244595,0.000276277,1966.377878,,,,,,,,,,
,,,,,,,487.3722084,8.00E-07,0.704281976,3.28E-05,1966.378282,,,,,,,,,,
