,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,6.801693e+000,6.712455e-002,2.017958e-001,1.973760e+002,9.039069e+002,,,2.004790e-001,2.225570e+002,2.223744e+002,,,5.508600e-001,1.512620e+002,1.540174e+002,
,,,,,,,6.977925e+000,6.710140e-002,2.136422e-001,1.923248e+002,9.382900e+002,,,2.518410e-001,2.239790e+002,2.237851e+002,,,6.008940e-001,1.532530e+002,1.569776e+002,
,,,,,,,7.158723e+000,6.580926e-002,2.256754e-001,1.838576e+002,9.723415e+002,,,3.041560e-001,2.251730e+002,2.249952e+002,,,6.503660e-001,1.550460e+002,1.596561e+002,
,,,,,,,7.344205e+000,6.333120e-002,2.376701e-001,1.724658e+002,1.005421e+003,,,3.520180e-001,2.261330e+002,2.260089e+002,,,7.007940e-001,1.566810e+002,1.621846e+002,
,,,,,,,7.534493e+000,5.984518e-002,2.494043e-001,1.588566e+002,1.036973e+003,,,4.001880e-001,2.269990e+002,2.268999e+002,,,7.502910e-001,1.581580e+002,1.645293e+002,
,,,,,,,7.729711e+000,5.545925e-002,2.606700e-001,1.434963e+002,1.066501e+003,,,4.483650e-001,2.278060e+002,2.277274e+002,,,8.004740e-001,1.595730e+002,1.667347e+002,
,,,,,,,7.929988e+000,5.039905e-002,2.712779e-001,1.271100e+002,1.093600e+003,,,4.955750e-001,2.285550e+002,2.284593e+002,,,9.856330e-001,1.636760e+002,1.739313e+002,
,,,,,,,8.135453e+000,4.487649e-002,2.810696e-001,1.103233e+002,1.117987e+003,,,5.486370e-001,2.293540e+002,2.293211e+002,,,9.956080e-001,1.639180e+002,1.742969e+002,
,,,,,,,8.346243e+000,3.911503e-002,2.899205e-001,9.373088e+001,1.139477e+003,,,6.005540e-001,2.301350e+002,2.301043e+002,,,,,,
,,,,,,,8.562493e+000,3.332057e-002,2.977480e-001,7.782914e+001,1.158002e+003,,,6.483460e-001,2.308850e+002,2.308351e+002,,,,,,
,,,,,,,8.784347e+000,2.771245e-002,3.045107e-001,6.309507e+001,1.173603e+003,,,7.002120e-001,2.317500e+002,2.314169e+002,,,,,,
,,,,,,,9.011949e+000,2.244252e-002,3.102078e-001,4.980614e+001,1.186418e+003,,,7.466730e-001,2.315600e+002,2.317553e+002,,,,,,
,,,,,,,9.245448e+000,1.763697e-002,3.148741e-001,3.815277e+001,1.196648e+003,,,7.692650e-001,2.319330e+002,2.319778e+002,,,,,,
,,,,,,,9.484998e+000,1.341246e-002,3.185757e-001,2.828142e+001,1.204562e+003,,,7.919630e-001,2.323300e+002,2.322322e+002,,,,,,
,,,,,,,9.730753e+000,9.758031e-003,3.214072e-001,2.005607e+001,1.210460e+003,,,8.141010e-001,2.327370e+002,2.326670e+002,,,,,,
,,,,,,,9.982877e+000,6.759551e-003,3.234744e-001,1.354229e+001,1.214658e+003,,,8.364730e-001,2.331930e+002,2.331748e+002,,,,,,
,,,,,,,1.024153e+001,4.384640e-003,3.249008e-001,8.562468e+000,1.217485e+003,,,8.591160e-001,2.337410e+002,2.337136e+002,,,,,,
,,,,,,,1.050689e+001,2.590176e-003,3.258124e-001,4.930432e+000,1.219244e+003,,,8.803090e-001,2.343370e+002,2.343332e+002,,,,,,
,,,,,,,1.077912e+001,1.369862e-003,3.263318e-001,2.541694e+000,1.220227e+003,,,9.014940e-001,2.350720e+002,2.350762e+002,,,,,,
,,,,,,,1.105841e+001,5.495520e-004,3.265876e-001,9.939077e-001,1.220697e+003,,,9.207920e-001,2.359010e+002,2.357901e+002,,,,,,
,,,,,,,1.134493e+001,1.525663e-004,3.266798e-001,2.689594e-001,1.220862e+003,,,9.395030e-001,2.368870e+002,2.370173e+002,,,,,,
,,,,,,,1.163888e+001,1.138880e-005,3.267019e-001,1.957027e-002,1.220892e+003,,,9.569550e-001,2.380310e+002,2.389182e+002,,,,,,
,,,,,,,1.194044e+001,2.861321e-005,3.267075e-001,4.792654e-002,1.220901e+003,,,9.728230e-001,2.394980e+002,2.389879e+002,,,,,,
,,,,,,,1.224982e+001,6.924463e-005,3.267219e-001,1.130541e-001,1.220925e+003,,,9.728230e-001,2.394980e+002,2.389879e+002,,,,,,
,,,,,,,1.256721e+001,1.467026e-004,3.267550e-001,2.334688e-001,1.220981e+003,,,,,,,,,,,
,,,,,,,1.289283e+001,2.696027e-004,3.268215e-001,4.182213e-001,1.221085e+003,,,,,,,,,,,
,,,,,,,1.322688e+001,4.236305e-004,3.269376e-001,6.405600e-001,1.221262e+003,,,,,,,,,,,
,,,,,,,1.356959e+001,5.888214e-004,3.271117e-001,8.678546e-001,1.221522e+003,,,,,,,,,,,
,,,,,,,1.392117e+001,7.333522e-004,3.273450e-001,1.053578e+000,1.221861e+003,,,,,,,,,,,
,,,,,,,1.428187e+001,8.514613e-004,3.276318e-001,1.192367e+000,1.222267e+003,,,,,,,,,,,
,,,,,,,1.465191e+001,9.387931e-004,3.279641e-001,1.281461e+000,1.222727e+003,,,,,,,,,,,
,,,,,,,1.503154e+001,9.927050e-004,3.283320e-001,1.320829e+000,1.223222e+003,,,,,,,,,,,
,,,,,,,1.542101e+001,1.017066e-003,3.287244e-001,1.319065e+000,1.223738e+003,,,,,,,,,,,
,,,,,,,1.582057e+001,1.012127e-003,3.291307e-001,1.279508e+000,1.224258e+003,,,,,,,,,,,
,,,,,,,1.623048e+001,9.822927e-004,3.295402e-001,1.210430e+000,1.224769e+003,,,,,,,,,,,
,,,,,,,1.665101e+001,9.319493e-004,3.299434e-001,1.119391e+000,1.225259e+003,,,,,,,,,,,
,,,,,,,1.708244e+001,8.644278e-004,3.303316e-001,1.012066e+000,1.225720e+003,,,,,,,,,,,
,,,,,,,1.752504e+001,7.871479e-004,3.306974e-001,8.983121e-001,1.226143e+003,,,,,,,,,,,
,,,,,,,1.797912e+001,7.023764e-004,3.310357e-001,7.813247e-001,1.226524e+003,,,,,,,,,,,
,,,,,,,1.844495e+001,6.170043e-004,3.313427e-001,6.690223e-001,1.226861e+003,,,,,,,,,,,
,,,,,,,1.892286e+001,5.361565e-004,3.316178e-001,5.666759e-001,1.227156e+003,,,,,,,,,,,
,,,,,,,1.941315e+001,4.651392e-004,3.318628e-001,4.792001e-001,1.227411e+003,,,,,,,,,,,
,,,,,,,1.991615e+001,4.057285e-004,3.320812e-001,4.074368e-001,1.227634e+003,,,,,,,,,,,
,,,,,,,2.043217e+001,3.592817e-004,3.322780e-001,3.516824e-001,1.227829e+003,,,,,,,,,,,
,,,,,,,2.096157e+001,3.257805e-004,3.324587e-001,3.108360e-001,1.228004e+003,,,,,,,,,,,
,,,,,,,2.150468e+001,3.033382e-004,3.326289e-001,2.821137e-001,1.228164e+003,,,,,,,,,,,
,,,,,,,2.206187e+001,2.909938e-004,3.327941e-001,2.637980e-001,1.228316e+003,,,,,,,,,,,
,,,,,,,2.263349e+001,2.862827e-004,3.329588e-001,2.529726e-001,1.228463e+003,,,,,,,,,,,
,,,,,,,2.321992e+001,2.869512e-004,3.331267e-001,2.471595e-001,1.228610e+003,,,,,,,,,,,
,,,,,,,2.382155e+001,2.908221e-004,3.333004e-001,2.441673e-001,1.228757e+003,,,,,,,,,,,
,,,,,,,2.443876e+001,2.963870e-004,3.334816e-001,2.425548e-001,1.228908e+003,,,,,,,,,,,
,,,,,,,2.507197e+001,3.016717e-004,3.336710e-001,2.406446e-001,1.229061e+003,,,,,,,,,,,
,,,,,,,2.572159e+001,3.057032e-004,3.338684e-001,2.377017e-001,1.229216e+003,,,,,,,,,,,
,,,,,,,2.638803e+001,3.077092e-004,3.340729e-001,2.332188e-001,1.229373e+003,,,,,,,,,,,
,,,,,,,2.707174e+001,3.069554e-004,3.342833e-001,2.267718e-001,1.229530e+003,,,,,,,,,,,
,,,,,,,2.777317e+001,3.037756e-004,3.344977e-001,2.187547e-001,1.229687e+003,,,,,,,,,,,
,,,,,,,2.849277e+001,2.976887e-004,3.347142e-001,2.089573e-001,1.229841e+003,,,,,,,,,,,
,,,,,,,2.923102e+001,2.891150e-004,3.349310e-001,1.978138e-001,1.229991e+003,,,,,,,,,,,
,,,,,,,2.998839e+001,2.785145e-004,3.351460e-001,1.857482e-001,1.230136e+003,,,,,,,,,,,
,,,,,,,3.076539e+001,2.662876e-004,3.353577e-001,1.731086e-001,1.230276e+003,,,,,,,,,,,
,,,,,,,3.156252e+001,2.530181e-004,3.355647e-001,1.603282e-001,1.230408e+003,,,,,,,,,,,
,,,,,,,3.238030e+001,2.392360e-004,3.357660e-001,1.477664e-001,1.230534e+003,,,,,,,,,,,
,,,,,,,3.321928e+001,2.254218e-004,3.359609e-001,1.357175e-001,1.230653e+003,,,,,,,,,,,
,,,,,,,3.407999e+001,2.119714e-004,3.361491e-001,1.243964e-001,1.230765e+003,,,,,,,,,,,
,,,,,,,3.496300e+001,1.992720e-004,3.363305e-001,1.139902e-001,1.230870e+003,,,,,,,,,,,
,,,,,,,3.586889e+001,1.875973e-004,3.365057e-001,1.046017e-001,1.230969e+003,,,,,,,,,,,
,,,,,,,3.679825e+001,1.771748e-004,3.366750e-001,9.629524e-002,1.231062e+003,,,,,,,,,,,
,,,,,,,3.775169e+001,1.681481e-004,3.368395e-001,8.908109e-002,1.231151e+003,,,,,,,,,,,
,,,,,,,3.872983e+001,1.604618e-004,3.370001e-001,8.286214e-002,1.231235e+003,,,,,,,,,,,
,,,,,,,3.973332e+001,1.541723e-004,3.371578e-001,7.760355e-002,1.231315e+003,,,,,,,,,,,
,,,,,,,4.076281e+001,1.491556e-004,3.373139e-001,7.318221e-002,1.231393e+003,,,,,,,,,,,
,,,,,,,4.181897e+001,1.452831e-004,3.374692e-001,6.948189e-002,1.231468e+003,,,,,,,,,,,
,,,,,,,4.290250e+001,1.424571e-004,3.376250e-001,6.640969e-002,1.231542e+003,,,,,,,,,,,
,,,,,,,4.401410e+001,1.403518e-004,3.377821e-001,6.377585e-002,1.231614e+003,,,,,,,,,,,
,,,,,,,4.515451e+001,1.389111e-004,3.379413e-001,6.152702e-002,1.231685e+003,,,,,,,,,,,
,,,,,,,4.632446e+001,1.378010e-004,3.381031e-001,5.949385e-002,1.231756e+003,,,,,,,,,,,
,,,,,,,4.752472e+001,1.367041e-004,3.382679e-001,5.752968e-002,1.231826e+003,,,,,,,,,,,
,,,,,,,4.875608e+001,1.353126e-004,3.384354e-001,5.550595e-002,1.231896e+003,,,,,,,,,,,
,,,,,,,5.001935e+001,1.333763e-004,3.386052e-001,5.332988e-002,1.231965e+003,,,,,,,,,,,
,,,,,,,5.131535e+001,1.305631e-004,3.387763e-001,5.088657e-002,1.232032e+003,,,,,,,,,,,
,,,,,,,5.264493e+001,1.266686e-004,3.389475e-001,4.812187e-002,1.232098e+003,,,,,,,,,,,
,,,,,,,5.400896e+001,1.215675e-004,3.391169e-001,4.501754e-002,1.232162e+003,,,,,,,,,,,
,,,,,,,5.540833e+001,1.151103e-004,3.392826e-001,4.154983e-002,1.232222e+003,,,,,,,,,,,
,,,,,,,5.684395e+001,1.073073e-004,3.394424e-001,3.775506e-002,1.232279e+003,,,,,,,,,,,
,,,,,,,5.831678e+001,9.819233e-005,3.395939e-001,3.367550e-002,1.232332e+003,,,,,,,,,,,
,,,,,,,5.982776e+001,8.788900e-005,3.397346e-001,2.938067e-002,1.232379e+003,,,,,,,,,,,
,,,,,,,6.137790e+001,7.674062e-005,3.398623e-001,2.500595e-002,1.232422e+003,,,,,,,,,,,
,,,,,,,6.296820e+001,6.492300e-005,3.399750e-001,2.062088e-002,1.232458e+003,,,,,,,,,,,
,,,,,,,6.459970e+001,5.284056e-005,3.400710e-001,1.635938e-002,1.232488e+003,,,,,,,,,,,
,,,,,,,6.627348e+001,4.090027e-005,3.401494e-001,1.234288e-002,1.232512e+003,,,,,,,,,,,
,,,,,,,6.799062e+001,2.963339e-005,3.402097e-001,8.716905e-003,1.232530e+003,,,,,,,,,,,
,,,,,,,6.975225e+001,1.955068e-005,3.402527e-001,5.605748e-003,1.232542e+003,,,,,,,,,,,
,,,,,,,7.155953e+001,1.133001e-005,3.402803e-001,3.166596e-003,1.232550e+003,,,,,,,,,,,
,,,,,,,7.341363e+001,5.311588e-006,3.402953e-001,1.447031e-003,1.232554e+003,,,,,,,,,,,
,,,,,,,7.531578e+001,1.705776e-006,3.403015e-001,4.529663e-004,1.232556e+003,,,,,,,,,,,
,,,,,,,7.726721e+001,7.823007e-007,3.403033e-001,2.024923e-004,1.232557e+003,,,,,,,,,,,
,,,,,,,7.926920e+001,1.861607e-006,3.403056e-001,4.696923e-004,1.232557e+003,,,,,,,,,,,
,,,,,,,8.132306e+001,5.119281e-006,3.403124e-001,1.258999e-003,1.232559e+003,,,,,,,,,,,
,,,,,,,8.343013e+001,9.868090e-006,3.403281e-001,2.365594e-003,1.232563e+003,,,,,,,,,,,
,,,,,,,8.559181e+001,1.548972e-005,3.403554e-001,3.619441e-003,1.232569e+003,,,,,,,,,,,
,,,,,,,8.780948e+001,2.141857e-005,3.403963e-001,4.878417e-003,1.232579e+003,,,,,,,,,,,
,,,,,,,9.008462e+001,2.716345e-005,3.404517e-001,6.030652e-003,1.232591e+003,,,,,,,,,,,
,,,,,,,9.241871e+001,3.230166e-005,3.405213e-001,6.990285e-003,1.232606e+003,,,,,,,,,,,
,,,,,,,9.481328e+001,3.657218e-005,3.406040e-001,7.714569e-003,1.232624e+003,,,,,,,,,,,
,,,,,,,9.726989e+001,3.994416e-005,3.406982e-001,8.213058e-003,1.232643e+003,,,,,,,,,,,
,,,,,,,9.979014e+001,4.229311e-005,3.408021e-001,8.476410e-003,1.232665e+003,,,,,,,,,,,
,,,,,,,1.023757e+002,4.373037e-005,3.409135e-001,8.543116e-003,1.232687e+003,,,,,,,,,,,
,,,,,,,1.050283e+002,4.436621e-005,3.410305e-001,8.448434e-003,1.232709e+003,,,,,,,,,,,
,,,,,,,1.077495e+002,4.433336e-005,3.411513e-001,8.228966e-003,1.232732e+003,,,,,,,,,,,
,,,,,,,1.105413e+002,4.378010e-005,3.412744e-001,7.921039e-003,1.232754e+003,,,,,,,,,,,
,,,,,,,1.134054e+002,4.285359e-005,3.413985e-001,7.557589e-003,1.232777e+003,,,,,,,,,,,
,,,,,,,1.163438e+002,4.167255e-005,3.415227e-001,7.163693e-003,1.232798e+003,,,,,,,,,,,
,,,,,,,1.193582e+002,4.034073e-005,3.416464e-001,6.759607e-003,1.232819e+003,,,,,,,,,,,
,,,,,,,1.224508e+002,3.895264e-005,3.417690e-001,6.362170e-003,1.232839e+003,,,,,,,,,,,
,,,,,,,1.256235e+002,3.754940e-005,3.418903e-001,5.978086e-003,1.232859e+003,,,,,,,,,,,
,,,,,,,1.288784e+002,3.620296e-005,3.420103e-001,5.618158e-003,1.232878e+003,,,,,,,,,,,
,,,,,,,1.322176e+002,3.493947e-005,3.421290e-001,5.285146e-003,1.232896e+003,,,,,,,,,,,
,,,,,,,1.356434e+002,3.377983e-005,3.422467e-001,4.980683e-003,1.232914e+003,,,,,,,,,,,
,,,,,,,1.391579e+002,3.274289e-005,3.423636e-001,4.705861e-003,1.232931e+003,,,,,,,,,,,
,,,,,,,1.427635e+002,3.183738e-005,3.424799e-001,4.460158e-003,1.232947e+003,,,,,,,,,,,
,,,,,,,1.464625e+002,3.106823e-005,3.425962e-001,4.242484e-003,1.232963e+003,,,,,,,,,,,
,,,,,,,1.502573e+002,3.042274e-005,3.427129e-001,4.049419e-003,1.232979e+003,,,,,,,,,,,
,,,,,,,1.541504e+002,2.987077e-005,3.428302e-001,3.875535e-003,1.232994e+003,,,,,,,,,,,
,,,,,,,1.581445e+002,2.939095e-005,3.429485e-001,3.716974e-003,1.233010e+003,,,,,,,,,,,
,,,,,,,1.622420e+002,2.894599e-005,3.430680e-001,3.568249e-003,1.233025e+003,,,,,,,,,,,
,,,,,,,1.664457e+002,2.850178e-005,3.431888e-001,3.424755e-003,1.233039e+003,,,,,,,,,,,
,,,,,,,1.707583e+002,2.802447e-005,3.433107e-001,3.282355e-003,1.233054e+003,,,,,,,,,,,
,,,,,,,1.751826e+002,2.748535e-005,3.434335e-001,3.137908e-003,1.233068e+003,,,,,,,,,,,
,,,,,,,1.797216e+002,2.685432e-005,3.435569e-001,2.988436e-003,1.233082e+003,,,,,,,,,,,
,,,,,,,1.843782e+002,2.611160e-005,3.436802e-001,2.832396e-003,1.233095e+003,,,,,,,,,,,
,,,,,,,1.891554e+002,2.524188e-005,3.438029e-001,2.668904e-003,1.233108e+003,,,,,,,,,,,
,,,,,,,1.940564e+002,2.422943e-005,3.439242e-001,2.497153e-003,1.233121e+003,,,,,,,,,,,
,,,,,,,1.990844e+002,2.310002e-005,3.440433e-001,2.320626e-003,1.233133e+003,,,,,,,,,,,
,,,,,,,2.042427e+002,2.183841e-005,3.441592e-001,2.138476e-003,1.233145e+003,,,,,,,,,,,
,,,,,,,2.095346e+002,2.047781e-005,3.442712e-001,1.954600e-003,1.233156e+003,,,,,,,,,,,
,,,,,,,2.149636e+002,1.905637e-005,3.443785e-001,1.772985e-003,1.233166e+003,,,,,,,,,,,
,,,,,,,2.205333e+002,1.759380e-005,3.444806e-001,1.595569e-003,1.233175e+003,,,,,,,,,,,
,,,,,,,2.262473e+002,1.620481e-005,3.445772e-001,1.432486e-003,1.233184e+003,,,,,,,,,,,
,,,,,,,2.321094e+002,1.489626e-005,3.446683e-001,1.283555e-003,1.233192e+003,,,,,,,,,,,
,,,,,,,2.381233e+002,1.377459e-005,3.447543e-001,1.156929e-003,1.233199e+003,,,,,,,,,,,
,,,,,,,2.442931e+002,1.292458e-005,3.448365e-001,1.058121e-003,1.233206e+003,,,,,,,,,,,
,,,,,,,2.506227e+002,1.242852e-005,3.449165e-001,9.918112e-004,1.233212e+003,,,,,,,,,,,
,,,,,,,2.571163e+002,1.233103e-005,3.449967e-001,9.591793e-004,1.233219e+003,,,,,,,,,,,
,,,,,,,2.637782e+002,1.266477e-005,3.450797e-001,9.602590e-004,1.233225e+003,,,,,,,,,,,
,,,,,,,2.706127e+002,1.342449e-005,3.451686e-001,9.921556e-004,1.233232e+003,,,,,,,,,,,
,,,,,,,2.776242e+002,1.453843e-005,3.452664e-001,1.047346e-003,1.233239e+003,,,,,,,,,,,
,,,,,,,2.848175e+002,1.597543e-005,3.453761e-001,1.121802e-003,1.233247e+003,,,,,,,,,,,
,,,,,,,2.921971e+002,1.763737e-005,3.455000e-001,1.207224e-003,1.233255e+003,,,,,,,,,,,
,,,,,,,2.997679e+002,1.942845e-005,3.456403e-001,1.296233e-003,1.233265e+003,,,,,,,,,,,
,,,,,,,3.075349e+002,2.124349e-005,3.457983e-001,1.381534e-003,1.233275e+003,,,,,,,,,,,
,,,,,,,3.155031e+002,2.293654e-005,3.459744e-001,1.453966e-003,1.233286e+003,,,,,,,,,,,
,,,,,,,3.236778e+002,2.439942e-005,3.461681e-001,1.507636e-003,1.233298e+003,,,,,,,,,,,
,,,,,,,3.320642e+002,2.550011e-005,3.463777e-001,1.535854e-003,1.233311e+003,,,,,,,,,,,
,,,,,,,3.406680e+002,2.613366e-005,3.466002e-001,1.534260e-003,1.233324e+003,,,,,,,,,,,
,,,,,,,3.494947e+002,2.620178e-005,3.468317e-001,1.499410e-003,1.233338e+003,,,,,,,,,,,
,,,,,,,3.585501e+002,2.574184e-005,3.470674e-001,1.435885e-003,1.233351e+003,,,,,,,,,,,
,,,,,,,3.678401e+002,2.469095e-005,3.473020e-001,1.342483e-003,1.233364e+003,,,,,,,,,,,
,,,,,,,3.773708e+002,2.309510e-005,3.475302e-001,1.224000e-003,1.233376e+003,,,,,,,,,,,
,,,,,,,3.871485e+002,2.102476e-005,3.477462e-001,1.086134e-003,1.233388e+003,,,,,,,,,,,
,,,,,,,3.971795e+002,1.853677e-005,3.479449e-001,9.334202e-004,1.233398e+003,,,,,,,,,,,
,,,,,,,4.074704e+002,1.576571e-005,3.481215e-001,7.738336e-004,1.233407e+003,,,,,,,,,,,
,,,,,,,4.180279e+002,1.283273e-005,3.482725e-001,6.139652e-004,1.233414e+003,,,,,,,,,,,
,,,,,,,4.288590e+002,9.792909e-006,3.483953e-001,4.566959e-004,1.233420e+003,,,,,,,,,,,
,,,,,,,4.399707e+002,6.858932e-006,3.484879e-001,3.117904e-004,1.233424e+003,,,,,,,,,,,
,,,,,,,4.513704e+002,4.063535e-006,3.485497e-001,1.800532e-004,1.233427e+003,,,,,,,,,,,
,,,,,,,4.630653e+002,1.846629e-006,3.485834e-001,7.975674e-005,1.233428e+003,,,,,,,,,,,
,,,,,,,4.750633e+002,5.333308e-007,3.485965e-001,2.245304e-005,1.233429e+003,,,,,,,,,,,
,,,,,,,4.873722e+002,0.000000e+000,3.485998e-001,0.000000e+000,1.233429e+003,,,,,,,,,,,
