,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,4.190000e-007,1.440920e+001,3.993181e+001,,,1.060110e-004,2.932370e+000,9.706185e-001,
,,,,,,,3.077730e+000,1.041211e-003,2.049318e-005,6.766096e+000,1.338550e-001,,,2.050000e-006,2.880450e+001,4.608787e+001,,,2.326550e-004,5.778970e+000,2.119616e+000,
,,,,,,,3.157474e+000,8.564838e-003,3.228162e-004,5.425121e+001,2.985943e+000,,,5.180000e-006,4.320240e+001,5.177031e+001,,,3.829350e-004,8.641540e+000,3.464350e+000,
,,,,,,,3.239284e+000,2.651024e-002,1.658138e-003,1.636797e+002,1.131663e+001,,,1.060000e-005,5.760060e+001,5.928568e+001,,,5.572600e-004,1.144150e+001,4.994720e+000,
,,,,,,,3.323213e+000,5.291313e-002,5.076857e-003,3.184456e+002,3.166795e+001,,,1.850000e-005,7.201410e+001,6.923359e+001,,,7.645730e-004,1.426880e+001,6.766033e+000,
,,,,,,,3.409318e+000,8.426683e-002,1.104378e-002,4.943325e+002,6.708701e+001,,,2.830000e-005,8.642740e+001,8.408459e+001,,,1.002610e-003,1.703970e+001,8.728488e+000,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.078159e-001,1.959020e-002,6.165043e+002,1.165585e+002,,,4.160000e-005,1.008440e+002,1.004505e+002,,,1.985070e-003,2.545240e+001,1.595763e+001,
,,,,,,,3.588277e+000,1.233029e-001,3.013173e-002,6.872541e+002,1.759602e+002,,,5.590000e-005,1.152430e+002,1.150466e+002,,,2.902120e-003,3.100290e+001,2.153864e+001,
Sample (ID),,002-898-002-901-ACDS4700(PO) ,,,,,3.681249e+000,1.308690e-001,4.201416e-002,7.110033e+002,2.413378e+002,,,7.530000e-005,1.296770e+002,1.294386e+002,,,3.846950e-003,3.548010e+001,2.632261e+001,
,,,,,,,3.776630e+000,1.304418e-001,5.455236e-002,6.907841e+002,3.085423e+002,,,1.066760e-004,1.440900e+002,1.415398e+002,,,4.867080e-003,3.948460e+001,3.064534e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482e+000,1.241695e-001,6.705971e-002,6.409604e+002,3.739412e+002,,,1.692720e-004,1.584810e+002,1.530306e+002,,,5.966330e-003,4.310030e+001,3.461171e+001,
,,,,,,,3.974870e+000,1.125878e-001,7.897717e-002,5.664980e+002,4.346881e+002,,,3.706580e-004,1.728260e+002,1.681493e+002,,,6.661350e-003,4.513930e+001,3.684867e+001,
Sample(ID2),,002-904-H2_full-ACDS4700(PO) ,,,,,4.077859e+000,9.762112e-002,8.981834e-002,4.787862e+002,4.885721e+002,,,1.228880e-003,1.870030e+002,1.847689e+002,,,7.616130e-003,4.768840e+001,3.958915e+001,
,,,,,,,4.183516e+000,8.093106e-002,9.925414e-002,3.869045e+002,5.342791e+002,,,2.236670e-003,1.927430e+002,1.924580e+002,,,8.627290e-003,5.010870e+001,4.218284e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.409150e-002,1.071059e-001,2.986618e+002,5.713559e+002,,,2.912620e-003,1.950320e+002,1.954571e+002,,,9.761150e-003,5.257970e+001,4.480565e+001,
,,,,,,,4.403114e+000,4.829943e-002,1.133361e-001,2.193876e+002,6.000656e+002,,,4.306360e-003,1.981950e+002,1.985932e+002,,,1.927700e-002,6.726970e+001,6.010640e+001,
Lambda,,4,,,,,4.517198e+000,3.459223e-002,1.180367e-001,1.531579e+002,6.211603e+002,,,4.761530e-003,1.989850e+002,1.993929e+002,,,2.996620e-002,7.756280e+001,7.077913e+001,
,,,,,,,4.634239e+000,2.374603e-002,1.214106e-001,1.024808e+002,6.359593e+002,,,5.738450e-003,2.003750e+002,2.007044e+002,,,4.268830e-002,8.621070e+001,7.968359e+001,
St Dev of Fit,,5.39584031964616,,,,,4.754312e+000,1.585102e-002,1.237496e-001,6.668063e+001,6.459335e+002,,,6.834670e-003,2.016440e+002,2.019142e+002,,,5.022100e-002,9.025320e+001,8.385501e+001,
,,,,,,,4.877496e+000,1.140769e-002,1.253937e-001,4.677684e+001,6.527666e+002,,,7.936380e-003,2.026950e+002,2.029840e+002,,,6.134160e-002,9.534960e+001,8.910242e+001,
,,,,,,,5.003871e+000,1.008202e-002,1.267195e-001,4.029690e+001,6.581584e+002,,,8.652690e-003,2.032990e+002,2.035382e+002,,,6.986000e-002,9.865080e+001,9.251863e+001,
,,,,,,,5.133521e+000,1.152055e-002,1.280918e-001,4.488361e+001,6.635718e+002,,,9.621020e-003,2.040210e+002,2.042351e+002,,,7.966320e-002,1.020380e+002,9.600948e+001,
,,,,,,,5.266531e+000,1.528649e-002,1.298521e-001,5.805146e+001,6.703425e+002,,,2.027080e-002,2.087720e+002,2.085937e+002,,,8.973060e-002,1.051320e+002,9.919624e+001,
,,,,,,,5.402986e+000,2.071781e-002,1.322938e-001,7.669021e+001,6.794909e+002,,,3.202290e-002,2.115300e+002,2.113116e+002,,,9.971960e-002,1.078840e+002,1.020651e+002,
,,,,,,,5.542977e+000,2.728295e-002,1.356458e-001,9.844151e+001,6.917340e+002,,,4.034840e-002,2.129210e+002,2.125874e+002,,,1.488870e-001,1.184030e+002,1.132364e+002,
,,,,,,,5.686596e+000,3.439759e-002,1.400744e-001,1.209778e+002,7.074948e+002,,,5.062390e-002,2.142780e+002,2.138485e+002,,,2.008720e-001,1.262120e+002,1.219331e+002,
,,,,,,,5.833935e+000,4.155328e-002,1.456748e-001,1.424537e+002,7.269330e+002,,,6.080420e-002,2.154690e+002,2.150222e+002,,,2.527330e-001,1.321190e+002,1.289129e+002,
,,,,,,,5.985092e+000,4.826360e-002,1.524773e-001,1.612794e+002,7.499413e+002,,,7.167840e-002,2.164370e+002,2.162947e+002,,,3.043130e-001,1.368370e+002,1.346341e+002,
,,,,,,,6.140166e+000,5.433278e-002,1.604469e-001,1.769750e+002,7.762269e+002,,,8.183720e-002,2.172270e+002,2.170645e+002,,,3.529610e-001,1.405500e+002,1.393496e+002,
,,,,,,,6.299257e+000,5.936408e-002,1.695073e-001,1.884796e+002,8.053575e+002,,,9.141650e-002,2.178860e+002,2.176309e+002,,,4.005430e-001,1.436510e+002,1.434549e+002,
,,,,,,,6.462470e+000,6.322697e-002,1.795304e-001,1.956743e+002,8.367648e+002,,,1.005930e-001,2.184530e+002,2.181719e+002,,,4.505490e-001,1.464970e+002,1.473421e+002,
,,,,,,,6.629913e+000,6.584182e-002,1.903559e-001,1.986205e+002,8.698379e+002,,,1.433700e-001,2.205370e+002,2.204676e+002,,,5.005710e-001,1.490120e+002,1.508509e+002,
