,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
St Dev of Fit,,5.568390611,,,,,4.75E+00,3.72E-03,1.45E-01,1.57E+01,7.70E+02,,,1.91E-03,2.65E+02,2.61E+02,,,4.76E-02,9.97E+01,1.01E+02
,,,,,,,4.88E+00,8.70E-04,1.45E-01,3.57E+00,7.71E+02,,,2.87E-03,2.73E+02,2.78E+02,,,5.70E-02,1.06E+02,1.06E+02
,,,,,,,5.00E+00,5.66E-04,1.45E-01,2.26E+00,7.71E+02,,,3.82E-03,2.79E+02,2.83E+02,,,6.90E-02,1.12E+02,1.12E+02
,,,,,,,5.13E+00,1.81E-03,1.45E-01,7.04E+00,7.72E+02,,,4.77E-03,2.83E+02,2.88E+02,,,7.95E-02,1.18E+02,1.17E+02
,,,,,,,5.27E+00,4.19E-03,1.45E-01,1.59E+01,7.73E+02,,,5.77E-03,2.87E+02,2.91E+02,,,8.96E-02,1.22E+02,1.21E+02
,,,,,,,5.40E+00,7.53E-03,1.46E-01,2.79E+01,7.76E+02,,,6.66E-03,2.89E+02,2.93E+02,,,9.94E-02,1.26E+02,1.25E+02
,,,,,,,5.54E+00,1.23E-02,1.48E-01,4.43E+01,7.81E+02,,,7.71E-03,2.92E+02,2.95E+02,,,1.47E-01,1.41E+02,1.39E+02
,,,,,,,5.69E+00,1.80E-02,1.50E-01,6.33E+01,7.89E+02,,,8.59E-03,2.93E+02,2.96E+02,,,2.01E-01,1.54E+02,1.50E+02
,,,,,,,5.83E+00,2.44E-02,1.53E-01,8.35E+01,8.00E+02,,,9.59E-03,2.95E+02,2.98E+02,,,2.55E-01,1.64E+02,1.60E+02
,,,,,,,5.99E+00,3.11E-02,1.57E-01,1.04E+02,8.14E+02,,,2.07E-02,3.07E+02,3.07E+02,,,3.09E-01,1.72E+02,1.67E+02
,,,,,,,6.14E+00,3.80E-02,1.62E-01,1.24E+02,8.32E+02,,,3.30E-02,3.13E+02,3.12E+02,,,3.58E-01,1.79E+02,1.74E+02
,,,,,,,6.30E+00,4.51E-02,1.69E-01,1.43E+02,8.53E+02,,,3.83E-02,3.15E+02,3.14E+02,,,3.99E-01,1.83E+02,1.79E+02
,,,,,,,6.46E+00,5.24E-02,1.77E-01,1.62E+02,8.78E+02,,,4.86E-02,3.18E+02,3.17E+02,,,4.49E-01,1.89E+02,1.84E+02
,,,,,,,6.63E+00,5.96E-02,1.86E-01,1.80E+02,9.07E+02,,,6.01E-02,3.20E+02,3.19E+02,,,4.99E-01,1.93E+02,1.89E+02
,,,,,,,6.80E+00,6.69E-02,1.97E-01,1.97E+02,9.39E+02,,,7.18E-02,3.22E+02,3.22E+02,,,5.49E-01,1.98E+02,1.93E+02
,,,,,,,6.98E+00,7.40E-02,2.10E-01,2.12E+02,9.75E+02,,,8.24E-02,3.23E+02,3.24E+02,,,5.99E-01,2.02E+02,1.97E+02
,,,,,,,7.16E+00,8.08E-02,2.24E-01,2.26E+02,1.01E+03,,,9.40E-02,3.25E+02,3.25E+02,,,6.49E-01,2.05E+02,2.01E+02
,,,,,,,7.34E+00,8.69E-02,2.39E-01,2.37E+02,1.06E+03,,,1.04E-01,3.26E+02,3.26E+02,,,7.00E-01,2.09E+02,2.05E+02
,,,,,,,7.53E+00,9.20E-02,2.56E-01,2.44E+02,1.10E+03,,,1.47E-01,3.29E+02,3.30E+02,,,7.51E-01,2.12E+02,2.08E+02
,,,,,,,7.73E+00,9.56E-02,2.75E-01,2.47E+02,1.15E+03,,,2.00E-01,3.32E+02,3.33E+02,,,8.01E-01,2.15E+02,2.12E+02
,,,,,,,7.93E+00,9.74E-02,2.94E-01,2.46E+02,1.20E+03,,,2.56E-01,3.35E+02,3.35E+02,,,9.93E-01,2.25E+02,2.22E+02
,,,,,,,8.14E+00,9.71E-02,3.14E-01,2.39E+02,1.25E+03,,,3.08E-01,3.37E+02,3.37E+02,,,,,
,,,,,,,8.35E+00,9.43E-02,3.34E-01,2.26E+02,1.30E+03,,,3.56E-01,3.38E+02,3.38E+02,,,,,
,,,,,,,8.56E+00,8.95E-02,3.54E-01,2.09E+02,1.35E+03,,,3.97E-01,3.40E+02,3.40E+02,,,,,
,,,,,,,8.78E+00,8.25E-02,3.73E-01,1.88E+02,1.39E+03,,,4.49E-01,3.41E+02,3.41E+02,,,,,
,,,,,,,9.01E+00,7.40E-02,3.91E-01,1.64E+02,1.43E+03,,,4.97E-01,3.42E+02,3.43E+02,,,,,
,,,,,,,9.25E+00,6.45E-02,4.07E-01,1.39E+02,1.47E+03,,,5.47E-01,3.44E+02,3.44E+02,,,,,
,,,,,,,9.48E+00,5.44E-02,4.21E-01,1.15E+02,1.50E+03,,,5.98E-01,3.45E+02,3.45E+02,,,,,
,,,,,,,9.73E+00,4.43E-02,4.34E-01,9.10E+01,1.52E+03,,,6.48E-01,3.46E+02,3.47E+02,,,,,
,,,,,,,9.98E+00,3.48E-02,4.44E-01,6.96E+01,1.54E+03,,,6.97E-01,3.48E+02,3.48E+02,,,,,
,,,,,,,1.02E+01,2.61E-02,4.51E-01,5.10E+01,1.56E+03,,,7.45E-01,3.49E+02,3.49E+02,,,,,
,,,,,,,1.05E+01,1.87E-02,4.57E-01,3.56E+01,1.57E+03,,,7.80E-01,3.51E+02,3.51E+02,,,,,
,,,,,,,1.08E+01,1.28E-02,4.62E-01,2.37E+01,1.58E+03,,,8.15E-01,3.52E+02,3.52E+02,,,,,
,,,,,,,1.11E+01,8.02E-03,4.64E-01,1.45E+01,1.58E+03,,,8.47E-01,3.53E+02,3.53E+02,,,,,
,,,,,,,1.13E+01,4.71E-03,4.66E-01,8.30E+00,1.59E+03,,,8.77E-01,3.55E+02,3.55E+02,,,,,
,,,,,,,1.16E+01,2.58E-03,4.67E-01,4.43E+00,1.59E+03,,,9.02E-01,3.57E+02,3.58E+02,,,,,
,,,,,,,1.19E+01,1.38E-03,4.68E-01,2.31E+00,1.59E+03,,,9.23E-01,3.60E+02,3.59E+02,,,,,
,,,,,,,1.22E+01,9.10E-04,4.68E-01,1.49E+00,1.59E+03,,,9.41E-01,3.63E+02,3.63E+02,,,,,
,,,,,,,1.26E+01,9.39E-04,4.68E-01,1.49E+00,1.59E+03,,,9.54E-01,3.66E+02,3.78E+02,,,,,
,,,,,,,1.29E+01,1.26E-03,4.69E-01,1.95E+00,1.59E+03,,,9.63E-01,3.70E+02,3.80E+02,,,,,
,,,,,,,1.32E+01,1.70E-03,4.69E-01,2.57E+00,1.59E+03,,,9.64E-01,3.75E+02,3.80E+02,,,,,
,,,,,,,1.36E+01,2.19E-03,4.70E-01,3.23E+00,1.59E+03,,,9.65E-01,3.79E+02,3.80E+02,,,,,
,,,,,,,1.39E+01,2.60E-03,4.71E-01,3.73E+00,1.59E+03,,,9.66E-01,3.84E+02,3.80E+02,,,,,
,,,,,,,1.43E+01,2.90E-03,4.72E-01,4.06E+00,1.59E+03,,,9.67E-01,3.89E+02,3.80E+02,,,,,
,,,,,,,1.47E+01,3.07E-03,4.73E-01,4.18E+00,1.60E+03,,,9.67E-01,3.93E+02,3.80E+02,,,,,
,,,,,,,1.50E+01,3.10E-03,4.74E-01,4.12E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.54E+01,3.02E-03,4.75E-01,3.92E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.58E+01,2.85E-03,4.76E-01,3.61E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.62E+01,2.62E-03,4.78E-01,3.23E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.67E+01,2.35E-03,4.79E-01,2.82E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.71E+01,2.07E-03,4.80E-01,2.42E+00,1.60E+03,,,,,,,,,,
,,,,,,,1.75E+01,1.78E-03,4.80E-01,2.04E+00,1.61E+03,,,,,,,,,,
,,,,,,,1.80E+01,1.52E-03,4.81E-01,1.69E+00,1.61E+03,,,,,,,,,,
,,,,,,,1.84E+01,1.27E-03,4.82E-01,1.38E+00,1.61E+03,,,,,,,,,,
,,,,,,,1.89E+01,1.06E-03,4.82E-01,1.12E+00,1.61E+03,,,,,,,,,,
,,,,,,,1.94E+01,8.65E-04,4.83E-01,8.92E-01,1.61E+03,,,,,,,,,,
,,,,,,,1.99E+01,7.04E-04,4.83E-01,7.07E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.04E+01,5.72E-04,4.84E-01,5.60E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.10E+01,4.70E-04,4.84E-01,4.48E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.15E+01,3.94E-04,4.84E-01,3.66E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.21E+01,3.43E-04,4.84E-01,3.11E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.26E+01,3.14E-04,4.84E-01,2.77E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.32E+01,3.01E-04,4.85E-01,2.59E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.38E+01,3.00E-04,4.85E-01,2.52E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.44E+01,3.08E-04,4.85E-01,2.52E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.51E+01,3.22E-04,4.85E-01,2.57E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.57E+01,3.38E-04,4.85E-01,2.63E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.64E+01,3.53E-04,4.86E-01,2.68E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.71E+01,3.66E-04,4.86E-01,2.71E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.78E+01,3.76E-04,4.86E-01,2.71E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.85E+01,3.82E-04,4.86E-01,2.68E-01,1.61E+03,,,,,,,,,,
,,,,,,,2.92E+01,3.83E-04,4.87E-01,2.62E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.00E+01,3.80E-04,4.87E-01,2.53E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.08E+01,3.73E-04,4.87E-01,2.42E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.16E+01,3.62E-04,4.88E-01,2.30E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.24E+01,3.49E-04,4.88E-01,2.16E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.32E+01,3.35E-04,4.88E-01,2.02E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.41E+01,3.20E-04,4.88E-01,1.88E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.50E+01,3.04E-04,4.89E-01,1.74E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.59E+01,2.89E-04,4.89E-01,1.61E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.68E+01,2.75E-04,4.89E-01,1.50E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.78E+01,2.62E-04,4.89E-01,1.39E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.87E+01,2.50E-04,4.90E-01,1.29E-01,1.61E+03,,,,,,,,,,
,,,,,,,3.97E+01,2.40E-04,4.90E-01,1.21E-01,1.61E+03,,,,,,,,,,
,,,,,,,4.08E+01,2.31E-04,4.90E-01,1.13E-01,1.61E+03,,,,,,,,,,
,,,,,,,4.18E+01,2.23E-04,4.90E-01,1.07E-01,1.61E+03,,,,,,,,,,
,,,,,,,4.29E+01,2.17E-04,4.91E-01,1.01E-01,1.61E+03,,,,,,,,,,
,,,,,,,4.40E+01,2.12E-04,4.91E-01,9.61E-02,1.61E+03,,,,,,,,,,
,,,,,,,4.52E+01,2.07E-04,4.91E-01,9.18E-02,1.61E+03,,,,,,,,,,
,,,,,,,4.63E+01,2.03E-04,4.91E-01,8.78E-02,1.61E+03,,,,,,,,,,
,,,,,,,4.75E+01,2.00E-04,4.92E-01,8.43E-02,1.61E+03,,,,,,,,,,
,,,,,,,4.88E+01,1.97E-04,4.92E-01,8.09E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.00E+01,1.94E-04,4.92E-01,7.77E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.13E+01,1.91E-04,4.92E-01,7.45E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.26E+01,1.88E-04,4.93E-01,7.13E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.40E+01,1.84E-04,4.93E-01,6.81E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.54E+01,1.79E-04,4.93E-01,6.48E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.68E+01,1.75E-04,4.93E-01,6.14E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.83E+01,1.69E-04,4.94E-01,5.80E-02,1.61E+03,,,,,,,,,,
,,,,,,,5.98E+01,1.64E-04,4.94E-01,5.47E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.14E+01,1.58E-04,4.94E-01,5.13E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.30E+01,1.51E-04,4.94E-01,4.81E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.46E+01,1.45E-04,4.95E-01,4.49E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.63E+01,1.39E-04,4.95E-01,4.19E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.80E+01,1.33E-04,4.95E-01,3.91E-02,1.62E+03,,,,,,,,,,
,,,,,,,6.98E+01,1.27E-04,4.95E-01,3.65E-02,1.62E+03,,,,,,,,,,
,,,,,,,7.16E+01,1.22E-04,4.96E-01,3.42E-02,1.62E+03,,,,,,,,,,
,,,,,,,7.34E+01,1.18E-04,4.96E-01,3.21E-02,1.62E+03,,,,,,,,,,
,,,,,,,7.53E+01,1.14E-04,4.96E-01,3.03E-02,1.62E+03,,,,,,,,,,
,,,,,,,7.73E+01,1.11E-04,4.96E-01,2.87E-02,1.62E+03,,,,,,,,,,
,,,,,,,7.93E+01,1.08E-04,4.96E-01,2.74E-02,1.62E+03,,,,,,,,,,
,,,,,,,8.13E+01,1.07E-04,4.97E-01,2.62E-02,1.62E+03,,,,,,,,,,
,,,,,,,8.34E+01,1.05E-04,4.97E-01,2.53E-02,1.62E+03,,,,,,,,,,
,,,,,,,8.56E+01,1.05E-04,4.97E-01,2.44E-02,1.62E+03,,,,,,,,,,
,,,,,,,8.78E+01,1.04E-04,4.97E-01,2.36E-02,1.62E+03,,,,,,,,,,
,,,,,,,9.01E+01,1.03E-04,4.98E-01,2.29E-02,1.62E+03,,,,,,,,,,
,,,,,,,9.24E+01,1.02E-04,4.98E-01,2.22E-02,1.62E+03,,,,,,,,,,
,,,,,,,9.48E+01,1.02E-04,4.98E-01,2.14E-02,1.62E+03,,,,,,,,,,
,,,,,,,9.73E+01,1.01E-04,4.98E-01,2.07E-02,1.62E+03,,,,,,,,,,
,,,,,,,9.98E+01,9.91E-05,4.99E-01,1.99E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.02E+02,9.73E-05,4.99E-01,1.90E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.05E+02,9.53E-05,4.99E-01,1.81E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.08E+02,9.30E-05,4.99E-01,1.73E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.11E+02,9.06E-05,5.00E-01,1.64E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.13E+02,8.81E-05,5.00E-01,1.55E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.16E+02,8.56E-05,5.00E-01,1.47E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.19E+02,8.31E-05,5.00E-01,1.39E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.22E+02,8.09E-05,5.01E-01,1.32E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.26E+02,7.88E-05,5.01E-01,1.26E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.29E+02,7.72E-05,5.01E-01,1.20E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.32E+02,7.59E-05,5.01E-01,1.15E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.36E+02,7.50E-05,5.02E-01,1.11E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.39E+02,7.46E-05,5.02E-01,1.07E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.43E+02,7.46E-05,5.02E-01,1.04E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.46E+02,7.49E-05,5.02E-01,1.02E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.50E+02,7.56E-05,5.03E-01,1.01E-02,1.62E+03,,,,,,,,,,
,,,,,,,1.54E+02,7.63E-05,5.03E-01,9.90E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.58E+02,7.72E-05,5.03E-01,9.76E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.62E+02,7.78E-05,5.04E-01,9.60E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.66E+02,7.82E-05,5.04E-01,9.40E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.71E+02,7.81E-05,5.04E-01,9.15E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.75E+02,7.75E-05,5.05E-01,8.85E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.80E+02,7.62E-05,5.05E-01,8.48E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.84E+02,7.41E-05,5.05E-01,8.04E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.89E+02,7.12E-05,5.06E-01,7.53E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.94E+02,6.75E-05,5.06E-01,6.95E-03,1.62E+03,,,,,,,,,,
,,,,,,,1.99E+02,6.29E-05,5.06E-01,6.32E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.04E+02,5.73E-05,5.07E-01,5.61E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.10E+02,5.08E-05,5.07E-01,4.85E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.15E+02,4.38E-05,5.07E-01,4.08E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.21E+02,3.63E-05,5.07E-01,3.30E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.26E+02,2.91E-05,5.08E-01,2.57E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.32E+02,2.22E-05,5.08E-01,1.91E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.38E+02,1.63E-05,5.08E-01,1.37E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.44E+02,1.18E-05,5.08E-01,9.70E-04,1.62E+03,,,,,,,,,,
,,,,,,,2.51E+02,9.45E-06,5.08E-01,7.54E-04,1.62E+03,,,,,,,,,,
,,,,,,,2.57E+02,9.67E-06,5.08E-01,7.52E-04,1.62E+03,,,,,,,,,,
,,,,,,,2.64E+02,1.30E-05,5.08E-01,9.84E-04,1.62E+03,,,,,,,,,,
,,,,,,,2.71E+02,1.96E-05,5.08E-01,1.45E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.78E+02,2.94E-05,5.08E-01,2.12E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.85E+02,4.25E-05,5.09E-01,2.98E-03,1.62E+03,,,,,,,,,,
,,,,,,,2.92E+02,5.81E-05,5.09E-01,3.98E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.00E+02,7.60E-05,5.10E-01,5.07E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.08E+02,9.55E-05,5.10E-01,6.21E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.16E+02,1.15E-04,5.11E-01,7.32E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.24E+02,1.35E-04,5.12E-01,8.36E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.32E+02,1.54E-04,5.13E-01,9.27E-03,1.62E+03,,,,,,,,,,
,,,,,,,3.41E+02,1.70E-04,5.15E-01,1.00E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.49E+02,1.84E-04,5.16E-01,1.05E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.59E+02,1.93E-04,5.18E-01,1.08E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.68E+02,1.98E-04,5.20E-01,1.08E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.77E+02,1.99E-04,5.22E-01,1.05E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.87E+02,1.94E-04,5.24E-01,1.00E-02,1.62E+03,,,,,,,,,,
,,,,,,,3.97E+02,1.84E-04,5.26E-01,9.25E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.07E+02,1.69E-04,5.27E-01,8.30E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.18E+02,1.50E-04,5.29E-01,7.18E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.29E+02,1.25E-04,5.31E-01,5.82E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.40E+02,9.55E-05,5.32E-01,4.34E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.51E+02,5.98E-05,5.33E-01,2.65E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.63E+02,2.79E-05,5.33E-01,1.20E-03,1.62E+03,,,,,,,,,,
,,,,,,,4.75E+02,8.05E-06,5.33E-01,3.39E-04,1.62E+03,,,,,,,,,,
,,,,,,,4.87E+02,0.00E+00,5.33E-01,0.00E+00,1.62E+03,,,,,,,,,,
