,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,1.00E-06,1.45E+01,4.12E+01,,,1.11E-04,2.96E+00,1.29E+00
,,,,,,,3.08E+00,1.59E-03,3.13E-05,1.03E+01,2.04E-01,,,3.29E-06,2.91E+01,4.48E+01,,,2.45E-04,5.88E+00,2.83E+00
,,,,,,,3.16E+00,1.31E-02,4.92E-04,8.31E+01,4.64E+00,,,8.17E-06,4.36E+01,5.02E+01,,,4.03E-04,8.82E+00,4.61E+00
,,,,,,,3.24E+00,4.04E-02,2.53E-03,2.50E+02,1.74E+01,,,1.54E-05,5.82E+01,5.80E+01,,,5.86E-04,1.17E+01,6.64E+00
,,,,,,,3.32E+00,7.95E-02,7.74E-03,4.78E+02,4.82E+01,,,2.48E-05,7.28E+01,6.90E+01,,,8.02E-04,1.47E+01,8.94E+00
,,,,,,,3.41E+00,1.25E-01,1.67E-02,7.35E+02,1.01E+02,,,3.68E-05,8.73E+01,8.97E+01,,,1.05E-03,1.75E+01,1.15E+01
Two isotherms - Two corresponding kernels,,,,,,,3.50E+00,1.56E-01,2.92E-02,8.91E+02,1.74E+02,,,5.18E-05,1.02E+02,1.07E+02,,,1.97E-03,2.56E+01,1.99E+01
,,,,,,,3.59E+00,1.72E-01,4.42E-02,9.57E+02,2.58E+02,,,6.86E-05,1.17E+02,1.29E+02,,,2.96E-03,3.19E+01,2.73E+01
Sample (ID),,002-819-O2_full-SA05-300-800_1 ,,,,,3.68E+00,1.74E-01,6.04E-02,9.48E+02,3.47E+02,,,8.83E-05,1.31E+02,1.45E+02,,,4.28E-03,3.83E+01,3.50E+01
,,,,,,,3.78E+00,1.65E-01,7.67E-02,8.76E+02,4.35E+02,,,1.11E-04,1.46E+02,1.58E+02,,,4.75E-03,4.03E+01,3.74E+01
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.87E+00,1.48E-01,9.20E-02,7.64E+02,5.15E+02,,,1.39E-04,1.60E+02,1.69E+02,,,5.95E-03,4.46E+01,4.26E+01
,,,,,,,3.97E+00,1.26E-01,1.06E-01,6.32E+02,5.85E+02,,,1.72E-04,1.75E+02,1.78E+02,,,6.80E-03,4.74E+01,4.58E+01
Sample(ID2),,002-821-H2_full-SA05-300-800_1 ,,,,,4.08E+00,1.01E-01,1.17E-01,4.95E+02,6.43E+02,,,2.15E-04,1.89E+02,1.87E+02,,,7.80E-03,5.03E+01,4.92E+01
,,,,,,,4.18E+00,7.65E-02,1.27E-01,3.66E+02,6.89E+02,,,2.77E-04,2.04E+02,1.98E+02,,,8.86E-03,5.31E+01,5.24E+01
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.29E+00,5.44E-02,1.34E-01,2.53E+02,7.22E+02,,,3.76E-04,2.19E+02,2.09E+02,,,9.95E-03,5.58E+01,5.53E+01
,,,,,,,4.40E+00,3.55E-02,1.39E-01,1.61E+02,7.45E+02,,,5.54E-04,2.33E+02,2.22E+02,,,1.95E-02,7.27E+01,7.34E+01
Lambda,,4,,,,,4.52E+00,2.08E-02,1.42E-01,9.19E+01,7.59E+02,,,9.08E-04,2.48E+02,2.38E+02,,,3.00E-02,8.50E+01,8.61E+01
,,,,,,,4.63E+00,1.04E-02,1.44E-01,4.48E+01,7.67E+02,,,1.67E-03,2.62E+02,2.56E+02,,,4.18E-02,9.54E+01,9.63E+01
