,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,4.082100e-007,9.534040e+000,9.167602e+000,,,,,,
,,,,,,,3.689911e+000,2.149326e-004,4.891010e-006,1.164974e+000,2.664151e-002,,,1.087100e-006,1.906680e+001,1.278847e+001,,,,,,
,,,,,,,3.782067e+000,1.780234e-003,7.690528e-005,9.414083e+000,6.151681e-001,,,2.194340e-006,2.859710e+001,1.894151e+001,,,,,,
,,,,,,,3.876524e+000,5.477599e-003,3.956902e-004,2.826036e+001,2.276440e+000,,,3.803110e-006,3.816840e+001,2.893126e+001,,,,,,
,,,,,,,3.973341e+000,1.066475e-002,1.209150e-003,5.368154e+001,6.295474e+000,,,6.010530e-006,4.771300e+001,4.257594e+001,,,,,,
,,,,,,,4.072576e+000,1.666407e-002,2.587183e-003,8.183553e+001,1.314059e+001,,,8.788760e-006,5.724160e+001,5.610155e+001,,,,,,
,,,,,,,4.174289e+000,2.023649e-002,4.484373e-003,9.695776e+001,2.233943e+001,,,1.218880e-005,6.684780e+001,6.744725e+001,,,,,,
,,,,,,,4.278543e+000,2.153165e-002,6.682616e-003,1.006495e+002,3.271326e+001,,,1.637310e-005,7.641300e+001,7.695027e+001,,,,,,
Sample (ID),,AC2800-400 ,,,,,4.385400e+000,2.080169e-002,8.962931e-003,9.486791e+001,4.324239e+001,,,2.125100e-005,8.598620e+001,8.634334e+001,,,,,,
,,,,,,,4.494926e+000,1.814860e-002,1.112168e-002,8.075149e+001,5.294402e+001,,,2.686210e-005,9.557940e+001,9.650760e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,1.460022e-002,1.297057e-002,6.338018e+001,6.107319e+001,,,3.327260e-005,1.051150e+002,1.061630e+002,,,,,,
,,,,,,,4.722253e+000,1.030455e-002,1.440504e-002,4.364251e+001,6.722817e+001,,,4.054470e-005,1.147370e+002,1.166686e+002,,,,,,
,,,,,,,4.840192e+000,6.292088e-003,1.536679e-002,2.599933e+001,7.132640e+001,,,4.870010e-005,1.243540e+002,1.273025e+002,,,,,,
,,,,,,,4.961076e+000,3.019472e-003,1.591071e-002,1.217265e+001,7.354960e+001,,,5.768390e-005,1.339300e+002,1.379439e+002,,,,,,
,,,,,,,5.084980e+000,1.253937e-003,1.616235e-002,4.931925e+000,7.455339e+001,,,6.765700e-005,1.435420e+002,1.479007e+002,,,,,,
,,,,,,,5.211978e+000,4.476333e-004,1.626297e-002,1.717710e+000,7.492709e+001,,,7.877960e-005,1.531500e+002,1.583302e+002,,,,,,
Lambda,,2.5,,,,,5.342148e+000,1.260539e-004,1.629730e-002,4.719222e-001,7.505755e+001,,,9.096330e-005,1.627550e+002,1.684599e+002,,,,,,
,,,,,,,5.475569e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.044790e-004,1.723310e+002,1.781332e+002,,,,,,
St Dev of Fit,,5.00376627200493,,,,,5.612322e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.191170e-004,1.818930e+002,1.875944e+002,,,,,,
,,,,,,,5.752491e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.351640e-004,1.914900e+002,1.971750e+002,,,,,,
,,,,,,,5.896160e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.531510e-004,2.011130e+002,2.069666e+002,,,,,,
,,,,,,,6.043417e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.727900e-004,2.107020e+002,2.164193e+002,,,,,,
,,,,,,,6.194353e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,1.942610e-004,2.203150e+002,2.260345e+002,,,,,,
,,,,,,,6.349058e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,2.178310e-004,2.298990e+002,2.352725e+002,,,,,,
,,,,,,,6.507626e+000,0.000000e+000,1.630539e-002,0.000000e+000,7.508205e+001,,,2.442940e-004,2.394930e+002,2.445256e+002,,,,,,
