,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.991720e-007,9.429450e+000,1.288619e+001,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,7.644100e-007,1.887950e+001,2.139627e+001,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.449750e-006,2.831010e+001,2.878129e+001,,,,,,
,,,,,,,3.876524e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.353900e-006,3.772680e+001,3.611048e+001,,,,,,
,,,,,,,3.973341e+000,0.000000e+000,1.418946e-006,0.000000e+000,-5.188058e-003,,,3.511990e-006,4.719310e+001,4.461433e+001,,,,,,
,,,,,,,4.072576e+000,0.000000e+000,2.366112e-010,0.000000e+000,-1.228966e-002,,,5.047020e-006,5.667370e+001,5.439497e+001,,,,,,
,,,,,,,4.174289e+000,2.254206e-005,5.059072e-007,1.080043e-001,-9.856435e-003,,,6.984610e-006,6.612940e+001,6.445422e+001,,,,,,
,,,,,,,4.278543e+000,1.668964e-004,1.167857e-005,7.801554e-001,-8.863851e-003,,,9.470920e-006,7.559420e+001,7.383575e+001,,,,,,
Sample (ID),,AC3800-400 ,,,,,4.385400e+000,7.713297e-004,5.960615e-005,3.517717e+000,2.118263e-001,,,1.245590e-005,8.501810e+001,8.215976e+001,,,,,,
,,,,,,,4.494926e+000,2.737699e-003,1.884891e-004,1.218129e+001,8.922722e-001,,,1.610330e-005,9.445930e+001,9.167083e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,5.315606e-003,6.078528e-004,2.307528e+001,2.732662e+000,,,2.040110e-005,1.038610e+002,1.018190e+002,,,,,,
,,,,,,,4.722253e+000,1.099210e-002,1.522005e-003,4.655448e+001,6.646520e+000,,,2.548830e-005,1.132790e+002,1.142769e+002,,,,,,
,,,,,,,4.840192e+000,1.893742e-002,3.267792e-003,7.825069e+001,1.396362e+001,,,3.147600e-005,1.227000e+002,1.229496e+002,,,,,,
,,,,,,,4.961076e+000,2.824294e-002,6.109767e-003,1.138581e+002,2.555314e+001,,,3.841250e-005,1.321170e+002,1.345632e+002,,,,,,
,,,,,,,5.084980e+000,3.819120e-002,1.022693e-002,1.502118e+002,4.193704e+001,,,4.639010e-005,1.415010e+002,1.439885e+002,,,,,,
,,,,,,,5.211978e+000,4.774372e-002,1.569560e-002,1.832077e+002,6.316915e+001,,,5.558470e-005,1.509510e+002,1.546934e+002,,,,,,
Lambda,,2.5,,,,,5.342148e+000,5.596472e-002,2.246685e-002,2.095214e+002,8.882504e+001,,,6.604320e-005,1.603580e+002,1.639938e+002,,,,,,
,,,,,,,5.475569e+000,6.191979e-002,3.037224e-002,2.261675e+002,1.180059e+002,,,7.812220e-005,1.699270e+002,1.737875e+002,,,,,,
St Dev of Fit,,2.67484147699347,,,,,5.612322e+000,6.525165e-002,3.910929e-002,2.325300e+002,1.495234e+002,,,9.142510e-005,1.793320e+002,1.829445e+002,,,,,,
,,,,,,,5.752491e+000,6.512676e-002,4.828592e-002,2.264298e+002,1.818235e+002,,,1.067360e-004,1.887640e+002,1.919474e+002,,,,,,
,,,,,,,5.896160e+000,6.171991e-002,5.743714e-002,2.093563e+002,2.131823e+002,,,1.248920e-004,1.983530e+002,2.010219e+002,,,,,,
,,,,,,,6.043417e+000,5.532904e-002,6.608998e-002,1.831051e+002,2.421791e+002,,,1.455310e-004,2.079260e+002,2.101260e+002,,,,,,
,,,,,,,6.194353e+000,4.646075e-002,7.380861e-002,1.500100e+002,2.673743e+002,,,1.692370e-004,2.174530e+002,2.191404e+002,,,,,,
,,,,,,,6.349058e+000,3.684663e-002,8.026137e-002,1.160696e+002,2.879625e+002,,,1.969460e-004,2.269630e+002,2.280818e+002,,,,,,
,,,,,,,6.507626e+000,2.724762e-002,8.532773e-002,8.374057e+001,3.037356e+002,,,2.293500e-004,2.365010e+002,2.368992e+002,,,,,,
,,,,,,,6.670155e+000,1.943758e-002,8.908112e-002,5.828225e+001,3.151700e+002,,,2.673000e-004,2.460310e+002,2.458857e+002,,,,,,
,,,,,,,6.836743e+000,1.490898e-002,9.188263e-002,4.361429e+001,3.234716e+002,,,3.128640e-004,2.555580e+002,2.544594e+002,,,,,,
,,,,,,,7.007492e+000,1.543827e-002,9.433370e-002,4.406219e+001,3.306497e+002,,,3.666320e-004,2.650510e+002,2.626621e+002,,,,,,
,,,,,,,7.182505e+000,2.022345e-002,9.735637e-002,5.631307e+001,3.391659e+002,,,4.309670e-004,2.744820e+002,2.710295e+002,,,,,,
,,,,,,,7.361889e+000,3.127189e-002,1.018939e-001,8.495615e+001,3.516344e+002,,,6.590120e-004,2.980940e+002,2.919376e+002,,,,,,
,,,,,,,7.545754e+000,4.763399e-002,1.090649e-001,1.262538e+002,3.709580e+002,,,1.034490e-003,3.212030e+002,3.133647e+002,,,,,,
,,,,,,,7.734210e+000,6.788071e-002,1.198917e-001,1.755337e+002,3.992814e+002,,,1.672750e-003,3.436730e+002,3.365762e+002,,,,,,
,,,,,,,7.927373e+000,9.097050e-002,1.352183e-001,2.295098e+002,4.384044e+002,,,2.742320e-003,3.649370e+002,3.631589e+002,,,,,,
,,,,,,,8.125361e+000,1.143688e-001,1.555697e-001,2.815106e+002,4.890964e+002,,,4.452910e-003,3.847960e+002,3.891225e+002,,,,,,
,,,,,,,8.328293e+000,1.357744e-001,1.810117e-001,3.260557e+002,5.509290e+002,,,6.865550e-003,4.025990e+002,4.076421e+002,,,,,,
,,,,,,,8.536293e+000,1.528579e-001,2.111603e-001,3.581365e+002,6.223074e+002,,,9.979510e-003,4.187620e+002,4.221965e+002,,,,,,
,,,,,,,8.749488e+000,1.644271e-001,2.451230e-001,3.758553e+002,7.008907e+002,,,1.358630e-002,4.336440e+002,4.329783e+002,,,,,,
,,,,,,,8.968008e+000,1.684931e-001,2.816337e-001,3.757649e+002,7.833194e+002,,,1.781920e-002,4.473370e+002,4.431685e+002,,,,,,
,,,,,,,9.191985e+000,1.653084e-001,3.191505e-001,3.596795e+002,8.658572e+002,,,2.240910e-002,4.599900e+002,4.590045e+002,,,,,,
,,,,,,,9.421557e+000,1.552887e-001,3.560746e-001,3.296456e+002,9.452202e+002,,,2.731360e-002,4.718680e+002,4.728874e+002,,,,,,
