,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,3.088100e-007,7.754400e+000,1.049516e+001,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,7.580600e-007,1.560160e+001,1.740196e+001,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.359540e-006,2.345800e+001,2.296283e+001,,,,,,
,,,,,,,3.876524e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.310300e-006,3.120220e+001,2.910926e+001,,,,,,
,,,,,,,3.973341e+000,0.000000e+000,5.646419e-007,0.000000e+000,-2.064487e-003,,,3.904820e-006,3.894850e+001,3.777620e+001,,,,,,
,,,,,,,4.072576e+000,0.000000e+000,9.415479e-011,0.000000e+000,-4.890430e-003,,,5.933320e-006,4.677160e+001,4.658664e+001,,,,,,
,,,,,,,4.174289e+000,8.970172e-006,2.013159e-007,4.297820e-002,-3.922176e-003,,,8.231150e-006,5.461110e+001,5.415314e+001,,,,,,
,,,,,,,4.278543e+000,3.361281e-005,5.246434e-006,1.571227e-001,-3.407686e-002,,,1.137490e-005,6.244410e+001,6.108576e+001,,,,,,
Sample (ID),,AC4700-400 ,,,,,4.385400e+000,3.097450e-004,2.374248e-005,1.412619e+000,5.105798e-002,,,1.533420e-005,7.028560e+001,6.871029e+001,,,,,,
,,,,,,,4.494926e+000,1.556492e-003,7.369375e-005,6.925552e+000,3.605715e-001,,,2.019580e-005,7.802500e+001,7.624098e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,3.245541e-003,3.158399e-004,1.408903e+001,1.423031e+000,,,2.646620e-005,8.576960e+001,8.545841e+001,,,,,,
