,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
,,,,,,,9.191985e+000,1.265692e-001,4.495601e-001,2.753904e+002,1.287552e+003,,,8.549880e-003,4.382760e+002,4.417209e+002,,,,,,
,,,,,,,9.421557e+000,1.181711e-001,4.777217e-001,2.508527e+002,1.348083e+003,,,1.220240e-002,4.541650e+002,4.542774e+002,,,,,,
,,,,,,,9.656861e+000,1.065572e-001,5.042152e-001,2.206869e+002,1.403627e+003,,,1.652830e-002,4.683670e+002,4.645352e+002,,,,,,
,,,,,,,9.898043e+000,9.311206e-002,5.283173e-001,1.881424e+002,1.452944e+003,,,2.138040e-002,4.810980e+002,4.792666e+002,,,,,,
,,,,,,,1.014525e+001,7.883287e-002,5.495663e-001,1.554085e+002,1.495367e+003,,,2.687600e-002,4.928160e+002,4.945204e+002,,,,,,
,,,,,,,1.039863e+001,6.503818e-002,5.677594e-001,1.250899e+002,1.530848e+003,,,3.287100e-002,5.034150e+002,5.046192e+002,,,,,,
,,,,,,,1.065833e+001,5.281721e-002,5.830083e-001,9.910968e+001,1.559828e+003,,,3.926660e-002,5.127560e+002,5.125122e+002,,,,,,
,,,,,,,1.092453e+001,4.326545e-002,5.956790e-001,7.920790e+001,1.583378e+003,,,4.622880e-002,5.212890e+002,5.212332e+002,,,,,,
,,,,,,,1.119737e+001,3.589464e-002,6.063941e-001,6.411263e+001,1.602761e+003,,,5.369690e-002,5.288700e+002,5.307303e+002,,,,,,
,,,,,,,1.147703e+001,3.165192e-002,6.157725e-001,5.515700e+001,1.619310e+003,,,6.136440e-002,5.354200e+002,5.364703e+002,,,,,,
,,,,,,,1.176367e+001,2.981152e-002,6.245295e-001,5.068405e+001,1.634394e+003,,,6.969000e-002,5.414080e+002,5.401935e+002,,,,,,
,,,,,,,1.205747e+001,2.966661e-002,6.332316e-001,4.920870e+001,1.649007e+003,,,7.827620e-002,5.466090e+002,5.446401e+002,,,,,,
,,,,,,,1.235860e+001,3.057637e-002,6.422857e-001,4.948192e+001,1.663840e+003,,,8.717200e-002,5.511920e+002,5.500866e+002,,,,,,
,,,,,,,1.266726e+001,3.182200e-002,6.519168e-001,5.024291e+001,1.679194e+003,,,9.624630e-002,5.551850e+002,5.556424e+002,,,,,,
,,,,,,,1.298363e+001,3.280223e-002,6.621524e-001,5.052860e+001,1.695156e+003,,,1.504770e-001,5.712090e+002,5.721406e+002,,,,,,
,,,,,,,1.330790e+001,3.334231e-002,6.728891e-001,5.010906e+001,1.711487e+003,,,2.023790e-001,5.807740e+002,5.810420e+002,,,,,,
,,,,,,,1.364026e+001,3.353242e-002,6.840124e-001,4.916683e+001,1.727999e+003,,,2.538170e-001,5.881640e+002,5.881145e+002,,,,,,
,,,,,,,1.398093e+001,3.343530e-002,6.954256e-001,4.782987e+001,1.744528e+003,,,3.014090e-001,5.940710e+002,5.941091e+002,,,,,,
,,,,,,,1.433011e+001,3.316977e-002,7.070568e-001,4.629383e+001,1.760974e+003,,,3.510640e-001,5.996510e+002,5.996812e+002,,,,,,
,,,,,,,1.468800e+001,3.282769e-002,7.188676e-001,4.470001e+001,1.777256e+003,,,3.990550e-001,6.046550e+002,6.046653e+002,,,,,,
,,,,,,,1.505484e+001,3.240923e-002,7.308346e-001,4.305491e+001,1.793355e+003,,,4.491700e-001,6.096370e+002,6.097883e+002,,,,,,
,,,,,,,1.543083e+001,3.178837e-002,7.429095e-001,4.120111e+001,1.809199e+003,,,4.993230e-001,6.143630e+002,6.143625e+002,,,,,,
,,,,,,,1.581622e+001,3.089360e-002,7.549982e-001,3.906571e+001,1.824676e+003,,,5.491080e-001,6.189360e+002,6.189767e+002,,,,,,
,,,,,,,1.621123e+001,2.958475e-002,7.669590e-001,3.649907e+001,1.839604e+003,,,5.991670e-001,6.234300e+002,6.234554e+002,,,,,,
,,,,,,,1.661611e+001,2.776302e-002,7.785870e-001,3.341699e+001,1.853775e+003,,,6.491320e-001,6.278000e+002,6.278291e+002,,,,,,
,,,,,,,1.703110e+001,2.537603e-002,7.896371e-001,2.979963e+001,1.866907e+003,,,6.993310e-001,6.321580e+002,6.322114e+002,,,,,,
,,,,,,,1.745646e+001,2.262047e-002,7.998585e-001,2.591645e+001,1.878766e+003,,,7.494690e-001,6.365370e+002,6.365710e+002,,,,,,
,,,,,,,1.789243e+001,1.952401e-002,8.090511e-001,2.182376e+001,1.889172e+003,,,7.994430e-001,6.409650e+002,6.409761e+002,,,,,,
,,,,,,,1.833930e+001,1.630323e-002,8.170536e-001,1.777956e+001,1.898012e+003,,,8.493580e-001,6.455310e+002,6.455670e+002,,,,,,
,,,,,,,1.879733e+001,1.314785e-002,8.237889e-001,1.398906e+001,1.905271e+003,,,8.990120e-001,6.505590e+002,6.505785e+002,,,,,,
,,,,,,,1.926679e+001,1.026819e-002,8.292552e-001,1.065895e+001,1.911025e+003,,,9.486430e-001,6.569850e+002,6.570071e+002,,,,,,
,,,,,,,1.974799e+001,7.668475e-003,8.335474e-001,7.766336e+000,1.915429e+003,,,9.867850e-001,6.686080e+002,6.713651e+002,,,,,,
,,,,,,,2.024119e+001,5.575459e-003,8.367909e-001,5.509022e+000,1.918675e+003,,,9.934520e-001,6.742850e+002,6.715427e+002,,,,,,
,,,,,,,2.074672e+001,3.973066e-003,8.391804e-001,3.830066e+000,1.921014e+003,,,,,,,,,,,
,,,,,,,2.126487e+001,2.817789e-003,8.409180e-001,2.650182e+000,1.922670e+003,,,,,,,,,,,
