,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.249990e-007,2.830850e+000,4.362525e+000,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,4.213860e-007,5.661280e+000,6.754230e+000,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,6.807130e-007,8.494650e+000,9.334219e+000,,,,,,
,,,,,,,3.876524e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,9.952270e-007,1.133410e+001,1.189638e+001,,,,,,
,,,,,,,3.973341e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.355900e-006,1.417370e+001,1.425715e+001,,,,,,
,,,,,,,4.072576e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.779340e-006,1.703080e+001,1.672205e+001,,,,,,
,,,,,,,4.174289e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.260040e-006,1.986340e+001,1.942835e+001,,,,,,
,,,,,,,4.278543e+000,0.000000e+000,2.615506e-007,0.000000e+000,-1.333546e-002,,,2.781770e-006,2.269240e+001,2.232827e+001,,,,,,
Sample (ID),,AC3700-400 ,,,,,4.385400e+000,1.226364e-006,1.020530e-008,5.592940e-003,-1.450730e-002,,,3.375030e-006,2.555490e+001,2.547058e+001,,,,,,
,,,,,,,4.494926e+000,0.000000e+000,7.784850e-006,0.000000e+000,-1.981716e-003,,,3.979010e-006,2.837760e+001,2.848915e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,4.914054e-004,3.229793e-005,2.133212e+000,1.052239e-001,,,4.623970e-006,3.121330e+001,3.151472e+001,,,,,,
,,,,,,,4.722253e+000,1.440074e-003,1.368352e-004,6.099096e+000,5.524975e-001,,,5.326270e-006,3.402980e+001,3.454255e+001,,,,,,
,,,,,,,4.840192e+000,3.489717e-003,4.055522e-004,1.441975e+001,1.746353e+000,,,6.045310e-006,3.686500e+001,3.742062e+001,,,,,,
,,,,,,,4.961076e+000,6.770017e-003,1.004910e-003,2.729254e+001,4.189177e+000,,,6.809740e-006,3.969600e+001,4.021689e+001,,,,,,
,,,,,,,5.084980e+000,1.175442e-002,2.140628e-003,4.623193e+001,8.706382e+000,,,7.642380e-006,4.253480e+001,4.290333e+001,,,,,,
,,,,,,,5.211978e+000,1.761644e-002,4.001951e-003,6.759982e+001,1.593746e+001,,,8.559420e-006,4.538370e+001,4.562931e+001,,,,,,
Lambda,,2.5,,,,,5.342148e+000,2.359536e-002,6.688462e-003,8.833659e+001,2.611374e+001,,,9.454270e-006,4.820480e+001,4.774151e+001,,,,,,
,,,,,,,5.475569e+000,2.887384e-002,1.020862e-002,1.054643e+002,3.909628e+001,,,1.049120e-005,5.102660e+001,5.006173e+001,,,,,,
St Dev of Fit,,1.10579557834291,,,,,5.612322e+000,3.295664e-002,1.445935e-002,1.174439e+002,5.442760e+001,,,1.158220e-005,5.386910e+001,5.215978e+001,,,,,,
,,,,,,,5.752491e+000,3.507083e-002,1.925121e-002,1.219327e+002,7.129190e+001,,,1.264340e-005,5.671910e+001,5.440097e+001,,,,,,
,,,,,,,5.896160e+000,3.509814e-002,2.431905e-002,1.190542e+002,8.863661e+001,,,1.383950e-005,5.958140e+001,5.724185e+001,,,,,,
,,,,,,,6.043417e+000,3.304499e-002,2.936264e-002,1.093586e+002,1.055366e+002,,,1.522960e-005,6.243350e+001,6.012167e+001,,,,,,
,,,,,,,6.194353e+000,2.912277e-002,3.408377e-002,9.403007e+001,1.209391e+002,,,1.662960e-005,6.528310e+001,6.233169e+001,,,,,,
,,,,,,,6.349058e+000,2.453866e-002,3.824405e-002,7.729859e+001,1.342113e+002,,,1.833930e-005,6.812020e+001,6.540254e+001,,,,,,
,,,,,,,6.507626e+000,1.976855e-002,4.174932e-002,6.075502e+001,1.451224e+002,,,2.006260e-005,7.095870e+001,6.898991e+001,,,,,,
,,,,,,,6.670155e+000,1.606411e-002,4.463665e-002,4.816712e+001,1.539042e+002,,,2.193350e-005,7.382810e+001,7.285462e+001,,,,,,
,,,,,,,6.836743e+000,1.451153e-002,4.714492e-002,4.245159e+001,1.613343e+002,,,2.390320e-005,7.669750e+001,7.687461e+001,,,,,,
,,,,,,,7.007492e+000,1.637204e-002,4.968987e-002,4.672723e+001,1.687455e+002,,,2.590030e-005,7.956600e+001,8.047463e+001,,,,,,
,,,,,,,7.182505e+000,2.138379e-002,5.292474e-002,5.954409e+001,1.778596e+002,,,2.766610e-005,8.246400e+001,8.239885e+001,,,,,,
,,,,,,,7.361889e+000,3.099862e-002,5.756148e-002,8.421375e+001,1.906025e+002,,,2.973550e-005,8.532560e+001,8.465390e+001,,,,,,
,,,,,,,7.545754e+000,4.487881e-002,6.446380e-002,1.189512e+002,2.092137e+002,,,3.178340e-005,8.825510e+001,8.748486e+001,,,,,,
,,,,,,,7.734210e+000,6.212041e-002,7.449047e-002,1.606380e+002,2.354454e+002,,,3.398580e-005,9.117760e+001,9.091333e+001,,,,,,
,,,,,,,7.927373e+000,8.217570e-002,8.840767e-002,2.073214e+002,2.709716e+002,,,3.634800e-005,9.409660e+001,9.459057e+001,,,,,,
,,,,,,,8.125361e+000,1.028676e-001,1.067401e-001,2.532013e+002,3.166831e+002,,,3.888190e-005,9.700420e+001,9.707236e+001,,,,,,
,,,,,,,8.328293e+000,1.221595e-001,1.296216e-001,2.933603e+002,3.722929e+002,,,4.162990e-005,9.989450e+001,9.958867e+001,,,,,,
,,,,,,,8.536293e+000,1.375158e-001,1.567596e-001,3.221908e+002,4.365165e+002,,,4.472220e-005,1.027410e+002,1.025321e+002,,,,,,
,,,,,,,8.749488e+000,1.473805e-001,1.872753e-001,3.368894e+002,5.071247e+002,,,4.798460e-005,1.055870e+002,1.059631e+002,,,,,,
,,,,,,,8.968008e+000,1.493130e-001,2.198360e-001,3.329904e+002,5.806374e+002,,,5.179910e-005,1.084480e+002,1.099747e+002,,,,,,
,,,,,,,9.191985e+000,1.434123e-001,2.527657e-001,3.120378e+002,6.530100e+002,,,5.582910e-005,1.113050e+002,1.131901e+002,,,,,,
,,,,,,,9.421557e+000,1.300551e-001,2.842918e-001,2.760798e+002,7.207758e+002,,,5.999000e-005,1.141620e+002,1.162059e+002,,,,,,
,,,,,,,9.656861e+000,1.106870e-001,3.127026e-001,2.292401e+002,7.803520e+002,,,6.424990e-005,1.170160e+002,1.192297e+002,,,,,,
,,,,,,,9.898043e+000,8.820556e-002,3.367165e-001,1.782283e+002,8.294982e+002,,,6.836340e-005,1.198950e+002,1.219616e+002,,,,,,
,,,,,,,1.014525e+001,6.504604e-002,3.556342e-001,1.282296e+002,8.672773e+002,,,7.275350e-005,1.228030e+002,1.248773e+002,,,,,,
,,,,,,,1.039863e+001,4.379412e-002,3.693353e-001,8.423058e+001,8.941128e+002,,,7.741820e-005,1.257090e+002,1.277680e+002,,,,,,
,,,,,,,1.065833e+001,2.644637e-002,3.783309e-001,4.962571e+001,9.112193e+002,,,8.237090e-005,1.286230e+002,1.304230e+002,,,,,,
,,,,,,,1.092453e+001,1.461780e-002,3.836134e-001,2.676142e+001,9.210862e+002,,,8.766870e-005,1.315470e+002,1.332629e+002,,,,,,
,,,,,,,1.119737e+001,7.103921e-003,3.864461e-001,1.268855e+001,9.262160e+002,,,9.339890e-005,1.344600e+002,1.361272e+002,,,,,,
,,,,,,,1.147703e+001,4.416348e-003,3.879596e-001,7.695980e+000,9.288889e+002,,,9.941710e-005,1.373560e+002,1.388328e+002,,,,,,
,,,,,,,1.176367e+001,5.142881e-003,3.892686e-001,8.743669e+000,9.311194e+002,,,1.058410e-004,1.402220e+002,1.417208e+002,,,,,,
,,,,,,,1.205747e+001,8.092141e-003,3.911783e-001,1.342262e+001,9.343233e+002,,,1.127580e-004,1.430840e+002,1.445223e+002,,,,,,
,,,,,,,1.235860e+001,1.216370e-002,3.942114e-001,1.968458e+001,9.392884e+002,,,1.200140e-004,1.459370e+002,1.471895e+002,,,,,,
,,,,,,,1.266726e+001,1.667602e-002,3.986621e-001,2.632932e+001,9.463773e+002,,,1.278440e-004,1.487850e+002,1.500676e+002,,,,,,
,,,,,,,1.298363e+001,2.103731e-002,4.046408e-001,3.240590e+001,9.556965e+002,,,1.361460e-004,1.516490e+002,1.528635e+002,,,,,,
,,,,,,,1.330790e+001,2.488904e-002,4.121109e-001,3.740493e+001,9.670443e+002,,,1.450110e-004,1.544950e+002,1.556816e+002,,,,,,
,,,,,,,1.364026e+001,2.812195e-002,4.209458e-001,4.123374e+001,9.801555e+002,,,1.544850e-004,1.573750e+002,1.586933e+002,,,,,,
,,,,,,,1.398093e+001,3.055899e-002,4.309643e-001,4.371525e+001,9.946623e+002,,,1.646610e-004,1.602280e+002,1.614424e+002,,,,,,
,,,,,,,1.433011e+001,3.227386e-002,4.419555e-001,4.504344e+001,1.010186e+003,,,1.753660e-004,1.630830e+002,1.641667e+002,,,,,,
,,,,,,,1.468800e+001,3.334131e-002,4.537163e-001,4.539939e+001,1.026398e+003,,,1.868340e-004,1.659530e+002,1.670851e+002,,,,,,
,,,,,,,1.505484e+001,3.387680e-002,4.660565e-001,4.500453e+001,1.042999e+003,,,1.990680e-004,1.688200e+002,1.696975e+002,,,,,,
,,,,,,,1.543083e+001,3.396267e-002,4.788203e-001,4.401923e+001,1.059747e+003,,,2.125060e-004,1.716870e+002,1.724486e+002,,,,,,
,,,,,,,1.581622e+001,3.373990e-002,4.918756e-001,4.266493e+001,1.076460e+003,,,2.269940e-004,1.745310e+002,1.753882e+002,,,,,,
