,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,3.131840e-007,9.416200e+000,1.323178e+001,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,8.458340e-007,1.888200e+001,2.039450e+001,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,3.363577e-009,0.000000e+000,-4.910694e-004,,,1.627800e-006,2.830150e+001,2.656914e+001,,,,,,
,,,,,,,3.876524e+000,1.150798e-007,1.199241e-009,5.937266e-004,-5.026064e-004,,,2.754890e-006,3.771630e+001,3.397207e+001,,,,,,
,,,,,,,3.973341e+000,0.000000e+000,5.966749e-006,0.000000e+000,-2.109274e-002,,,4.304960e-006,4.715180e+001,4.361286e+001,,,,,,
,,,,,,,4.072576e+000,1.881429e-005,1.170485e-006,9.239504e-002,-4.515141e-002,,,6.335140e-006,5.654940e+001,5.470640e+001,,,,,,
,,,,,,,4.174289e+000,1.448865e-004,6.706477e-006,6.941851e-001,-1.841261e-002,,,8.953390e-006,6.598530e+001,6.566440e+001,,,,,,
,,,,,,,4.278543e+000,1.065952e-003,5.586040e-005,4.982779e+000,2.768426e-001,,,1.224770e-005,7.546420e+001,7.525495e+001,,,,,,
Sample (ID),,AC4800-400 ,,,,,4.385400e+000,3.340809e-003,2.735261e-004,1.523605e+001,1.279505e+000,,,1.624730e-005,8.488050e+001,8.412325e+001,,,,,,
,,,,,,,4.494926e+000,7.556079e-003,8.467566e-004,3.362048e+001,3.876436e+000,,,2.099170e-005,9.435650e+001,9.347133e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,1.296883e-002,1.986389e-003,5.629824e+001,8.879397e+000,,,2.675580e-005,1.038030e+002,1.040037e+002,,,,,,
,,,,,,,4.722253e+000,1.949446e-002,3.848248e-003,8.256424e+001,1.685590e+001,,,3.331150e-005,1.132280e+002,1.131212e+002,,,,,,
,,,,,,,4.840192e+000,2.648155e-002,6.558819e-003,1.094236e+002,2.819439e+001,,,4.107280e-005,1.226740e+002,1.230810e+002,,,,,,
,,,,,,,4.961076e+000,3.329348e-002,1.017744e-002,1.342188e+002,4.295618e+001,,,4.994940e-005,1.321280e+002,1.331633e+002,,,,,,
,,,,,,,5.084980e+000,3.938684e-002,1.469233e-002,1.549145e+002,6.092770e+001,,,6.025230e-005,1.416020e+002,1.429182e+002,,,,,,
,,,,,,,5.211978e+000,4.415323e-002,2.001554e-002,1.694298e+002,8.158550e+001,,,7.188920e-005,1.510380e+002,1.525186e+002,,,,,,
Lambda,,2.5,,,,,5.342148e+000,4.706966e-002,2.597619e-002,1.762200e+002,1.041745e+002,,,8.512110e-005,1.604790e+002,1.621423e+002,,,,,,
,,,,,,,5.475569e+000,4.772778e-002,3.233425e-002,1.743300e+002,1.276496e+002,,,1.000680e-004,1.699050e+002,1.716612e+002,,,,,,
St Dev of Fit,,2.92082598425947,,,,,5.612322e+000,4.624789e-002,3.879000e-002,1.648084e+002,1.509417e+002,,,1.170720e-004,1.793610e+002,1.812116e+002,,,,,,
,,,,,,,5.752491e+000,4.234905e-002,4.502350e-002,1.472373e+002,1.728865e+002,,,1.367140e-004,1.887890e+002,1.910441e+002,,,,,,
,,,,,,,5.896160e+000,3.648855e-002,5.070745e-002,1.237706e+002,1.923572e+002,,,1.587980e-004,1.982630e+002,2.010498e+002,,,,,,
,,,,,,,6.043417e+000,2.918639e-002,5.555683e-002,9.658903e+001,2.086118e+002,,,1.835870e-004,2.077120e+002,2.106355e+002,,,,,,
,,,,,,,6.194353e+000,2.142430e-002,5.935005e-002,6.917365e+001,2.210767e+002,,,2.116740e-004,2.171790e+002,2.199852e+002,,,,,,
,,,,,,,6.349058e+000,1.377436e-002,6.204872e-002,4.339025e+001,2.296907e+002,,,2.441130e-004,2.266100e+002,2.294512e+002,,,,,,
,,,,,,,6.507626e+000,7.822847e-003,6.373637e-002,2.404209e+001,2.349477e+002,,,2.809400e-004,2.360480e+002,2.388314e+002,,,,,,
,,,,,,,6.670155e+000,3.582733e-003,6.464094e-002,1.074258e+001,2.376651e+002,,,3.242100e-004,2.454980e+002,2.478595e+002,,,,,,
,,,,,,,6.836743e+000,1.168877e-003,6.501237e-002,3.419396e+000,2.387676e+002,,,3.740150e-004,2.550470e+002,2.560887e+002,,,,,,
,,,,,,,7.007492e+000,5.134843e-004,6.515593e-002,1.465529e+000,2.391379e+002,,,5.344230e-004,2.786260e+002,2.767174e+002,,,,,,
,,,,,,,7.182505e+000,2.890884e-003,6.542199e-002,8.049793e+000,2.398856e+002,,,7.725820e-004,3.022100e+002,2.965466e+002,,,,,,
,,,,,,,7.361889e+000,8.157902e-003,6.636230e-002,2.216252e+001,2.424664e+002,,,1.136320e-003,3.258410e+002,3.176682e+002,,,,,,
,,,,,,,7.545754e+000,1.779150e-002,6.864601e-002,4.715632e+001,2.487712e+002,,,1.696690e-003,3.491060e+002,3.401293e+002,,,,,,
,,,,,,,7.734210e+000,3.207064e-002,7.324582e-002,8.293191e+001,2.607987e+002,,,2.565870e-003,3.718720e+002,3.663082e+002,,,,,,
,,,,,,,7.927373e+000,5.173996e-002,8.128096e-002,1.305349e+002,2.813017e+002,,,3.905940e-003,3.939750e+002,3.952828e+002,,,,,,
,,,,,,,8.125361e+000,7.445862e-002,9.375047e-002,1.832746e+002,3.124046e+002,,,5.873520e-003,4.151120e+002,4.199881e+002,,,,,,
,,,,,,,8.328293e+000,9.802909e-002,1.112661e-001,2.354122e+002,3.549646e+002,,,8.548320e-003,4.348090e+002,4.390867e+002,,,,,,
,,,,,,,8.536293e+000,1.198108e-001,1.340098e-001,2.807092e+002,4.087976e+002,,,1.204680e-002,4.537950e+002,4.554009e+002,,,,,,
,,,,,,,8.749488e+000,1.378154e-001,1.615859e-001,3.150250e+002,4.725949e+002,,,1.613520e-002,4.716470e+002,4.685213e+002,,,,,,
,,,,,,,8.968008e+000,1.495159e-001,1.931058e-001,3.334429e+002,5.437476e+002,,,2.088010e-002,4.885760e+002,4.857103e+002,,,,,,
,,,,,,,9.191985e+000,1.542451e-001,2.272657e-001,3.356077e+002,6.188591e+002,,,2.613270e-002,5.047720e+002,5.059760e+002,,,,,,
,,,,,,,9.421557e+000,1.516202e-001,2.625198e-001,3.218581e+002,6.946257e+002,,,3.182200e-002,5.205030e+002,5.211787e+002,,,,,,
,,,,,,,9.656861e+000,1.420102e-001,2.972089e-001,2.941125e+002,7.673167e+002,,,3.779230e-002,5.357240e+002,5.346650e+002,,,,,,
,,,,,,,9.898043e+000,1.274946e-001,3.298015e-001,2.576159e+002,8.340037e+002,,,4.401990e-002,5.504920e+002,5.494219e+002,,,,,,
,,,,,,,1.014525e+001,1.091639e-001,3.590990e-001,2.152020e+002,8.924938e+002,,,5.041990e-002,5.648050e+002,5.686589e+002,,,,,,
,,,,,,,1.039863e+001,8.922517e-002,3.842319e-001,1.716095e+002,9.414834e+002,,,5.698430e-002,5.788360e+002,5.874525e+002,,,,,,
,,,,,,,1.065833e+001,6.960538e-002,4.048170e-001,1.306121e+002,9.806089e+002,,,6.359940e-002,5.923990e+002,5.945295e+002,,,,,,
,,,,,,,1.092453e+001,5.229673e-002,4.208999e-001,9.574185e+001,1.010511e+003,,,7.059100e-002,6.061810e+002,6.020093e+002,,,,,,
,,,,,,,1.119737e+001,3.735004e-002,4.330181e-001,6.671217e+001,1.032439e+003,,,7.763210e-002,6.195670e+002,6.130408e+002,,,,,,
,,,,,,,1.147703e+001,2.672190e-002,4.418753e-001,4.656590e+001,1.048076e+003,,,8.485270e-002,6.328680e+002,6.290973e+002,,,,,,
,,,,,,,1.176367e+001,2.003848e-002,4.484763e-001,3.406842e+001,1.059481e+003,,,9.209370e-002,6.458240e+002,6.451993e+002,,,,,,
,,,,,,,1.205747e+001,1.677957e-002,4.537979e-001,2.783266e+001,1.068420e+003,,,9.953170e-002,6.587250e+002,6.617393e+002,,,,,,
,,,,,,,1.235860e+001,1.648440e-002,4.587444e-001,2.667680e+001,1.076524e+003,,,1.435680e-001,7.274870e+002,7.271117e+002,,,,,,
,,,,,,,1.266726e+001,1.818272e-002,4.640564e-001,2.870821e+001,1.084981e+003,,,1.937130e-001,7.922180e+002,7.928892e+002,,,,,,
,,,,,,,1.298363e+001,2.103106e-002,4.702397e-001,3.239627e+001,1.094621e+003,,,2.511400e-001,8.487270e+002,8.490875e+002,,,,,,
,,,,,,,1.330790e+001,2.455710e-002,4.776217e-001,3.690606e+001,1.105840e+003,,,3.119560e-001,8.893460e+002,8.882139e+002,,,,,,
,,,,,,,1.364026e+001,2.857901e-002,4.864465e-001,4.190391e+001,1.118935e+003,,,3.692940e-001,9.147760e+002,9.155274e+002,,,,,,
,,,,,,,1.398093e+001,3.287666e-002,4.969103e-001,4.703072e+001,1.134085e+003,,,3.966410e-001,9.242350e+002,9.243862e+002,,,,,,
,,,,,,,1.433011e+001,3.740565e-002,5.091777e-001,5.220568e+001,1.151419e+003,,,4.482510e-001,9.400470e+002,9.405174e+002,,,,,,
,,,,,,,1.468800e+001,4.211778e-002,5.234069e-001,5.734991e+001,1.171029e+003,,,4.981210e-001,9.541550e+002,9.539575e+002,,,,,,
,,,,,,,1.505484e+001,4.694278e-002,5.397410e-001,6.236238e+001,1.192997e+003,,,5.481800e-001,9.678040e+002,9.677060e+002,,,,,,
,,,,,,,1.543083e+001,5.172578e-002,5.582951e-001,6.704210e+001,1.217338e+003,,,5.985040e-001,9.811120e+002,9.811349e+002,,,,,,
,,,,,,,1.581622e+001,5.638777e-002,5.791384e-001,7.130371e+001,1.244017e+003,,,6.486150e-001,9.940520e+002,9.942824e+002,,,,,,
,,,,,,,1.621123e+001,6.075355e-002,6.022906e-001,7.495240e+001,1.272928e+003,,,6.987640e-001,1.006790e+003,1.006648e+003,,,,,,
,,,,,,,1.661611e+001,6.466769e-002,6.277018e-001,7.783733e+001,1.303889e+003,,,7.486180e-001,1.019240e+003,1.019413e+003,,,,,,
,,,,,,,1.703110e+001,6.797860e-002,6.552562e-001,7.982878e+001,1.336640e+003,,,7.987110e-001,1.031610e+003,1.031584e+003,,,,,,
,,,,,,,1.745646e+001,7.063431e-002,6.847663e-001,8.092628e+001,1.370866e+003,,,8.483610e-001,1.043930e+003,1.043984e+003,,,,,,
,,,,,,,1.789243e+001,7.249491e-002,7.159976e-001,8.103414e+001,1.406207e+003,,,8.981020e-001,1.056450e+003,1.056480e+003,,,,,,
,,,,,,,1.833930e+001,7.355078e-002,7.486609e-001,8.021111e+001,1.442264e+003,,,9.482160e-001,1.069870e+003,1.069899e+003,,,,,,
