,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.135310e-007,9.559650e+000,1.143139e+001,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,8.340420e-007,1.911040e+001,1.913748e+001,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,1.273826e-007,0.000000e+000,-1.859737e-002,,,2.293720e-006,2.869320e+001,2.684372e+001,,,,,,
,,,,,,,3.876524e+000,4.358206e-006,4.541664e-008,2.248512e-002,-1.903429e-002,,,5.029620e-006,3.818680e+001,3.674034e+001,,,,,,
,,,,,,,3.973341e+000,1.629731e-004,5.044089e-006,8.203328e-001,8.951172e-003,,,9.507790e-006,4.773040e+001,4.705332e+001,,,,,,
,,,,,,,4.072576e+000,7.239599e-004,4.429078e-005,3.555293e+000,2.035090e-001,,,1.622960e-005,5.731050e+001,5.651458e+001,,,,,,
,,,,,,,4.174289e+000,1.977320e-003,1.752146e-004,9.473807e+000,8.372964e-001,,,2.568250e-005,6.682080e+001,6.780370e+001,,,,,,
,,,,,,,4.278543e+000,4.141747e-003,4.842923e-004,1.936055e+001,2.325154e+000,,,3.874400e-005,7.637610e+001,7.772685e+001,,,,,,
Sample (ID),,AC2900-400 ,,,,,4.385400e+000,7.304957e-003,1.085638e-003,3.331489e+001,5.098395e+000,,,5.626670e-005,8.594300e+001,8.755551e+001,,,,,,
,,,,,,,4.494926e+000,1.159710e-002,2.107706e-003,5.160085e+001,9.709328e+000,,,7.923720e-005,9.542580e+001,9.691249e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,1.651735e-002,3.679833e-003,7.170254e+001,1.661352e+001,,,1.097210e-004,1.049240e+002,1.062259e+002,,,,,,
