w,dV/dw,V cum,dS/dw,S cum
64.5997005,0.000184683,0.583691105,0.057177714,1902.181721
66.27347578,0.000186427,0.5840018,0.056259899,1902.275887
67.99061851,0.000187347,0.584322836,0.055109729,1902.370518
69.75225233,0.000187416,0.58465306,0.053737507,1902.465184
71.55953,0.000186623,0.584991179,0.052158931,1902.55945
73.41363415,0.000185084,0.585335867,0.0504223,1902.652938
75.31577806,0.000182969,0.585685982,0.048587151,1902.745358
77.26720642,0.00018044,0.586040608,0.046705533,1902.8365
79.26919621,0.000177669,0.586399089,0.044826837,1902.926243
81.32305746,0.000174817,0.586761057,0.04299333,1903.014545
83.43013416,0.000172009,0.587126425,0.041234258,1903.101429
85.59180513,0.000169313,0.5874953,0.039562981,1903.186951
87.80948488,0.000166786,0.587867934,0.037988188,1903.271197
90.08462462,0.000164439,0.588244683,0.036507743,1903.354257
92.41871313,0.000162245,0.5886259,0.035110952,1903.436209
94.81327776,0.000160177,0.589011898,0.033787903,1903.517116
97.26988546,0.000158204,0.58940294,0.032528786,1903.597027
99.79014374,0.000156294,0.589799227,0.03132457,1903.675973
102.3757018,0.000154421,0.590200898,0.030167439,1903.753973
105.0282516,0.000152556,0.590608023,0.029050493,1903.831031
107.7495288,0.000150676,0.591020608,0.027967843,1903.907139
110.5413141,0.000148757,0.591438585,0.026914338,1903.982278
113.4054345,0.000146777,0.591861813,0.02588534,1904.056417
116.3437641,0.000144714,0.592290072,0.024877051,1904.129514
119.3582258,0.000142556,0.592723066,0.023887022,1904.20152
122.4507919,0.000140291,0.59316044,0.022913853,1904.272383
125.6234864,0.000137916,0.593601784,0.021956992,1904.342045
128.8783851,0.000135448,0.594046674,0.021019506,1904.410462
132.2176182,0.000132915,0.594494733,0.020105426,1904.477599
135.6433707,0.000130344,0.594945649,0.019218683,1904.543437
139.1578842,0.000127778,0.595399211,0.018364503,1904.607979
142.7634586,0.000125256,0.59585534,0.017547396,1904.671248
146.4624533,0.000122807,0.596314089,0.016769802,1904.733279
150.2572888,0.000120445,0.596775592,0.016031881,1904.794117
154.1504482,0.000118181,0.597240046,0.015333168,1904.853812
158.1444793,0.000116003,0.597707671,0.014670462,1904.912406
162.2419955,0.000113885,0.59817862,0.014038911,1904.969931
166.4456782,0.000111802,0.598652954,0.013434074,1905.026403
170.7582781,0.000109719,0.599130608,0.012850803,1905.081824
175.1826173,0.0001076,0.599611353,0.012284279,1905.136174
179.7215909,0.000105412,0.60009479,0.011730593,1905.189419
184.3781691,0.000103129,0.600580354,0.011186733,1905.24151
189.1553991,0.000100728,0.601067319,0.01065034,1905.29239
194.0564068,9.82E-05,0.601554811,0.010120294,1905.341989
199.0843995,9.55E-05,0.602041859,0.009596774,1905.390242
204.2426671,9.27E-05,0.602527424,0.009080291,1905.43708
209.5345853,8.98E-05,0.603010461,0.008573898,1905.482453
214.9636168,8.69E-05,0.603490077,0.00808191,1905.52633
220.5333143,8.39E-05,0.603965579,0.00760869,1905.568708
226.2473224,8.10E-05,0.604436652,0.007162228,1905.609633
232.1093802,7.83E-05,0.604903596,0.006750383,1905.649204
238.1233236,7.60E-05,0.605367389,0.006380921,1905.687578
244.2930881,7.41E-05,0.605829946,0.006063997,1905.724992
250.6227108,7.28E-05,0.606294321,0.005807972,1905.761754
257.1163338,7.23E-05,0.606764753,0.005620191,1905.798249
263.7782063,7.26E-05,0.607246826,0.00550735,1905.834939
270.6126875,7.41E-05,0.607747531,0.005473812,1905.872349
277.6242499,7.66E-05,0.608275172,0.005520043,1905.911053
284.8174815,8.04E-05,0.608839172,0.005644022,1905.951652
292.1970894,8.53E-05,0.609449974,0.005840898,1905.994756
299.7679027,9.14E-05,0.610118336,0.006095829,1906.040906
307.5348753,9.83E-05,0.61085449,0.006392774,1906.090559
315.5030899,0.000105899,0.611667854,0.006713012,1906.144049
323.6777605,0.000113769,0.612565797,0.007029767,1906.201515
332.0642365,0.000121523,0.61355279,0.007319233,1906.262898
340.6680057,0.000128646,0.614629809,0.00755258,1906.327879
349.4946981,0.000134489,0.615792395,0.0076962,1906.395811
358.5500898,0.000138448,0.617029901,0.007722677,1906.465743
367.8401062,0.000139881,0.618324983,0.007605544,1906.536398
377.3708266,0.000138156,0.619652637,0.00732204,1906.606182
387.1484874,0.000132796,0.620980196,0.006860222,1906.673259
397.1794871,0.000123746,0.62226975,0.006231239,1906.735765
407.4703894,0.00011107,0.623480784,0.005451697,1906.791868
418.0279286,9.49E-05,0.624570791,0.004542359,1906.839824
428.8590131,7.57E-05,0.625497264,0.003531999,1906.878079
439.9707305,5.39E-05,0.626219056,0.002450858,1906.905313
451.370352,3.20E-05,0.626705985,0.001415693,1906.921451
463.0653372,1.42E-05,0.626969161,0.000612345,1906.928612
475.063339,4.10E-06,0.627070376,0.000172656,1906.930684
487.3722084,5.00E-07,0.627093737,2.05E-05,1906.930936
